model_id,model_name,node_id,node_name,expert,benchmark,benchmark_task,low_ci,high_ci,mode,confidence,min,max
RM1,OC1 + SME + Phishing and BEC,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,None,0.4,0.6,0.53,0.9,0.0,1.0
RM1,OC1 + SME + Phishing and BEC,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,Agentscope,0.43,0.66,0.56,0.72,0.0,1.0
RM1,OC1 + SME + Phishing and BEC,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,Imaginairy,0.41,0.56,0.52,0.65,0.0,1.0
RM1,OC1 + SME + Phishing and BEC,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,librechat,0.4,0.62,0.54,0.75,0.0,1.0
RM1,OC1 + SME + Phishing and BEC,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,Paddle,0.42,0.7,0.59,0.75,0.0,1.0
RM1,OC1 + SME + Phishing and BEC,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,fastAPI,0.41,0.63,0.55,0.75,0.0,1.0
RM1,OC1 + SME + Phishing and BEC,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,MLFlow0,0.41,0.65,0.56,0.7,0.0,1.0
RM1,OC1 + SME + Phishing and BEC,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,cURL,0.4,0.62,0.55,0.75,0.0,1.0
RM1,OC1 + SME + Phishing and BEC,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,gunicorn,0.4,0.62,0.54,0.7,0.0,1.0
RM1,OC1 + SME + Phishing and BEC,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,MLFlow1,0.41,0.69,0.57,0.72,0.0,1.0
RM1,OC1 + SME + Phishing and BEC,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,pytorchLightning,0.42,0.65,0.59,0.75,0.0,1.0
RM1,OC1 + SME + Phishing and BEC,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,None,0.4,0.6,0.53,0.9,0.0,1.0
RM1,OC1 + SME + Phishing and BEC,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,Agentscope,0.41,0.61,0.54,0.75,0.0,1.0
RM1,OC1 + SME + Phishing and BEC,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,Imaginairy,0.4,0.63,0.54,0.7,0.0,1.0
RM1,OC1 + SME + Phishing and BEC,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,librechat,0.4,0.61,0.54,0.65,0.0,1.0
RM1,OC1 + SME + Phishing and BEC,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,Paddle,0.42,0.64,0.56,0.72,0.0,1.0
RM1,OC1 + SME + Phishing and BEC,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,fastAPI,0.41,0.62,0.55,0.7,0.0,1.0
RM1,OC1 + SME + Phishing and BEC,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,MLFlow0,0.41,0.63,0.54,0.7,0.0,1.0
RM1,OC1 + SME + Phishing and BEC,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,cURL,0.42,0.65,0.55,0.7,0.0,1.0
RM1,OC1 + SME + Phishing and BEC,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,gunicorn,0.45,0.68,0.6,0.7,0.0,1.0
RM1,OC1 + SME + Phishing and BEC,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,MLFlow1,0.45,0.72,0.6,0.75,0.0,1.0
RM1,OC1 + SME + Phishing and BEC,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,pytorchLightning,0.43,0.65,0.56,0.75,0.0,1.0
RM1,OC1 + SME + Phishing and BEC,node-1758548793791-1-216,Initial Access,AI/ML Security Researcher,BountyBench,None,0.4,0.6,0.53,0.9,0.0,1.0
RM1,OC1 + SME + Phishing and BEC,node-1758548793791-1-216,Initial Access,AI/ML Security Researcher,BountyBench,Agentscope,0.4,0.66,0.56,0.73,0.0,1.0
RM1,OC1 + SME + Phishing and BEC,node-1758548793791-1-216,Initial Access,AI/ML Security Researcher,BountyBench,Imaginairy,0.48,0.68,0.58,0.75,0.0,1.0
RM1,OC1 + SME + Phishing and BEC,node-1758548793791-1-216,Initial Access,AI/ML Security Researcher,BountyBench,librechat,0.41,0.64,0.56,0.68,0.0,1.0
