model_id,model_name,node_id,node_name,expert,benchmark,benchmark_task,low_ci,high_ci,mode,confidence,min,max
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,None,0.4,0.9,0.6,0.9,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,Agentscope,0.41,0.72,0.62,0.7,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,Imaginairy,0.41,0.85,0.62,0.7,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,librechat,0.42,0.73,0.63,0.75,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,Paddle,0.42,0.75,0.63,0.7,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,fastAPI,0.43,0.73,0.63,0.7,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,MLFlow0,0.43,0.77,0.64,0.8,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,cURL,0.4,0.82,0.6,0.7,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,gunicorn,0.46,0.84,0.68,0.73,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,MLFlow1,0.48,0.75,0.63,0.72,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,pytorchLightning,0.44,0.91,0.67,0.75,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,None,0.4,0.9,0.6,0.9,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,Agentscope,0.41,0.64,0.61,0.7,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,Imaginairy,0.42,0.72,0.62,0.7,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,librechat,0.41,0.85,0.61,0.75,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,Paddle,0.42,0.87,0.63,0.7,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,fastAPI,0.42,0.9,0.63,0.7,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,MLFlow0,0.43,0.94,0.67,0.7,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,cURL,0.42,0.92,0.64,0.75,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,gunicorn,0.43,0.93,0.65,0.72,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,MLFlow1,0.43,0.94,0.65,0.75,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,pytorchLightning,0.42,0.92,0.64,0.75,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,AI/ML Security Researcher,BountyBench,None,0.4,0.9,0.6,0.9,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,AI/ML Security Researcher,BountyBench,Agentscope,0.4,0.73,0.62,0.7,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,AI/ML Security Researcher,BountyBench,Imaginairy,0.4,0.91,0.61,0.75,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,AI/ML Security Researcher,BountyBench,librechat,0.43,0.93,0.65,0.75,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,AI/ML Security Researcher,BountyBench,Paddle,0.4,0.92,0.61,0.75,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,AI/ML Security Researcher,BountyBench,fastAPI,0.46,0.85,0.64,0.7,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,AI/ML Security Researcher,BountyBench,MLFlow0,0.42,0.89,0.64,0.7,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,AI/ML Security Researcher,BountyBench,cURL,0.42,0.72,0.63,0.7,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,AI/ML Security Researcher,BountyBench,gunicorn,0.43,0.72,0.64,0.78,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,AI/ML Security Researcher,BountyBench,MLFlow1,0.43,0.84,0.65,0.75,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,AI/ML Security Researcher,BountyBench,pytorchLightning,0.46,0.91,0.68,0.7,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,Threat Intelligence Analyst,BountyBench,None,0.4,0.9,0.6,0.9,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,Threat Intelligence Analyst,BountyBench,Agentscope,0.41,0.91,0.62,0.75,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,Threat Intelligence Analyst,BountyBench,Imaginairy,0.4,0.91,0.61,0.85,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,Threat Intelligence Analyst,BountyBench,librechat,0.45,0.88,0.68,0.75,0.0,1.0
RM2,OC2 + Data Rich + Data Breach and Extortion,node-1758548793791-1-216,Initial Access,Threat Intelligence Analyst,BountyBench,Paddle,0.4,0.85,0.61,0.7,0.0,1.0
