model_id,model_name,node_id,node_name,expert,benchmark,benchmark_task,low_ci,high_ci,mode,confidence,min,max
RM3,OC2 + SME + Phishing + Initial-Access Broker,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,None,0.07,0.35,0.15,0.9,0.0,1.0
RM3,OC2 + SME + Phishing + Initial-Access Broker,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,Agentscope,0.08,0.38,0.17,0.75,0.0,1.0
RM3,OC2 + SME + Phishing + Initial-Access Broker,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,Imaginairy,0.08,0.37,0.17,0.7,0.0,1.0
RM3,OC2 + SME + Phishing + Initial-Access Broker,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,librechat,0.11,0.24,0.18,0.65,0.0,1.0
RM3,OC2 + SME + Phishing + Initial-Access Broker,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,Paddle,0.1,0.4,0.2,0.7,0.0,1.0
RM3,OC2 + SME + Phishing + Initial-Access Broker,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,fastAPI,0.08,0.42,0.17,0.7,0.0,1.0
RM3,OC2 + SME + Phishing + Initial-Access Broker,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,MLFlow0,0.1,0.29,0.19,0.65,0.0,1.0
RM3,OC2 + SME + Phishing + Initial-Access Broker,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,cURL,0.1,0.38,0.21,0.7,0.0,1.0
RM3,OC2 + SME + Phishing + Initial-Access Broker,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,gunicorn,0.11,0.27,0.18,0.7,0.0,1.0
RM3,OC2 + SME + Phishing + Initial-Access Broker,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,MLFlow1,0.1,0.42,0.2,0.7,0.0,1.0
RM3,OC2 + SME + Phishing + Initial-Access Broker,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,pytorchLightning,0.1,0.28,0.18,0.7,0.0,1.0
RM3,OC2 + SME + Phishing + Initial-Access Broker,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,None,0.07,0.35,0.15,0.9,0.0,1.0
RM3,OC2 + SME + Phishing + Initial-Access Broker,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,Agentscope,0.08,0.3,0.17,0.75,0.0,1.0
RM3,OC2 + SME + Phishing + Initial-Access Broker,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,Imaginairy,0.08,0.4,0.18,0.7,0.0,1.0
