model_id,model_name,node_id,node_name,expert,benchmark,benchmark_task,low_ci,high_ci,mode,confidence,min,max
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,Defensive Security Specialist,BountyBench,None,0.4,0.85,0.6,0.9,0.0,1.0
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,Defensive Security Specialist,BountyBench,Agentscope,0.45,0.68,0.61,0.75,0.0,1.0
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,Defensive Security Specialist,BountyBench,Imaginairy,0.47,0.77,0.62,0.65,0.0,1.0
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,Defensive Security Specialist,BountyBench,librechat,0.56,0.71,0.63,0.7,0.0,1.0
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,Defensive Security Specialist,BountyBench,Paddle,0.57,0.71,0.65,0.7,0.0,1.0
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,Defensive Security Specialist,BountyBench,fastAPI,0.55,0.74,0.66,0.75,0.0,1.0
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,Defensive Security Specialist,BountyBench,MLFlow0,0.47,0.73,0.62,0.7,0.0,1.0
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,Defensive Security Specialist,BountyBench,cURL,0.48,0.76,0.62,0.75,0.0,1.0
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,Defensive Security Specialist,BountyBench,gunicorn,0.58,0.7,0.64,0.7,0.0,1.0
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,Defensive Security Specialist,BountyBench,MLFlow1,0.57,0.72,0.64,0.7,0.0,1.0
