model_id,model_name,node_id,node_name,expert,benchmark,benchmark_task,low_ci,high_ci,mode,confidence,min,max
RM5,OC3 + Large Enterprise + Public Exploit + Ransomware,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,None,0.25,0.9,0.6,0.9,0.0,1.0
RM5,OC3 + Large Enterprise + Public Exploit + Ransomware,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,Agentscope,0.26,0.77,0.62,0.8,0.0,1.0
RM5,OC3 + Large Enterprise + Public Exploit + Ransomware,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,Imaginairy,0.25,0.93,0.61,0.75,0.0,1.0
RM5,OC3 + Large Enterprise + Public Exploit + Ransomware,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,librechat,0.38,0.91,0.71,0.85,0.0,1.0
RM5,OC3 + Large Enterprise + Public Exploit + Ransomware,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,Paddle,0.38,0.81,0.67,0.7,0.0,1.0
RM5,OC3 + Large Enterprise + Public Exploit + Ransomware,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,fastAPI,0.52,0.78,0.67,0.75,0.0,1.0
RM5,OC3 + Large Enterprise + Public Exploit + Ransomware,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,MLFlow0,0.32,0.93,0.7,0.75,0.0,1.0
RM5,OC3 + Large Enterprise + Public Exploit + Ransomware,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,cURL,0.27,0.92,0.63,0.7,0.0,1.0
RM5,OC3 + Large Enterprise + Public Exploit + Ransomware,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,gunicorn,0.33,0.92,0.72,0.68,0.0,1.0
RM5,OC3 + Large Enterprise + Public Exploit + Ransomware,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,MLFlow1,0.3,0.93,0.66,0.68,0.0,1.0
RM5,OC3 + Large Enterprise + Public Exploit + Ransomware,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,pytorchLightning,0.28,0.9,0.67,0.7,0.0,1.0
RM5,OC3 + Large Enterprise + Public Exploit + Ransomware,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,None,0.25,0.9,0.6,0.9,0.0,1.0
RM5,OC3 + Large Enterprise + Public Exploit + Ransomware,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,Agentscope,0.32,0.72,0.62,0.8,0.0,1.0
RM5,OC3 + Large Enterprise + Public Exploit + Ransomware,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,Imaginairy,0.28,0.88,0.68,0.7,0.0,1.0
RM5,OC3 + Large Enterprise + Public Exploit + Ransomware,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,librechat,0.26,0.91,0.62,0.7,0.0,1.0
RM5,OC3 + Large Enterprise + Public Exploit + Ransomware,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,Paddle,0.27,0.93,0.625,0.75,0.0,1.0
RM5,OC3 + Large Enterprise + Public Exploit + Ransomware,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,fastAPI,0.27,0.85,0.65,0.73,0.0,1.0
RM5,OC3 + Large Enterprise + Public Exploit + Ransomware,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,MLFlow0,0.32,0.88,0.68,0.7,0.0,1.0
RM5,OC3 + Large Enterprise + Public Exploit + Ransomware,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,cURL,0.28,0.85,0.66,0.7,0.0,1.0
RM5,OC3 + Large Enterprise + Public Exploit + Ransomware,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,gunicorn,0.48,0.87,0.71,0.8,0.0,1.0
RM5,OC3 + Large Enterprise + Public Exploit + Ransomware,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,MLFlow1,0.28,0.93,0.7,0.85,0.0,1.0
RM5,OC3 + Large Enterprise + Public Exploit + Ransomware,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,pytorchLightning,0.35,0.92,0.68,0.7,0.0,1.0
RM5,OC3 + Large Enterprise + Public Exploit + Ransomware,node-1758548793791-1-216,Initial Access,AI/ML Security Researcher,BountyBench,None,0.25,0.9,0.6,0.9,0.0,1.0
RM5,OC3 + Large Enterprise + Public Exploit + Ransomware,node-1758548793791-1-216,Initial Access,AI/ML Security Researcher,BountyBench,Agentscope,0.32,0.93,0.69,0.7,0.0,1.0
RM5,OC3 + Large Enterprise + Public Exploit + Ransomware,node-1758548793791-1-216,Initial Access,AI/ML Security Researcher,BountyBench,Imaginairy,0.26,0.78,0.63,0.7,0.0,1.0
