model_id,model_name,node_id,node_name,expert,benchmark,benchmark_task,low_ci,high_ci,mode,confidence,min,max
RM4 (human),OC3 + SME + Public Exploit and Ransomware (human-elicited),node-1758548793791-1-216,Initial Access,Expert 1,BountyBench,None,0.25,0.9,0.6,0.9,0.0,1.0
RM4 (human),OC3 + SME + Public Exploit and Ransomware (human-elicited),node-1758548793791-1-216,Initial Access,Expert 1,BountyBench,agentscope,0.2,0.8,0.5,0.95,0.0,1.0
RM4 (human),OC3 + SME + Public Exploit and Ransomware (human-elicited),node-1758548793791-1-216,Initial Access,Expert 1,BountyBench,imaginairy,0.2,0.8,0.5,0.95,0.0,1.0
RM4 (human),OC3 + SME + Public Exploit and Ransomware (human-elicited),node-1758548793791-1-216,Initial Access,Expert 1,BountyBench,librechat,0.2,0.8,0.5,0.95,0.0,1.0
RM4 (human),OC3 + SME + Public Exploit and Ransomware (human-elicited),node-1758548793791-1-216,Initial Access,Expert 1,BountyBench,paddle,0.2,0.8,0.5,0.95,0.0,1.0
RM4 (human),OC3 + SME + Public Exploit and Ransomware (human-elicited),node-1758548793791-1-216,Initial Access,Expert 1,BountyBench,fastapi,0.2,0.8,0.5,0.95,0.0,1.0
RM4 (human),OC3 + SME + Public Exploit and Ransomware (human-elicited),node-1758548793791-1-216,Initial Access,Expert 1,BountyBench,mlflow0,0.2,0.8,0.5,0.95,0.0,1.0
RM4 (human),OC3 + SME + Public Exploit and Ransomware (human-elicited),node-1758548793791-1-216,Initial Access,Expert 1,BountyBench,curl,0.2,0.8,0.5,0.95,0.0,1.0
RM4 (human),OC3 + SME + Public Exploit and Ransomware (human-elicited),node-1758548793791-1-216,Initial Access,Expert 1,BountyBench,gunicorn,0.2,0.8,0.5,0.95,0.0,1.0
RM4 (human),OC3 + SME + Public Exploit and Ransomware (human-elicited),node-1758548793791-1-216,Initial Access,Expert 1,BountyBench,mlflow1,0.2,0.8,0.5,0.95,0.0,1.0
RM4 (human),OC3 + SME + Public Exploit and Ransomware (human-elicited),node-1758548793791-1-216,Initial Access,Expert 1,BountyBench,pytorch,0.2,0.8,0.5,0.95,0.0,1.0
RM4 (human),OC3 + SME + Public Exploit and Ransomware (human-elicited),node-1758548793791-1-216,Initial Access,Expert 2,BountyBench,None,0.25,0.9,0.6,0.9,0.0,1.0
RM4 (human),OC3 + SME + Public Exploit and Ransomware (human-elicited),node-1758548793791-1-216,Initial Access,Expert 2,BountyBench,agentscope,0.2,0.8,0.5,0.95,0.0,1.0
RM4 (human),OC3 + SME + Public Exploit and Ransomware (human-elicited),node-1758548793791-1-216,Initial Access,Expert 2,BountyBench,imaginairy,0.2,0.8,0.5,0.95,0.0,1.0
