model_id,model_name,node_id,node_name,expert,benchmark,benchmark_task,low_ci,high_ci,mode,confidence,min,max
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,None,0.25,0.9,0.6,0.9,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,Agentscope,0.26,0.93,0.63,0.75,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,Imaginairy,0.27,0.87,0.63,0.75,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,librechat,0.3,0.88,0.7,0.75,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,Paddle,0.3,0.88,0.69,0.8,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,fastAPI,0.35,0.92,0.67,0.7,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,MLFlow0,0.3,0.85,0.64,0.85,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,cURL,0.29,0.92,0.65,0.75,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,gunicorn,0.26,0.93,0.68,0.78,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,MLFlow1,0.32,0.9,0.68,0.75,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Defensive Security Specialist,BountyBench,pytorchLightning,0.3,0.92,0.72,0.75,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,None,0.25,0.9,0.6,0.9,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,Agentscope,0.3,0.78,0.66,0.7,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,Imaginairy,0.3,0.8,0.65,0.75,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,librechat,0.28,0.82,0.67,0.65,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,Paddle,0.3,0.93,0.68,0.7,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,fastAPI,0.27,0.93,0.67,0.75,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,MLFlow0,0.5,0.85,0.72,0.7,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,cURL,0.3,0.94,0.73,0.85,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,gunicorn,0.32,0.8,0.68,0.75,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,MLFlow1,0.5,0.92,0.74,0.8,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Malware Reverse Engineer,BountyBench,pytorchLightning,0.5,0.85,0.69,0.7,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,AI/ML Security Researcher,BountyBench,None,0.25,0.9,0.6,0.9,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,AI/ML Security Researcher,BountyBench,Agentscope,0.28,0.82,0.64,0.7,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,AI/ML Security Researcher,BountyBench,Imaginairy,0.3,0.91,0.68,0.75,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,AI/ML Security Researcher,BountyBench,librechat,0.33,0.93,0.7,0.75,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,AI/ML Security Researcher,BountyBench,Paddle,0.28,0.93,0.67,0.75,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,AI/ML Security Researcher,BountyBench,fastAPI,0.3,0.85,0.7,0.75,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,AI/ML Security Researcher,BountyBench,MLFlow0,0.35,0.91,0.7,0.72,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,AI/ML Security Researcher,BountyBench,cURL,0.33,0.92,0.68,0.7,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,AI/ML Security Researcher,BountyBench,gunicorn,0.32,0.88,0.7,0.85,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,AI/ML Security Researcher,BountyBench,MLFlow1,0.55,0.82,0.69,0.9,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,AI/ML Security Researcher,BountyBench,pytorchLightning,0.35,0.92,0.72,0.75,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Threat Intelligence Analyst,BountyBench,None,0.25,0.9,0.6,0.9,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Threat Intelligence Analyst,BountyBench,Agentscope,0.27,0.93,0.63,0.85,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Threat Intelligence Analyst,BountyBench,Imaginairy,0.4,0.75,0.67,0.75,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Threat Intelligence Analyst,BountyBench,librechat,0.32,0.81,0.68,0.73,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Threat Intelligence Analyst,BountyBench,Paddle,0.28,0.88,0.64,0.7,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Threat Intelligence Analyst,BountyBench,fastAPI,0.36,0.89,0.74,0.75,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Threat Intelligence Analyst,BountyBench,MLFlow0,0.29,0.93,0.7,0.75,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Threat Intelligence Analyst,BountyBench,cURL,0.48,0.82,0.67,0.88,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Threat Intelligence Analyst,BountyBench,gunicorn,0.38,0.86,0.73,0.7,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Threat Intelligence Analyst,BountyBench,MLFlow1,0.28,0.93,0.66,0.85,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Threat Intelligence Analyst,BountyBench,pytorchLightning,0.35,0.95,0.7,0.85,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Security Software Developer,BountyBench,None,0.25,0.9,0.6,0.9,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Security Software Developer,BountyBench,Agentscope,0.27,0.84,0.68,0.73,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Security Software Developer,BountyBench,Imaginairy,0.28,0.76,0.66,0.75,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Security Software Developer,BountyBench,librechat,0.32,0.84,0.71,0.75,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Security Software Developer,BountyBench,Paddle,0.32,0.94,0.72,0.8,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Security Software Developer,BountyBench,fastAPI,0.3,0.85,0.7,0.75,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Security Software Developer,BountyBench,MLFlow0,0.29,0.91,0.68,0.7,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Security Software Developer,BountyBench,cURL,0.3,0.95,0.68,0.75,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Security Software Developer,BountyBench,gunicorn,0.3,0.92,0.69,0.72,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Security Software Developer,BountyBench,MLFlow1,0.35,0.85,0.72,0.75,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758548793791-1-216,Initial Access,Security Software Developer,BountyBench,pytorchLightning,0.36,0.87,0.69,0.72,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758552529633-2-398,Execution,Defensive Security Specialist,BountyBench,None,0.2,0.9,0.5,0.9,0.0,1.0
RM4,OC3 + SME + Public Exploit and Ransomware,node-1758552529633-2-398,Execution,Defensive Security Specialist,BountyBench,Agentscope,0.2,0.8,0.51,0.7,0.0,1.0
