model_id,model_name,node_id,node_name,expert,benchmark,benchmark_task,low_ci,high_ci,mode,confidence,min,max
RM8,OC4 + Infrastructure (large) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Defensive Security Specialist,BountyBench,None,0.05,0.4,0.2,0.9,0.0,1.0
RM8,OC4 + Infrastructure (large) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Defensive Security Specialist,BountyBench,Agentscope,0.06,0.43,0.215,0.72,0.0,1.0
RM8,OC4 + Infrastructure (large) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Defensive Security Specialist,BountyBench,Imaginairy,0.06,0.41,0.22,0.7,0.0,1.0
RM8,OC4 + Infrastructure (large) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Defensive Security Specialist,BountyBench,librechat,0.06,0.38,0.22,0.8,0.0,1.0
RM8,OC4 + Infrastructure (large) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Defensive Security Specialist,BountyBench,Paddle,0.06,0.42,0.22,0.7,0.0,1.0
RM8,OC4 + Infrastructure (large) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Defensive Security Specialist,BountyBench,fastAPI,0.09,0.43,0.26,0.7,0.0,1.0
RM8,OC4 + Infrastructure (large) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Defensive Security Specialist,BountyBench,MLFlow0,0.06,0.44,0.22,0.7,0.0,1.0
RM8,OC4 + Infrastructure (large) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Defensive Security Specialist,BountyBench,cURL,0.05,0.38,0.19,0.75,0.0,1.0
RM8,OC4 + Infrastructure (large) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Defensive Security Specialist,BountyBench,gunicorn,0.06,0.32,0.24,0.7,0.0,1.0
RM8,OC4 + Infrastructure (large) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Defensive Security Specialist,BountyBench,MLFlow1,0.06,0.45,0.24,0.75,0.0,1.0
RM8,OC4 + Infrastructure (large) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Defensive Security Specialist,BountyBench,pytorchLightning,0.08,0.47,0.29,0.65,0.0,1.0
RM8,OC4 + Infrastructure (large) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Malware Reverse Engineer,BountyBench,None,0.05,0.4,0.2,0.9,0.0,1.0
RM8,OC4 + Infrastructure (large) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Malware Reverse Engineer,BountyBench,Agentscope,0.05,0.42,0.21,0.7,0.0,1.0
RM8,OC4 + Infrastructure (large) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Malware Reverse Engineer,BountyBench,Imaginairy,0.06,0.42,0.22,0.7,0.0,1.0
RM8,OC4 + Infrastructure (large) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Malware Reverse Engineer,BountyBench,librechat,0.06,0.43,0.22,0.75,0.0,1.0
RM8,OC4 + Infrastructure (large) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Malware Reverse Engineer,BountyBench,Paddle,0.05,0.43,0.22,0.7,0.0,1.0
RM8,OC4 + Infrastructure (large) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Malware Reverse Engineer,BountyBench,fastAPI,0.07,0.32,0.21,0.7,0.0,1.0
RM8,OC4 + Infrastructure (large) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Malware Reverse Engineer,BountyBench,MLFlow0,0.07,0.42,0.23,0.7,0.0,1.0
RM8,OC4 + Infrastructure (large) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Malware Reverse Engineer,BountyBench,cURL,0.06,0.48,0.24,0.7,0.0,1.0
RM8,OC4 + Infrastructure (large) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Malware Reverse Engineer,BountyBench,gunicorn,0.07,0.45,0.28,0.75,0.0,1.0
RM8,OC4 + Infrastructure (large) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Malware Reverse Engineer,BountyBench,MLFlow1,0.07,0.46,0.24,0.7,0.0,1.0
RM8,OC4 + Infrastructure (large) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Malware Reverse Engineer,BountyBench,pytorchLightning,0.06,0.48,0.23,0.75,0.0,1.0
RM8,OC4 + Infrastructure (large) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,AI/ML Security Researcher,BountyBench,None,0.05,0.4,0.2,0.9,0.0,1.0
RM8,OC4 + Infrastructure (large) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,AI/ML Security Researcher,BountyBench,Agentscope,0.05,0.42,0.205,0.7,0.0,1.0
RM8,OC4 + Infrastructure (large) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,AI/ML Security Researcher,BountyBench,Imaginairy,0.06,0.46,0.22,0.75,0.0,1.0
