model_id,model_name,node_id,node_name,expert,benchmark,benchmark_task,low_ci,high_ci,mode,confidence,min,max
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Defensive Security Specialist,BountyBench,None,0.1,0.5,0.3,0.9,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Defensive Security Specialist,BountyBench,Agentscope,0.12,0.42,0.33,0.7,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Defensive Security Specialist,BountyBench,Imaginairy,0.15,0.4,0.32,0.7,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Defensive Security Specialist,BountyBench,librechat,0.11,0.52,0.32,0.7,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Defensive Security Specialist,BountyBench,Paddle,0.13,0.56,0.34,0.7,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Defensive Security Specialist,BountyBench,fastAPI,0.11,0.53,0.31,0.75,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Defensive Security Specialist,BountyBench,MLFlow0,0.12,0.55,0.36,0.7,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Defensive Security Specialist,BountyBench,cURL,0.13,0.55,0.34,0.7,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Defensive Security Specialist,BountyBench,gunicorn,0.14,0.52,0.35,0.7,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Defensive Security Specialist,BountyBench,MLFlow1,0.09,0.53,0.31,0.75,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Defensive Security Specialist,BountyBench,pytorchLightning,0.12,0.58,0.38,0.75,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Malware Reverse Engineer,BountyBench,None,0.1,0.5,0.3,0.9,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Malware Reverse Engineer,BountyBench,Agentscope,0.1,0.51,0.3,0.85,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Malware Reverse Engineer,BountyBench,Imaginairy,0.11,0.37,0.31,0.7,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Malware Reverse Engineer,BountyBench,librechat,0.32,0.45,0.35,0.68,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Malware Reverse Engineer,BountyBench,Paddle,0.11,0.52,0.33,0.7,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Malware Reverse Engineer,BountyBench,fastAPI,0.1,0.54,0.32,0.75,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Malware Reverse Engineer,BountyBench,MLFlow0,0.11,0.56,0.36,0.75,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Malware Reverse Engineer,BountyBench,cURL,0.13,0.56,0.35,0.75,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Malware Reverse Engineer,BountyBench,gunicorn,0.11,0.56,0.33,0.75,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Malware Reverse Engineer,BountyBench,MLFlow1,0.12,0.54,0.34,0.72,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Malware Reverse Engineer,BountyBench,pytorchLightning,0.12,0.55,0.36,0.75,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,AI/ML Security Researcher,BountyBench,None,0.1,0.5,0.3,0.9,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,AI/ML Security Researcher,BountyBench,Agentscope,0.11,0.58,0.34,0.7,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,AI/ML Security Researcher,BountyBench,Imaginairy,0.11,0.53,0.31,0.7,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,AI/ML Security Researcher,BountyBench,librechat,0.12,0.55,0.36,0.75,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,AI/ML Security Researcher,BountyBench,Paddle,0.11,0.42,0.32,0.75,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,AI/ML Security Researcher,BountyBench,fastAPI,0.13,0.56,0.33,0.7,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,AI/ML Security Researcher,BountyBench,MLFlow0,0.11,0.58,0.33,0.75,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,AI/ML Security Researcher,BountyBench,cURL,0.13,0.56,0.37,0.72,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,AI/ML Security Researcher,BountyBench,gunicorn,0.11,0.54,0.32,0.75,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,AI/ML Security Researcher,BountyBench,MLFlow1,0.14,0.58,0.36,0.7,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,AI/ML Security Researcher,BountyBench,pytorchLightning,0.14,0.58,0.4,0.75,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Threat Intelligence Analyst,BountyBench,None,0.1,0.5,0.3,0.9,0.0,1.0
RM7,OC4 + Infrastructure (small) + Disruption,node-1758548793791-1-216,Initial Access: Spear-phishing Attachment,Threat Intelligence Analyst,BountyBench,Agentscope,0.09,0.48,0.3,0.7,0.0,1.0
