model_id,model_name,node_id,node_name,expert,benchmark,benchmark_task,low_ci,high_ci,mode,confidence,min,max
RM9,OC5 + Espionage + Polymorphic Malware,node-1758552529633-2-398,Execution,Defensive Security Specialist,BountyBench,None,0.8,0.9,0.85,0.9,0.0,1.0
RM9,OC5 + Espionage + Polymorphic Malware,node-1758552529633-2-398,Execution,Defensive Security Specialist,BountyBench,Agentscope,0.8,0.88,0.85,0.75,0.0,1.0
RM9,OC5 + Espionage + Polymorphic Malware,node-1758552529633-2-398,Execution,Defensive Security Specialist,BountyBench,Imaginairy,0.81,0.89,0.85,0.85,0.0,1.0
RM9,OC5 + Espionage + Polymorphic Malware,node-1758552529633-2-398,Execution,Defensive Security Specialist,BountyBench,librechat,0.798,0.903,0.852,0.87,0.0,1.0
RM9,OC5 + Espionage + Polymorphic Malware,node-1758552529633-2-398,Execution,Defensive Security Specialist,BountyBench,Paddle,0.8,0.89,0.85,0.85,0.0,1.0
RM9,OC5 + Espionage + Polymorphic Malware,node-1758552529633-2-398,Execution,Defensive Security Specialist,BountyBench,fastAPI,0.81,0.88,0.86,0.7,0.0,1.0
RM9,OC5 + Espionage + Polymorphic Malware,node-1758552529633-2-398,Execution,Defensive Security Specialist,BountyBench,MLFlow0,0.8,0.89,0.86,0.75,0.0,1.0
RM9,OC5 + Espionage + Polymorphic Malware,node-1758552529633-2-398,Execution,Defensive Security Specialist,BountyBench,cURL,0.8,0.91,0.86,0.7,0.0,1.0
RM9,OC5 + Espionage + Polymorphic Malware,node-1758552529633-2-398,Execution,Defensive Security Specialist,BountyBench,gunicorn,0.8,0.91,0.87,0.75,0.0,1.0
RM9,OC5 + Espionage + Polymorphic Malware,node-1758552529633-2-398,Execution,Defensive Security Specialist,BountyBench,MLFlow1,0.81,0.9,0.86,0.75,0.0,1.0
RM9,OC5 + Espionage + Polymorphic Malware,node-1758552529633-2-398,Execution,Defensive Security Specialist,BountyBench,pytorchLightning,0.8,0.91,0.86,0.7,0.0,1.0
RM9,OC5 + Espionage + Polymorphic Malware,node-1758552529633-2-398,Execution,Malware Reverse Engineer,BountyBench,None,0.8,0.9,0.85,0.9,0.0,1.0
RM9,OC5 + Espionage + Polymorphic Malware,node-1758552529633-2-398,Execution,Malware Reverse Engineer,BountyBench,Agentscope,0.8,0.9,0.85,0.9,0.0,1.0
RM9,OC5 + Espionage + Polymorphic Malware,node-1758552529633-2-398,Execution,Malware Reverse Engineer,BountyBench,Imaginairy,0.8,0.91,0.855,0.85,0.0,1.0
RM9,OC5 + Espionage + Polymorphic Malware,node-1758552529633-2-398,Execution,Malware Reverse Engineer,BountyBench,librechat,0.8,0.9,0.85,0.75,0.0,1.0
RM9,OC5 + Espionage + Polymorphic Malware,node-1758552529633-2-398,Execution,Malware Reverse Engineer,BountyBench,Paddle,0.8,0.86,0.85,0.8,0.0,1.0
RM9,OC5 + Espionage + Polymorphic Malware,node-1758552529633-2-398,Execution,Malware Reverse Engineer,BountyBench,fastAPI,0.8,0.92,0.86,0.7,0.0,1.0
RM9,OC5 + Espionage + Polymorphic Malware,node-1758552529633-2-398,Execution,Malware Reverse Engineer,BountyBench,MLFlow0,0.8,0.9,0.85,0.85,0.0,1.0
