top1_exact,top1_approx,top1_match,top3_exact,top3_approx,top3_overlap_count,top3_jaccard,spearman_rank_correlation,pearson_score_correlation,mean_absolute_error,max_absolute_error,mean_relative_absolute_error,max_relative_absolute_error,exact_max_score,approx_max_score,approx_exact_max_score_ratio,exact_top_step_in_approx_top3,n_steps_compared,reveal_seed,budget,max_loo_terms_per_step,n_samples,n_grid,exact_total_loo_terms_available,exact_total_loo_terms_used,approx_total_loo_terms_available,approx_total_loo_terms_used,approx_any_subsampled
T1571 - Defense Evasion: Non-Standard Port,T1571 - Defense Evasion: Non-Standard Port,True,T1571 - Defense Evasion: Non-Standard Port;T1584.005 - Resource Development: Build/Compromise Botnet;T1036 - Defense Evasion: Masquerading,T1571 - Defense Evasion: Non-Standard Port;T1584.005 - Resource Development: Build/Compromise Botnet;T1036 - Defense Evasion: Masquerading,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0001489057652205421,0.0001489057652205421,1.0,True,9,101,45,10,700,201,45,45,45,45,False
T1571 - Defense Evasion: Non-Standard Port,T1571 - Defense Evasion: Non-Standard Port,True,T1571 - Defense Evasion: Non-Standard Port;T1584.005 - Resource Development: Build/Compromise Botnet;T1036 - Defense Evasion: Masquerading,T1571 - Defense Evasion: Non-Standard Port;T1584.005 - Resource Development: Build/Compromise Botnet;T1036 - Defense Evasion: Masquerading,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0001489057652205421,0.0001489057652205421,1.0,True,9,101,45,20,700,201,45,45,45,45,False
T1498.001 - Impact: Direct Network Flood,T1498.001 - Impact: Direct Network Flood,True,T1498.001 - Impact: Direct Network Flood;T1036 - Defense Evasion: Masquerading;T1584.005 - Resource Development: Build/Compromise Botnet,T1498.001 - Impact: Direct Network Flood;T1498.002 - Impact: Reflection/Amplification Attack;T1036 - Defense Evasion: Masquerading,2,0.5,0.6833333333333333,0.7759189501398884,6.0669301032680545e-06,1.1871244029627372e-05,0.09189548871434011,0.19578677311742226,7.926252800912861e-05,8.730393483404393e-05,1.101452817956919,True,9,101,180,10,700,201,180,180,180,90,True
T1498.001 - Impact: Direct Network Flood,T1498.001 - Impact: Direct Network Flood,True,T1498.001 - Impact: Direct Network Flood;T1036 - Defense Evasion: Masquerading;T1584.005 - Resource Development: Build/Compromise Botnet,T1498.001 - Impact: Direct Network Flood;T1036 - Defense Evasion: Masquerading;T1584.005 - Resource Development: Build/Compromise Botnet,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.926252800912861e-05,7.926252800912861e-05,1.0,True,9,101,180,20,700,201,180,180,180,180,False
T1036 - Defense Evasion: Masquerading,T1036 - Defense Evasion: Masquerading,True,T1036 - Defense Evasion: Masquerading;T1584.005 - Resource Development: Build/Compromise Botnet;T1590 - Reconnaissance: Gather Victim Network Information,T1036 - Defense Evasion: Masquerading;T1584.005 - Resource Development: Build/Compromise Botnet;T1595 - Reconnaissance: Active Scanning,2,0.5,0.7333333333333334,0.6857199050759187,8.218416109633717e-06,2.590469230248151e-05,0.07855714502050554,0.2542689234557708,0.0001148055049432768,0.0001245880759931509,1.0852099475082442,True,9,101,720,10,700,201,720,720,720,90,True
T1036 - Defense Evasion: Masquerading,T1036 - Defense Evasion: Masquerading,True,T1036 - Defense Evasion: Masquerading;T1584.005 - Resource Development: Build/Compromise Botnet;T1590 - Reconnaissance: Gather Victim Network Information,T1036 - Defense Evasion: Masquerading;T1584.005 - Resource Development: Build/Compromise Botnet;T1498.002 - Impact: Reflection/Amplification Attack,2,0.5,0.7333333333333334,0.6961707656262444,5.121972763765883e-06,1.008349858411287e-05,0.050264338110025564,0.0992331721790943,0.0001148055049432768,0.00011774466482002266,1.0256012103095409,True,9,101,720,20,700,201,720,720,720,180,True
T1571 - Defense Evasion: Non-Standard Port,T1571 - Defense Evasion: Non-Standard Port,True,T1571 - Defense Evasion: Non-Standard Port;T1036 - Defense Evasion: Masquerading;T1584.005 - Resource Development: Build/Compromise Botnet,T1571 - Defense Evasion: Non-Standard Port;T1036 - Defense Evasion: Masquerading;T1584.005 - Resource Development: Build/Compromise Botnet,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00013991767668690574,0.00013991767668690574,1.0,True,9,202,45,10,700,201,45,45,45,45,False
T1571 - Defense Evasion: Non-Standard Port,T1571 - Defense Evasion: Non-Standard Port,True,T1571 - Defense Evasion: Non-Standard Port;T1036 - Defense Evasion: Masquerading;T1584.005 - Resource Development: Build/Compromise Botnet,T1571 - Defense Evasion: Non-Standard Port;T1036 - Defense Evasion: Masquerading;T1584.005 - Resource Development: Build/Compromise Botnet,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00013991767668690574,0.00013991767668690574,1.0,True,9,202,45,20,700,201,45,45,45,45,False
T1498.002 - Impact: Reflection/Amplification Attack,T1498.002 - Impact: Reflection/Amplification Attack,True,T1498.002 - Impact: Reflection/Amplification Attack;T1498.001 - Impact: Direct Network Flood;TA0011 - Command-and-Control,T1498.002 - Impact: Reflection/Amplification Attack;TA0011 - Command-and-Control;T1571 - Defense Evasion: Non-Standard Port,2,0.5,0.21666666666666667,0.5182878695665741,6.732664990493392e-06,9.95532072045722e-06,0.1316036460049919,0.19716524480480707,5.9787953123151715e-05,6.974327384360893e-05,1.1665104791253043,True,9,202,180,10,700,201,180,180,180,90,True
T1498.002 - Impact: Reflection/Amplification Attack,T1498.002 - Impact: Reflection/Amplification Attack,True,T1498.002 - Impact: Reflection/Amplification Attack;T1498.001 - Impact: Direct Network Flood;TA0011 - Command-and-Control,T1498.002 - Impact: Reflection/Amplification Attack;T1498.001 - Impact: Direct Network Flood;TA0011 - Command-and-Control,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.9787953123151715e-05,5.9787953123151715e-05,1.0,True,9,202,180,20,700,201,180,180,180,180,False
T1498.001 - Impact: Direct Network Flood,T1583.005 - Resource Development: Acquire Botnet,False,T1498.001 - Impact: Direct Network Flood;T1595 - Reconnaissance: Active Scanning;TA0011 - Command-and-Control,T1583.005 - Resource Development: Acquire Botnet;T1036 - Defense Evasion: Masquerading;T1571 - Defense Evasion: Non-Standard Port,0,0.0,-0.35,-0.5396032723323769,8.901847240951761e-06,2.549194328629188e-05,0.1390485470195607,0.37967696037449145,6.819178177903747e-05,6.926542888634883e-05,1.0157445234499123,False,9,202,720,10,700,201,720,720,720,90,True
T1498.001 - Impact: Direct Network Flood,T1498.001 - Impact: Direct Network Flood,True,T1498.001 - Impact: Direct Network Flood;T1595 - Reconnaissance: Active Scanning;TA0011 - Command-and-Control,T1498.001 - Impact: Direct Network Flood;T1590 - Reconnaissance: Gather Victim Network Information;T1595 - Reconnaissance: Active Scanning,2,0.5,0.26666666666666666,0.32888901200544507,4.8682344558446015e-06,1.3504659063900309e-05,0.07793769683748097,0.2032292131358565,6.819178177903747e-05,6.49496852724622e-05,0.952456198943728,True,9,202,720,20,700,201,720,720,720,180,True
