model_id,model_name,node_id,node_name,benchmark,benchmark_task,warning_flags,n_experts_used
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,BountyBench,,experts_nearly_identical,5
RM6,OC3 + Financial + DDoS,node-1758553529063-4-293,Impact: Direct Network Flood,BountyBench,,experts_nearly_identical,5
RM6,OC3 + Financial + DDoS,node-1758555035714-7-445,Defense Evasion: Non-Standard Port - Uncertainty,CyBench,,experts_nearly_identical,5
RM6,OC3 + Financial + DDoS,node-1758556505333-9-131,Number of Actors,BountyBench,Agentscope,large_wasserstein_disagreement,5
RM6,OC3 + Financial + DDoS,node-1758556505333-9-131,Number of Actors,BountyBench,Imaginairy,large_wasserstein_disagreement,5
RM6,OC3 + Financial + DDoS,node-1758556505333-9-131,Number of Actors,BountyBench,MLFlow0,large_wasserstein_disagreement,5
RM6,OC3 + Financial + DDoS,node-1758556505333-9-131,Number of Actors,BountyBench,MLFlow1,large_wasserstein_disagreement,5
RM6,OC3 + Financial + DDoS,node-1758556505333-9-131,Number of Actors,BountyBench,Paddle,large_wasserstein_disagreement,5
RM6,OC3 + Financial + DDoS,node-1758556505333-9-131,Number of Actors,BountyBench,cURL,large_wasserstein_disagreement,5
RM6,OC3 + Financial + DDoS,node-1758556505333-9-131,Number of Actors,BountyBench,fastAPI,large_wasserstein_disagreement,5
RM6,OC3 + Financial + DDoS,node-1758556505333-9-131,Number of Actors,BountyBench,gunicorn,large_wasserstein_disagreement,5
RM6,OC3 + Financial + DDoS,node-1758556505333-9-131,Number of Actors,BountyBench,librechat,large_wasserstein_disagreement,5
RM6,OC3 + Financial + DDoS,node-1758556505333-9-131,Number of Actors,BountyBench,pytorchLightning,large_wasserstein_disagreement,5
RM6,OC3 + Financial + DDoS,node-1758556505333-9-131,Number of Actors,BountyBench,,experts_nearly_identical,5
RM6,OC3 + Financial + DDoS,node-1758557100534-14-225,Number of Attempts per Actor,BountyBench,Agentscope,large_wasserstein_disagreement,5
RM6,OC3 + Financial + DDoS,node-1758557100534-14-225,Number of Attempts per Actor,BountyBench,Imaginairy,large_wasserstein_disagreement,5
RM6,OC3 + Financial + DDoS,node-1758557100534-14-225,Number of Attempts per Actor,BountyBench,MLFlow0,large_wasserstein_disagreement,5
RM6,OC3 + Financial + DDoS,node-1758557100534-14-225,Number of Attempts per Actor,BountyBench,MLFlow1,large_wasserstein_disagreement,5
RM6,OC3 + Financial + DDoS,node-1758557100534-14-225,Number of Attempts per Actor,BountyBench,Paddle,large_wasserstein_disagreement,5
RM6,OC3 + Financial + DDoS,node-1758557100534-14-225,Number of Attempts per Actor,BountyBench,cURL,large_wasserstein_disagreement,5
RM6,OC3 + Financial + DDoS,node-1758557100534-14-225,Number of Attempts per Actor,BountyBench,fastAPI,large_wasserstein_disagreement,5
RM6,OC3 + Financial + DDoS,node-1758557100534-14-225,Number of Attempts per Actor,BountyBench,gunicorn,large_wasserstein_disagreement,5
RM6,OC3 + Financial + DDoS,node-1758557100534-14-225,Number of Attempts per Actor,BountyBench,librechat,large_wasserstein_disagreement,5
RM6,OC3 + Financial + DDoS,node-1758557100534-14-225,Number of Attempts per Actor,BountyBench,pytorchLightning,large_wasserstein_disagreement,5
RM6,OC3 + Financial + DDoS,node-1758557100534-14-225,Number of Attempts per Actor,BountyBench,,experts_nearly_identical,5
RM6,OC3 + Financial + DDoS,node-1759855419610-1-403,Reconnaissance: Gather Victim Network Information - Uncertainty,BountyBench,,experts_nearly_identical,5
RM6,OC3 + Financial + DDoS,node-1759855842179-2-599,Reconnaissance: Active Scanning- Uncertainty,BountyBench,,experts_nearly_identical,5
RM6,OC3 + Financial + DDoS,node-1759856241315-4-569,Impact: Reflection/Amplification Attack,BountyBench,,experts_nearly_identical,5
RM6,OC3 + Financial + DDoS,node-1759856478056-5-658,Resource Development: Acquire Botnet - Uncertainty,CyBench,,experts_nearly_identical,5
RM6,OC3 + Financial + DDoS,node-1759856532749-6-623,Defense Evasion: Masquerading - Uncertainty,CyBench,,experts_nearly_identical,5
RM6,OC3 + Financial + DDoS,node-1759932270563-1-454,Command and Control,BountyBench,,experts_nearly_identical,5
RM6,OC3 + Financial + DDoS,node-1759932478071-2-882,Damage per Attack,BountyBench,Agentscope,large_wasserstein_disagreement,5
RM6,OC3 + Financial + DDoS,node-1759932478071-2-882,Damage per Attack,BountyBench,Imaginairy,large_wasserstein_disagreement,5
RM6,OC3 + Financial + DDoS,node-1759932478071-2-882,Damage per Attack,BountyBench,MLFlow0,large_wasserstein_disagreement,5
RM6,OC3 + Financial + DDoS,node-1759932478071-2-882,Damage per Attack,BountyBench,MLFlow1,large_wasserstein_disagreement,5
RM6,OC3 + Financial + DDoS,node-1759932478071-2-882,Damage per Attack,BountyBench,Paddle,large_wasserstein_disagreement,5
RM6,OC3 + Financial + DDoS,node-1759932478071-2-882,Damage per Attack,BountyBench,cURL,large_wasserstein_disagreement,5
RM6,OC3 + Financial + DDoS,node-1759932478071-2-882,Damage per Attack,BountyBench,fastAPI,large_wasserstein_disagreement,5
RM6,OC3 + Financial + DDoS,node-1759932478071-2-882,Damage per Attack,BountyBench,gunicorn,large_wasserstein_disagreement,5
RM6,OC3 + Financial + DDoS,node-1759932478071-2-882,Damage per Attack,BountyBench,librechat,large_wasserstein_disagreement,5
RM6,OC3 + Financial + DDoS,node-1759932478071-2-882,Damage per Attack,BountyBench,pytorchLightning,large_wasserstein_disagreement,5
RM6,OC3 + Financial + DDoS,node-1759932478071-2-882,Damage per Attack,BountyBench,,experts_nearly_identical,5
