model_id,model_name,node_id,node_name,benchmark,benchmark_task,expert_i,expert_j,w1,w1_sq,w2,w2_sq,distribution_families_used,best_methods_used
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,BountyBench,Agentscope,Defensive Security Specialist,Malware Reverse Engineer,0.06927253465047482,0.004798684056901235,0.0766842044649254,0.005880467214418483,"[""beta""]","[""beta_quantile_mode""]"
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,BountyBench,Agentscope,Defensive Security Specialist,AI/ML Security Researcher,0.014702802471635724,0.00021617240051993757,0.017546884449548134,0.00030789315388579414,"[""beta""]","[""beta_quantile_mode""]"
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,BountyBench,Agentscope,Defensive Security Specialist,Threat Intelligence Analyst,0.05998491267494829,0.0035981897486211723,0.07501310317448932,0.005626965647866581,"[""beta""]","[""beta_quantile_mode""]"
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,BountyBench,Agentscope,Defensive Security Specialist,Security Software Developer,0.047914434637054054,0.002295793046588525,0.04885470119986507,0.0023867818293280977,"[""beta""]","[""beta_quantile_mode""]"
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,BountyBench,Agentscope,Malware Reverse Engineer,AI/ML Security Researcher,0.0643123546064462,0.004136078955025282,0.07738429088594875,0.005988328475921131,"[""beta""]","[""beta_quantile_mode""]"
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,BountyBench,Agentscope,Malware Reverse Engineer,Threat Intelligence Analyst,0.03450260073607591,0.001190429457553066,0.041144884184921286,0.001692901494590586,"[""beta""]","[""beta_quantile_mode""]"
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,BountyBench,Agentscope,Malware Reverse Engineer,Security Software Developer,0.02557866247947879,0.000654267974239096,0.03192647304321627,0.0010192996809792148,"[""beta""]","[""beta_quantile_mode""]"
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,BountyBench,Agentscope,AI/ML Security Researcher,Threat Intelligence Analyst,0.06751019372943892,0.004557626257386375,0.0844651126286568,0.007134355251371678,"[""beta""]","[""beta_quantile_mode""]"
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,BountyBench,Agentscope,AI/ML Security Researcher,Security Software Developer,0.03991958113290513,0.001593572957826595,0.04624379023522324,0.0021384881353193282,"[""beta""]","[""beta_quantile_mode""]"
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,BountyBench,Agentscope,Threat Intelligence Analyst,Security Software Developer,0.04396513480651244,0.001932933078554812,0.054158788729381006,0.002933174396633727,"[""beta""]","[""beta_quantile_mode""]"
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,BountyBench,Imaginairy,Defensive Security Specialist,Malware Reverse Engineer,0.009644222554527659,9.301102868126001e-05,0.011289132808034235,0.00012744451955743494,"[""beta""]","[""beta_quantile_mode""]"
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,BountyBench,Imaginairy,Defensive Security Specialist,AI/ML Security Researcher,0.007237433872382583,5.2380449057110754e-05,0.007339457438189424,5.386763548699405e-05,"[""beta""]","[""beta_quantile_mode""]"
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,BountyBench,Imaginairy,Defensive Security Specialist,Threat Intelligence Analyst,0.043240376915571685,0.0018697301958007046,0.05329774177404586,0.002840649278212873,"[""beta""]","[""beta_quantile_mode""]"
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,BountyBench,Imaginairy,Defensive Security Specialist,Security Software Developer,0.08358714251550067,0.00698681039390662,0.10292074551826141,0.010592679858034726,"[""beta""]","[""beta_quantile_mode""]"
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,BountyBench,Imaginairy,Malware Reverse Engineer,AI/ML Security Researcher,0.013561285308369947,0.00018390845921501057,0.015623803885518118,0.00024410324785313102,"[""beta""]","[""beta_quantile_mode""]"
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,BountyBench,Imaginairy,Malware Reverse Engineer,Threat Intelligence Analyst,0.03531364351217164,0.001247053418104742,0.044019539074416615,0.001937719820324091,"[""beta""]","[""beta_quantile_mode""]"
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,BountyBench,Imaginairy,Malware Reverse Engineer,Security Software Developer,0.07495995620571508,0.005618995034362723,0.09281866727681082,0.00861530499504331,"[""beta""]","[""beta_quantile_mode""]"
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,BountyBench,Imaginairy,AI/ML Security Researcher,Threat Intelligence Analyst,0.043241479756769105,0.0018698255715550722,0.05268176661341606,0.0027753685335104392,"[""beta""]","[""beta_quantile_mode""]"
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,BountyBench,Imaginairy,AI/ML Security Researcher,Security Software Developer,0.0839551907966533,0.007048474061702459,0.10287877548736338,0.01058404244577932,"[""beta""]","[""beta_quantile_mode""]"
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,BountyBench,Imaginairy,Threat Intelligence Analyst,Security Software Developer,0.040744966949623485,0.00166015233172591,0.050430396843673474,0.002543224925810391,"[""beta""]","[""beta_quantile_mode""]"
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,BountyBench,MLFlow0,Defensive Security Specialist,Malware Reverse Engineer,0.06014251754474713,0.003617122416620216,0.07551156112806161,0.005701995863996984,"[""beta""]","[""beta_quantile_mode""]"
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,BountyBench,MLFlow0,Defensive Security Specialist,AI/ML Security Researcher,0.06625138267365759,0.004389245706171416,0.08331092645786856,0.006940710467268384,"[""beta""]","[""beta_quantile_mode""]"
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,BountyBench,MLFlow0,Defensive Security Specialist,Threat Intelligence Analyst,0.02550604773697339,0.0006505584711607653,0.02807528535954859,0.0007882216480200835,"[""beta""]","[""beta_quantile_mode""]"
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,BountyBench,MLFlow0,Defensive Security Specialist,Security Software Developer,0.025069500177053186,0.0006284798391272698,0.031238414240748354,0.0009758385242765896,"[""beta""]","[""beta_quantile_mode""]"
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,BountyBench,MLFlow0,Malware Reverse Engineer,AI/ML Security Researcher,0.010166264325820983,0.00010335293034246036,0.010681123500267469,0.000114086399227966,"[""beta""]","[""beta_quantile_mode""]"
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,BountyBench,MLFlow0,Malware Reverse Engineer,Threat Intelligence Analyst,0.06578571436914064,0.004327760215058158,0.08098117188665535,0.006557950200136019,"[""beta""]","[""beta_quantile_mode""]"
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,BountyBench,MLFlow0,Malware Reverse Engineer,Security Software Developer,0.03525971799584142,0.0012432477131462632,0.04441751409842873,0.0019729155586841146,"[""beta""]","[""beta_quantile_mode""]"
