model_id,model_name,node_id,node_name,expert,benchmark,benchmark_task,low_ci,high_ci,mode,confidence,min,max,row_index,row_type,row_valid,validation_errors,validation_warnings,method,success,status,message,alpha,beta,a,b,pert_lambda,support_upper_bound_used,fitted_mode,fitted_mass,q_low,q_high,fitted_low_quantile,fitted_high_quantile,mode_error,mass_error,low_error,high_error,loss,unified_score
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,Defensive Security Specialist,BountyBench,,0.4,0.85,0.6,0.9,0.0,1.0,0,probability,True,,,beta_quantile_mode,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,7.662677628927888,4.847809261457195,,,,,0.6339076104098333,0.9117026710505911,0.04999999999999999,0.95,0.3836730333338753,0.8200929760464322,0.033907610409833366,0.011702671050591085,-0.01632696666612471,-0.029907023953567813,0.0023107259659810664,0.002447678475699409
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,Defensive Security Specialist,BountyBench,Agentscope,0.45,0.68,0.61,0.75,0.0,1.0,1,probability,True,,,beta_quantile_mode,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,13.555795197857448,9.85862350647425,,,,,0.5863243532880801,0.7352475330067699,0.125,0.875,0.46129174489283153,0.69500011259028,-0.023675646711919907,-0.014752466993230073,0.011291744892831523,0.015000112590280001,0.0009130431276735073,0.00113067841005985
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,Defensive Security Specialist,BountyBench,Imaginairy,0.47,0.77,0.62,0.65,0.0,1.0,2,probability,True,,,beta_quantile_mode,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,5.926404928077607,3.8101936040233286,,,,,0.6367662620254643,0.6667609133263004,0.175,0.825,0.463257132155866,0.7551074278427032,0.016766262025464274,0.016760913326300364,-0.006742867844133971,-0.01489257215729678,0.0005483625145302725,0.0008292907300620257
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,Defensive Security Specialist,BountyBench,librechat,0.56,0.71,0.63,0.7,0.0,1.0,3,probability,True,,,beta_quantile_mode,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,28.468060496913434,16.627734721803755,,,,,0.6373721695471493,0.7050627336740547,0.15000000000000002,0.85,0.5567625127490033,0.70545151255663,0.007372169547149254,0.005062733674054742,-0.0032374872509967068,-0.004548487443369997,8.55189455547756e-05,0.00011115021780918341
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,Defensive Security Specialist,BountyBench,Paddle,0.57,0.71,0.65,0.7,0.0,1.0,4,probability,True,,,beta_quantile_mode,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,32.02403006397371,17.894787389326552,,,,,0.6474289582418947,0.6976969138947121,0.15000000000000002,0.85,0.571121397893747,0.7115920637863942,-0.002571041758105297,-0.0023030861052878437,0.0011213978937471003,0.0015920637863942044,1.040245605796946e-05,1.570666166633939e-05
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,Defensive Security Specialist,BountyBench,fastAPI,0.55,0.74,0.66,0.75,0.0,1.0,5,probability,True,,,beta_quantile_mode,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,21.32170634422245,11.603020030660048,,,,,0.6571345562730032,0.7474620178095233,0.125,0.875,0.5512032136279905,0.7418965283685909,-0.002865443726996819,-0.0025379821904767397,0.0012032136279904737,0.0018965283685908885,1.3255310640037437e-05,1.9696664239214544e-05
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,Defensive Security Specialist,BountyBench,MLFlow0,0.47,0.73,0.62,0.7,0.0,1.0,6,probability,True,,,beta_quantile_mode,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,9.0461647510098,5.981747141276454,,,,,0.6176096996613774,0.698092469751357,0.15000000000000002,0.85,0.4710449677332463,0.7317858942577938,-0.002390300338622642,-0.0019075302486429857,0.0010449677332463048,0.001785894257793852,9.99491157236649e-06,1.363358322185446e-05
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,Defensive Security Specialist,BountyBench,cURL,0.48,0.76,0.62,0.75,0.0,1.0,7,probability,True,,,beta_quantile_mode,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,9.925020048773652,6.211409677703665,,,,,0.631348948883269,0.7578545170376256,0.125,0.875,0.47504327083095954,0.7515377128873405,0.011348948883268983,0.00785451703762563,-0.004956729169040441,-0.008462287112659506,0.0002249781079873518,0.00028667154588170313
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,Defensive Security Specialist,BountyBench,gunicorn,0.58,0.7,0.64,0.7,0.0,1.0,8,probability,True,,,beta_quantile_mode,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,44.18388438225447,24.99694607044202,,,,,0.6428006931629284,0.7020958574258149,0.15000000000000002,0.85,0.5787658301818366,0.698354953467659,0.0028006931629284137,0.002095857425814973,-0.0012341698181633776,-0.001645046532340988,1.2073235426506497e-05,1.6465853775850263e-05
RM6,OC3 + Financial + DDoS,node-1758548793791-1-216,Resource Development: Build Compromise Botnet - Uncertainty,Defensive Security Specialist,BountyBench,MLFlow1,0.57,0.72,0.64,0.7,0.0,1.0,9,probability,True,,,beta_quantile_mode,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,28.637772434894064,16.031829651921242,,,,,0.647715729306836,0.705803885389148,0.15000000000000002,0.85,0.5666615758254852,0.7151670090064433,0.00771572930683595,0.005803885389148,-0.003338424174514798,-0.004832990993556718,9.403535664915234e-05,0.00012772044225951797
