policy_name,budget,n_runs,mean_step_count_l1_imbalance,median_step_count_l1_imbalance,max_step_count_l1_imbalance,mean_max_min_revealed_row_ratio,maximum_observed_revealed_row_count_any_step,minimum_observed_revealed_row_count_any_step,average_steps_above_initial_5,average_steps_still_at_initial_5
epsilon_greedy_eps0.2,45,30,0.0,0.0,0.0,1.0,5,5,0.0,9.0
epsilon_greedy_eps0.2,90,30,43.333333333333336,44.0,60.0,3.7399999999999998,37,5,8.733333333333333,0.26666666666666666
epsilon_greedy_eps0.2,135,30,69.0,69.0,104.0,5.167460317460317,66,6,9.0,0.0
epsilon_greedy_eps0.2,180,30,87.73333333333333,89.0,134.0,5.254374606874608,75,8,9.0,0.0
epsilon_greedy_eps0.2,225,30,123.26666666666667,124.0,158.0,5.4054230491730495,95,10,9.0,0.0
epsilon_greedy_eps0.2,270,30,154.8,153.0,192.0,5.48966438689736,118,12,9.0,0.0
epsilon_greedy_eps0.2,315,30,179.06666666666666,182.0,240.0,5.47114539542558,147,14,9.0,0.0
epsilon_greedy_eps0.2,360,30,208.6,206.0,294.0,5.558436735131378,186,17,9.0,0.0
epsilon_greedy_eps0.2,405,30,235.4,227.0,342.0,5.655316107953407,200,18,9.0,0.0
epsilon_greedy_eps0.2,450,30,265.06666666666666,264.0,360.0,5.70106773042605,200,20,9.0,0.0
epsilon_greedy_eps0.2,495,30,294.53333333333336,293.0,396.0,5.659060272477217,200,22,9.0,0.0
epsilon_greedy_eps0.2,540,30,318.1333333333333,324.0,406.0,5.562933065321369,200,24,9.0,0.0
epsilon_greedy_eps0.2,585,30,344.93333333333334,354.0,438.0,5.444602767825657,200,27,9.0,0.0
epsilon_greedy_eps0.2,630,30,376.53333333333336,384.0,484.0,5.405232897661871,200,30,9.0,0.0
epsilon_greedy_eps0.2,675,30,402.1333333333333,403.0,522.0,5.323415631552974,200,31,9.0,0.0
epsilon_greedy_eps0.2,720,30,413.8666666666667,419.0,544.0,5.057097878718894,200,33,9.0,0.0
epsilon_greedy_eps0.2,765,30,419.8666666666667,415.0,520.0,4.790784761695185,200,35,9.0,0.0
epsilon_greedy_eps0.2,810,30,432.3333333333333,435.0,518.0,4.593456632407224,200,37,9.0,0.0
epsilon_greedy_eps0.2,855,30,441.93333333333334,447.0,544.0,4.317807074345307,200,40,9.0,0.0
epsilon_greedy_eps0.2,900,30,457.4,462.0,570.0,4.046487169532681,200,43,9.0,0.0
epsilon_greedy_eps0.2,945,30,463.1333333333333,473.0,584.0,3.802327217573812,200,45,9.0,0.0
epsilon_greedy_eps0.2,990,30,466.8,458.0,616.0,3.5715365914611534,200,47,9.0,0.0
epsilon_greedy_eps0.2,1035,30,464.26666666666665,461.0,596.0,3.3422228762762693,200,51,9.0,0.0
epsilon_greedy_eps0.2,1080,30,456.1333333333333,458.0,604.0,3.1210471051738873,200,53,9.0,0.0
epsilon_greedy_eps0.2,1125,30,451.06666666666666,453.0,598.0,2.9352561417278196,200,56,9.0,0.0
epsilon_greedy_eps0.2,1170,30,449.6,446.0,558.0,2.765695334644977,200,59,9.0,0.0
epsilon_greedy_eps0.2,1215,30,443.3333333333333,458.0,552.0,2.6100838428603144,200,63,9.0,0.0
epsilon_greedy_eps0.2,1260,30,430.93333333333334,440.0,540.0,2.46561128015851,200,69,9.0,0.0
epsilon_greedy_eps0.2,1305,30,418.26666666666665,421.0,522.0,2.318759712629328,200,72,9.0,0.0
epsilon_greedy_eps0.2,1350,30,402.8666666666667,398.0,498.0,2.1666763336398827,200,77,9.0,0.0
epsilon_greedy_eps0.2,1395,30,378.8,366.0,448.0,2.050393162214929,200,82,9.0,0.0
epsilon_greedy_eps0.2,1440,30,350.53333333333336,346.0,424.0,1.9039038426734451,200,89,9.0,0.0
epsilon_greedy_eps0.2,1485,30,322.0,331.0,416.0,1.8014072467841886,200,92,9.0,0.0
epsilon_greedy_eps0.2,1530,30,289.46666666666664,298.0,356.0,1.6856748505151524,200,107,9.0,0.0
epsilon_greedy_eps0.2,1575,30,258.4,250.0,298.0,1.598863769336125,200,111,9.0,0.0
epsilon_greedy_eps0.2,1620,30,213.06666666666666,215.0,242.0,1.498428863075553,200,118,9.0,0.0
epsilon_greedy_eps0.2,1665,30,171.73333333333332,176.0,206.0,1.3990106561861073,200,130,9.0,0.0
epsilon_greedy_eps0.2,1710,30,126.46666666666667,132.0,138.0,1.3001927725981837,200,136,9.0,0.0
epsilon_greedy_eps0.2,1755,30,66.53333333333333,66.0,78.0,1.1650290424046519,200,156,9.0,0.0
epsilon_greedy_eps0.2,1798,30,0.0,0.0,0.0,1.0050251256281406,200,199,9.0,0.0
exploration_bonus_c0.25,45,30,0.0,0.0,0.0,1.0,5,5,0.0,9.0
exploration_bonus_c0.25,90,30,50.46666666666667,50.0,64.0,4.493333333333334,34,5,4.166666666666667,4.833333333333333
exploration_bonus_c0.25,135,30,94.0,98.0,120.0,8.946666666666667,67,5,4.8,4.2
exploration_bonus_c0.25,180,30,148.33333333333334,151.0,180.0,14.999999999999998,110,5,4.966666666666667,4.033333333333333
exploration_bonus_c0.25,225,30,210.8,214.0,260.0,22.233333333333334,155,5,4.966666666666667,4.033333333333333
exploration_bonus_c0.25,270,30,274.8,270.0,340.0,29.306666666666665,200,5,5.0,4.0
exploration_bonus_c0.25,315,30,323.6,328.0,378.0,34.3,200,5,5.066666666666666,3.933333333333333
exploration_bonus_c0.25,360,30,366.0,361.0,448.0,36.3,200,5,5.266666666666667,3.7333333333333334
exploration_bonus_c0.25,405,30,417.4,420.0,518.0,37.67999999999999,200,5,5.333333333333333,3.6666666666666665
exploration_bonus_c0.25,450,30,470.2,475.0,552.0,39.586666666666666,200,5,5.466666666666667,3.533333333333333
exploration_bonus_c0.25,495,30,516.9333333333333,519.0,584.0,39.89999999999999,200,5,5.5,3.5
exploration_bonus_c0.25,540,30,556.4666666666667,559.0,644.0,39.93333333333332,200,5,5.6,3.4
exploration_bonus_c0.25,585,30,592.0,593.0,704.0,39.93999999999999,200,5,5.733333333333333,3.2666666666666666
exploration_bonus_c0.25,630,30,618.5333333333333,611.0,764.0,39.946666666666665,200,5,5.833333333333333,3.1666666666666665
exploration_bonus_c0.25,675,30,643.0666666666667,653.0,748.0,39.95333333333333,200,5,6.033333333333333,2.966666666666667
exploration_bonus_c0.25,720,30,661.9333333333333,659.0,736.0,39.96666666666667,200,5,6.166666666666667,2.8333333333333335
exploration_bonus_c0.25,765,30,681.4,686.0,786.0,39.973333333333336,200,5,6.366666666666666,2.6333333333333333
exploration_bonus_c0.25,810,30,702.4,708.0,826.0,39.400740740740744,200,5,6.5,2.5
exploration_bonus_c0.25,855,30,728.2666666666667,741.0,838.0,38.81481481481481,200,5,6.7,2.3
exploration_bonus_c0.25,900,30,734.7333333333333,760.0,798.0,37.62962962962963,200,5,7.066666666666666,1.9333333333333333
exploration_bonus_c0.25,945,30,727.3333333333334,756.0,800.0,36.84126984126984,200,5,7.366666666666666,1.6333333333333333
exploration_bonus_c0.25,990,30,721.4,718.0,836.0,35.89177489177489,200,5,7.633333333333334,1.3666666666666667
exploration_bonus_c0.25,1035,30,718.3333333333334,697.0,846.0,34.84829663090533,200,5,7.766666666666667,1.2333333333333334
exploration_bonus_c0.25,1080,30,711.8,705.0,796.0,34.59262959262959,200,5,7.9,1.1
exploration_bonus_c0.25,1125,30,704.6666666666666,716.0,748.0,34.000037000037,200,5,7.966666666666667,1.0333333333333334
exploration_bonus_c0.25,1170,30,690.4,696.0,750.0,33.64818514818515,200,5,8.066666666666666,0.9333333333333333
exploration_bonus_c0.25,1215,30,677.4666666666667,648.0,776.0,31.589577089577087,200,5,8.3,0.7
exploration_bonus_c0.25,1260,30,648.0,649.0,716.0,30.041510633615896,200,5,8.5,0.5
exploration_bonus_c0.25,1305,30,615.6,651.0,656.0,28.091041025251553,200,5,8.566666666666666,0.43333333333333335
exploration_bonus_c0.25,1350,30,576.2666666666667,596.0,596.0,27.424374358584885,200,5,8.6,0.4
exploration_bonus_c0.25,1395,30,547.8666666666667,554.0,600.0,24.683747204487997,200,5,8.666666666666666,0.3333333333333333
exploration_bonus_c0.25,1440,30,525.8,544.0,556.0,18.991541262282052,200,5,8.933333333333334,0.06666666666666667
exploration_bonus_c0.25,1485,30,474.8,486.0,488.0,13.990352636093426,200,5,8.966666666666667,0.03333333333333333
exploration_bonus_c0.25,1530,30,408.53333333333336,416.0,418.0,12.12684881251246,200,7,9.0,0.0
exploration_bonus_c0.25,1575,30,344.26666666666665,346.0,348.0,11.824997846290378,200,7,9.0,0.0
exploration_bonus_c0.25,1620,30,305.53333333333336,316.0,316.0,7.571490202689854,200,22,9.0,0.0
exploration_bonus_c0.25,1665,30,235.0,236.0,236.0,2.9668729523116117,200,67,9.0,0.0
exploration_bonus_c0.25,1710,30,156.0,156.0,156.0,1.7857142857142856,200,112,9.0,0.0
exploration_bonus_c0.25,1755,30,76.0,76.0,76.0,1.2738853503184717,200,157,9.0,0.0
exploration_bonus_c0.25,1798,30,0.0,0.0,0.0,1.0050251256281406,200,199,9.0,0.0
exploration_bonus_c0.5,45,30,0.0,0.0,0.0,1.0,5,5,0.0,9.0
exploration_bonus_c0.5,90,30,45.266666666666666,45.0,58.0,4.1066666666666665,27,5,4.933333333333334,4.066666666666666
exploration_bonus_c0.5,135,30,83.8,86.0,106.0,8.42,67,5,5.533333333333333,3.466666666666667
exploration_bonus_c0.5,180,30,132.06666666666666,134.0,172.0,13.233333333333333,106,5,5.833333333333333,3.1666666666666665
exploration_bonus_c0.5,225,30,185.0,190.0,232.0,19.099999999999998,134,5,6.0,3.0
exploration_bonus_c0.5,270,30,234.53333333333333,235.0,300.0,23.98666666666666,179,5,6.233333333333333,2.7666666666666666
exploration_bonus_c0.5,315,30,282.46666666666664,283.0,370.0,27.986666666666668,200,5,6.5,2.5
exploration_bonus_c0.5,360,30,324.4,330.0,418.0,31.386666666666667,200,5,6.766666666666667,2.2333333333333334
exploration_bonus_c0.5,405,30,367.1333333333333,367.0,474.0,34.013333333333335,200,5,6.833333333333333,2.1666666666666665
exploration_bonus_c0.5,450,30,410.8666666666667,409.0,544.0,36.166666666666664,200,5,7.0,2.0
exploration_bonus_c0.5,495,30,452.1333333333333,449.0,578.0,36.66645502645502,200,5,7.166666666666667,1.8333333333333333
exploration_bonus_c0.5,540,30,487.06666666666666,488.0,600.0,35.06729344729344,200,5,7.533333333333333,1.4666666666666666
exploration_bonus_c0.5,585,30,518.4666666666667,530.0,626.0,34.84930402930402,200,5,7.7,1.3
exploration_bonus_c0.5,630,30,553.0,543.0,670.0,35.1854945054945,200,5,7.733333333333333,1.2666666666666666
exploration_bonus_c0.5,675,30,589.2666666666667,585.0,722.0,35.1396743996744,200,5,7.766666666666667,1.2333333333333334
exploration_bonus_c0.5,720,30,610.4666666666667,595.0,720.0,34.45578347578348,200,5,7.966666666666667,1.0333333333333334
exploration_bonus_c0.5,765,30,615.4666666666667,606.0,718.0,33.73517741517742,200,5,8.1,0.9
exploration_bonus_c0.5,810,30,630.7333333333333,630.0,738.0,33.7140663040663,200,5,8.1,0.9
exploration_bonus_c0.5,855,30,646.3333333333334,647.0,788.0,33.49851074851075,200,5,8.133333333333333,0.8666666666666667
exploration_bonus_c0.5,900,30,662.5333333333333,670.0,798.0,33.05406630406631,200,5,8.266666666666667,0.7333333333333333
exploration_bonus_c0.5,945,30,665.7333333333333,668.0,758.0,31.64031339031339,200,5,8.333333333333334,0.6666666666666666
exploration_bonus_c0.5,990,30,657.4,672.0,768.0,30.26200651200651,200,5,8.4,0.6
exploration_bonus_c0.5,1035,30,656.4,675.0,808.0,28.66510944771814,200,5,8.533333333333333,0.4666666666666667
exploration_bonus_c0.5,1080,30,661.2666666666667,653.0,796.0,27.526220558829255,200,5,8.6,0.4
exploration_bonus_c0.5,1125,30,658.7333333333333,658.0,748.0,26.927661710270407,200,5,8.6,0.4
exploration_bonus_c0.5,1170,30,648.8666666666667,672.0,718.0,26.57615795087191,200,5,8.6,0.4
exploration_bonus_c0.5,1215,30,637.6666666666666,648.0,748.0,25.146029303351956,200,5,8.666666666666666,0.3333333333333333
exploration_bonus_c0.5,1260,30,626.2666666666667,606.0,716.0,23.367034304628586,200,5,8.733333333333333,0.26666666666666666
exploration_bonus_c0.5,1305,30,596.0666666666667,594.0,658.0,22.50081029371311,200,5,8.733333333333333,0.26666666666666666
exploration_bonus_c0.5,1350,30,561.4666666666667,585.0,598.0,19.026909194812006,200,5,8.933333333333334,0.06666666666666667
exploration_bonus_c0.5,1395,30,533.6,536.0,596.0,17.729123647026462,200,5,8.966666666666667,0.03333333333333333
exploration_bonus_c0.5,1440,30,498.2,478.0,558.0,15.326479205844327,200,7,9.0,0.0
exploration_bonus_c0.5,1485,30,454.26666666666665,467.0,488.0,13.191554093636176,200,7,9.0,0.0
exploration_bonus_c0.5,1530,30,402.8,416.0,418.0,12.231463813738522,200,7,9.0,0.0
exploration_bonus_c0.5,1575,30,343.3333333333333,346.0,348.0,10.4584691434735,200,7,9.0,0.0
exploration_bonus_c0.5,1620,30,293.53333333333336,284.0,316.0,6.099361973290344,200,22,9.0,0.0
exploration_bonus_c0.5,1665,30,233.6,236.0,236.0,2.8965386374341184,200,67,9.0,0.0
exploration_bonus_c0.5,1710,30,155.4,156.0,156.0,1.7697634609399315,200,112,9.0,0.0
exploration_bonus_c0.5,1755,30,75.93333333333334,76.0,76.0,1.2736165981348602,200,157,9.0,0.0
exploration_bonus_c0.5,1798,30,0.0,0.0,0.0,1.0050251256281406,200,199,9.0,0.0
exploration_bonus_c1.0,45,30,0.0,0.0,0.0,1.0,5,5,0.0,9.0
exploration_bonus_c1.0,90,30,39.46666666666667,40.0,48.0,3.6,24,5,5.7,3.3
exploration_bonus_c1.0,135,30,58.46666666666667,56.0,88.0,5.584444444444443,44,5,7.633333333333334,1.3666666666666667
exploration_bonus_c1.0,180,30,93.66666666666667,90.0,132.0,9.449864949864947,84,5,7.966666666666667,1.0333333333333334
exploration_bonus_c1.0,225,30,135.13333333333333,130.0,186.0,12.362727735227736,118,5,8.2,0.8
exploration_bonus_c1.0,270,30,187.6,193.0,266.0,16.17414428164428,163,5,8.433333333333334,0.5666666666666667
exploration_bonus_c1.0,315,30,239.33333333333334,239.0,330.0,19.442308894808892,200,5,8.533333333333333,0.4666666666666667
exploration_bonus_c1.0,360,30,281.46666666666664,292.0,388.0,21.57054057054057,200,5,8.7,0.3
exploration_bonus_c1.0,405,30,323.8,328.0,444.0,23.504932104932102,200,5,8.766666666666667,0.23333333333333334
exploration_bonus_c1.0,450,30,356.8,365.0,472.0,23.698503533503533,200,5,8.833333333333334,0.16666666666666666
exploration_bonus_c1.0,495,30,387.46666666666664,391.0,490.0,24.87159877159877,200,5,8.833333333333334,0.16666666666666666
exploration_bonus_c1.0,540,30,421.1333333333333,432.0,516.0,23.6241619029119,200,5,8.866666666666667,0.13333333333333333
exploration_bonus_c1.0,585,30,456.2,451.0,568.0,23.40063047246871,200,5,8.866666666666667,0.13333333333333333
exploration_bonus_c1.0,630,30,489.6,491.0,608.0,23.022536970110497,200,5,8.866666666666667,0.13333333333333333
exploration_bonus_c1.0,675,30,520.2,505.0,668.0,22.8035718284983,200,5,8.866666666666667,0.13333333333333333
exploration_bonus_c1.0,720,30,551.2666666666667,532.0,718.0,22.064836435351136,200,5,8.866666666666667,0.13333333333333333
exploration_bonus_c1.0,765,30,579.0,573.0,706.0,21.858975868902334,200,5,8.866666666666667,0.13333333333333333
exploration_bonus_c1.0,810,30,604.2666666666667,617.0,716.0,20.655120696297164,200,5,8.9,0.1
exploration_bonus_c1.0,855,30,618.2,630.0,766.0,19.38172031500205,200,5,8.933333333333334,0.06666666666666667
exploration_bonus_c1.0,900,30,633.2,635.0,796.0,18.29514281495481,200,5,8.933333333333334,0.06666666666666667
exploration_bonus_c1.0,945,30,640.2666666666667,624.0,758.0,17.87473519062562,200,5,8.933333333333334,0.06666666666666667
exploration_bonus_c1.0,990,30,635.7333333333333,625.0,724.0,16.09460589597727,200,6,9.0,0.0
exploration_bonus_c1.0,1035,30,626.2666666666667,637.0,756.0,15.676640698812966,200,7,9.0,0.0
exploration_bonus_c1.0,1080,30,623.2,636.0,786.0,14.825471738948352,200,8,9.0,0.0
exploration_bonus_c1.0,1125,30,623.6666666666666,610.0,746.0,14.503800432991353,200,8,9.0,0.0
exploration_bonus_c1.0,1170,30,610.6,615.0,698.0,13.139833789612945,200,8,9.0,0.0
exploration_bonus_c1.0,1215,30,593.8,625.0,662.0,12.269670336220333,200,8,9.0,0.0
exploration_bonus_c1.0,1260,30,577.4,598.0,692.0,11.739435183991555,200,8,9.0,0.0
exploration_bonus_c1.0,1305,30,559.2666666666667,549.0,658.0,10.445549979643836,200,8,9.0,0.0
exploration_bonus_c1.0,1350,30,532.6666666666666,526.0,598.0,9.278113985478257,200,9,9.0,0.0
exploration_bonus_c1.0,1395,30,501.6666666666667,514.0,538.0,8.563728365572603,200,9,9.0,0.0
exploration_bonus_c1.0,1440,30,462.2,476.0,540.0,8.278571038549318,200,9,9.0,0.0
exploration_bonus_c1.0,1485,30,433.06666666666666,418.0,486.0,7.438699844621315,200,9,9.0,0.0
exploration_bonus_c1.0,1530,30,389.3333333333333,402.0,418.0,6.451703466805237,200,9,9.0,0.0
exploration_bonus_c1.0,1575,30,339.2,346.0,348.0,5.416815296261168,200,9,9.0,0.0
exploration_bonus_c1.0,1620,30,282.6666666666667,276.0,316.0,4.391113430818665,200,22,9.0,0.0
exploration_bonus_c1.0,1665,30,231.13333333333333,236.0,236.0,2.8531683276183624,200,67,9.0,0.0
exploration_bonus_c1.0,1710,30,154.86666666666667,156.0,156.0,1.768351176086873,200,112,9.0,0.0
exploration_bonus_c1.0,1755,30,75.66666666666667,76.0,76.0,1.272072911811921,200,157,9.0,0.0
exploration_bonus_c1.0,1798,30,0.0,0.0,0.0,1.0050251256281406,200,199,9.0,0.0
greedy_loo_fragility,45,30,0.0,0.0,0.0,1.0,5,5,0.0,9.0
greedy_loo_fragility,90,30,57.0,60.0,70.0,5.066666666666666,30,5,3.3,5.7
greedy_loo_fragility,135,30,106.0,100.0,140.0,11.333333333333334,75,5,3.7,5.3
greedy_loo_fragility,180,30,169.33333333333334,170.0,210.0,18.533333333333335,120,5,3.9,5.1
greedy_loo_fragility,225,30,234.66666666666666,240.0,280.0,26.4,165,5,3.9,5.1
greedy_loo_fragility,270,30,304.0,310.0,350.0,34.32666666666667,200,5,4.033333333333333,4.966666666666667
greedy_loo_fragility,315,30,349.4,354.0,400.0,37.33333333333333,200,5,4.3,4.7
greedy_loo_fragility,360,30,403.4,404.0,470.0,38.46666666666666,200,5,4.366666666666666,4.633333333333334
greedy_loo_fragility,405,30,463.3333333333333,460.0,540.0,39.41999999999999,200,5,4.4,4.6
greedy_loo_fragility,450,30,521.4666666666667,519.0,598.0,39.886666666666656,200,5,4.566666666666666,4.433333333333334
greedy_loo_fragility,495,30,556.6,573.0,600.0,39.893333333333324,200,5,4.833333333333333,4.166666666666667
greedy_loo_fragility,540,30,579.1333333333333,570.0,650.0,39.89999999999999,200,5,5.0,4.0
greedy_loo_fragility,585,30,614.2,605.0,700.0,39.90666666666666,200,5,5.033333333333333,3.966666666666667
greedy_loo_fragility,630,30,654.7333333333333,643.0,760.0,39.91333333333333,200,5,5.066666666666666,3.933333333333333
greedy_loo_fragility,675,30,691.9333333333333,696.0,750.0,39.93999999999999,200,5,5.2,3.8
greedy_loo_fragility,720,30,707.2666666666667,716.0,750.0,39.973333333333336,200,5,5.233333333333333,3.7666666666666666
greedy_loo_fragility,765,30,725.3333333333334,720.0,788.0,39.99333333333333,200,5,5.366666666666666,3.6333333333333333
greedy_loo_fragility,810,30,743.8,735.0,838.0,40.0,200,5,5.466666666666667,3.533333333333333
greedy_loo_fragility,855,30,769.0,769.0,838.0,40.0,200,5,5.566666666666666,3.433333333333333
greedy_loo_fragility,900,30,773.3333333333334,787.0,798.0,40.0,200,5,5.7,3.3
greedy_loo_fragility,945,30,781.2666666666667,800.0,800.0,40.0,200,5,5.766666666666667,3.2333333333333334
greedy_loo_fragility,990,30,807.0,840.0,840.0,40.0,200,5,5.833333333333333,3.1666666666666665
greedy_loo_fragility,1035,30,818.2,846.0,846.0,40.0,200,5,6.933333333333334,2.066666666666667
greedy_loo_fragility,1080,30,784.8666666666667,796.0,798.0,40.0,200,5,7.166666666666667,1.8333333333333333
greedy_loo_fragility,1125,30,742.8,746.0,748.0,40.0,200,5,7.3,1.7
greedy_loo_fragility,1170,30,717.6666666666666,719.0,750.0,40.0,200,5,7.466666666666667,1.5333333333333334
