policy_name,baseline_policy,reveal_seed,budget,baseline_distance,policy_distance,difference_policy_minus_baseline,relative_difference_policy_minus_baseline,policy_better
epsilon_greedy_eps0.2,uniform_step_balanced,101,45,3.912812991994051e-06,3.912812991994051e-06,0.0,0.0,False
epsilon_greedy_eps0.2,uniform_step_balanced,101,90,4.1108917086020235e-06,8.16230046799665e-06,4.051408759394627e-06,0.9855304023010558,False
epsilon_greedy_eps0.2,uniform_step_balanced,101,135,3.3737847479340068e-06,1.3974949230618047e-05,1.060116448268404e-05,3.142217205521437,False
epsilon_greedy_eps0.2,uniform_step_balanced,101,180,6.333847635248736e-06,9.435362477843197e-06,3.1015148425944614e-06,0.48967310570183337,False
epsilon_greedy_eps0.2,uniform_step_balanced,101,225,2.1961787500461246e-05,5.562657110063155e-06,-1.639913039039809e-05,-0.7467120055712074,True
epsilon_greedy_eps0.2,uniform_step_balanced,101,270,1.3226306204099286e-05,4.67517088572684e-06,-8.551135318372447e-06,-0.6465248260865273,True
epsilon_greedy_eps0.2,uniform_step_balanced,101,315,1.0844251870592667e-05,5.424097962837921e-06,-5.420153907754746e-06,-0.4998181499687466,True
epsilon_greedy_eps0.2,uniform_step_balanced,101,360,4.6234701779544244e-06,5.954569963307744e-06,1.3310997853533197e-06,0.2879005885449968,False
epsilon_greedy_eps0.2,uniform_step_balanced,101,405,4.654623112250508e-06,8.869048429018805e-06,4.214425316768298e-06,0.905427832744685,False
epsilon_greedy_eps0.2,uniform_step_balanced,101,450,2.835141245199885e-06,2.0975793350103787e-05,1.81406521049039e-05,6.398500298924238,False
epsilon_greedy_eps0.2,uniform_step_balanced,101,495,5.5552278045586236e-06,2.050201782428657e-05,1.4946790019727946e-05,2.6905809348561007,False
epsilon_greedy_eps0.2,uniform_step_balanced,101,540,3.607865714325962e-06,1.9068278528946446e-05,1.5460412814620484e-05,4.28519630130105,False
epsilon_greedy_eps0.2,uniform_step_balanced,101,585,3.890985822350268e-06,3.30723285001874e-05,2.918134267783713e-05,7.4997298911284025,False
epsilon_greedy_eps0.2,uniform_step_balanced,101,630,6.252692113174225e-07,1.3518672535387637e-05,1.2893403324070214e-05,20.620563256112067,False
epsilon_greedy_eps0.2,uniform_step_balanced,101,675,2.2431057394028094e-06,1.9904249729228173e-05,1.7661143989825365e-05,7.873522714327038,False
epsilon_greedy_eps0.2,uniform_step_balanced,101,720,1.4278469613406005e-06,6.2235375587433534e-06,4.7956905974027525e-06,3.3586866990984072,False
epsilon_greedy_eps0.2,uniform_step_balanced,101,765,6.385076220444533e-06,7.429488061976978e-06,1.0444118415324455e-06,0.163570771197424,False
epsilon_greedy_eps0.2,uniform_step_balanced,101,810,5.977269157978772e-06,8.587222465830748e-06,2.609953307851976e-06,0.4366464415222248,False
epsilon_greedy_eps0.2,uniform_step_balanced,101,855,4.072159218796996e-06,4.93507676093131e-06,8.629175421343142e-07,0.21190663129061998,False
epsilon_greedy_eps0.2,uniform_step_balanced,101,900,6.92161027830137e-06,2.054508179572285e-06,-4.8671020987290855e-06,-0.7031748253707689,True
epsilon_greedy_eps0.2,uniform_step_balanced,101,945,1.4561431278554581e-06,6.7972046155504615e-06,5.341061487695003e-06,3.667950894058799,False
epsilon_greedy_eps0.2,uniform_step_balanced,101,990,3.2551311625175415e-06,1.8012539294495442e-06,-1.4538772330679973e-06,-0.44664167447666175,True
epsilon_greedy_eps0.2,uniform_step_balanced,101,1035,1.2968235659817953e-06,5.534078964548567e-06,4.237255398566772e-06,3.2674108565869893,False
epsilon_greedy_eps0.2,uniform_step_balanced,101,1080,1.6278855260884698e-06,4.11924624083612e-06,2.4913607147476506e-06,1.530427462386722,False
epsilon_greedy_eps0.2,uniform_step_balanced,101,1125,1.581191344995879e-06,4.294299991088563e-06,2.7131086460926846e-06,1.7158635826581479,False
epsilon_greedy_eps0.2,uniform_step_balanced,101,1170,2.9284451148094185e-06,5.5204683004268255e-06,2.592023185617407e-06,0.8851192643185646,False
epsilon_greedy_eps0.2,uniform_step_balanced,101,1215,7.39000206271517e-06,4.764433814877804e-06,-2.625568247837366e-06,-0.35528653788666237,True
epsilon_greedy_eps0.2,uniform_step_balanced,101,1260,4.050158968332346e-06,4.995442804892478e-06,9.452838365601322e-07,0.23339425537396943,False
epsilon_greedy_eps0.2,uniform_step_balanced,101,1305,2.649501842126327e-06,3.851043165618914e-06,1.2015413234925873e-06,0.4534970704260029,False
epsilon_greedy_eps0.2,uniform_step_balanced,101,1350,3.3984839417497366e-06,2.23126195489521e-06,-1.1672219868545266e-06,-0.3434537302105282,True
epsilon_greedy_eps0.2,uniform_step_balanced,101,1395,1.2870957205549189e-06,1.257323328362678e-06,-2.9772392192240827e-08,-0.023131451466099778,True
epsilon_greedy_eps0.2,uniform_step_balanced,101,1440,2.9073745958980978e-06,3.4651760872682685e-06,5.578014913701707e-07,0.19185745523027933,False
epsilon_greedy_eps0.2,uniform_step_balanced,101,1485,4.314892905663371e-06,1.3455068278125792e-06,-2.9693860778507913e-06,-0.6881714431320929,True
epsilon_greedy_eps0.2,uniform_step_balanced,101,1530,8.192195840082567e-07,4.1007935343938237e-07,-4.091402305688743e-07,-0.4994268185912298,True
