policy_name,budget,n_runs,mean_step_count_l1_imbalance,median_step_count_l1_imbalance,max_step_count_l1_imbalance,mean_max_min_revealed_row_ratio,maximum_observed_revealed_row_count_any_step,minimum_observed_revealed_row_count_any_step,average_steps_above_initial_5,average_steps_still_at_initial_5
softmax_normalized_fragility_temp0.25,45,30,0.0,0.0,0.0,1.0,5,5,0.0,9.0
softmax_normalized_fragility_temp0.25,90,30,23.066666666666666,24.0,40.0,2.6425396825396827,22,5,8.766666666666667,0.23333333333333334
softmax_normalized_fragility_temp0.25,135,30,37.733333333333334,38.0,62.0,3.2176346801346805,42,6,9.0,0.0
softmax_normalized_fragility_temp0.25,180,30,49.13333333333333,48.0,92.0,3.3883701483701483,61,7,9.0,0.0
softmax_normalized_fragility_temp0.25,225,30,60.333333333333336,58.0,112.0,3.4619140962523316,65,7,9.0,0.0
softmax_normalized_fragility_temp0.25,270,30,72.33333333333333,69.0,138.0,3.6526034504710974,75,7,9.0,0.0
softmax_normalized_fragility_temp0.25,315,30,85.4,80.0,146.0,3.5531140674235298,80,8,9.0,0.0
softmax_normalized_fragility_temp0.25,360,30,97.73333333333333,94.0,164.0,3.3845050874082263,89,10,9.0,0.0
softmax_normalized_fragility_temp0.25,405,30,108.86666666666666,106.0,174.0,3.278840907707766,102,11,9.0,0.0
softmax_normalized_fragility_temp0.25,450,30,118.2,111.0,194.0,3.0445989875440107,109,15,9.0,0.0
softmax_normalized_fragility_temp0.25,495,30,129.6,124.0,212.0,2.927483751196273,118,21,9.0,0.0
softmax_normalized_fragility_temp0.25,540,30,139.86666666666667,130.0,214.0,2.8404697516804074,119,23,9.0,0.0
softmax_normalized_fragility_temp0.25,585,30,150.73333333333332,141.0,236.0,2.757843447567589,128,25,9.0,0.0
softmax_normalized_fragility_temp0.25,630,30,161.13333333333333,154.0,248.0,2.6968610587066726,137,33,9.0,0.0
softmax_normalized_fragility_temp0.25,675,30,173.53333333333333,169.0,254.0,2.698669240350667,147,36,9.0,0.0
softmax_normalized_fragility_temp0.25,720,30,183.86666666666667,177.0,266.0,2.627148435692273,155,40,9.0,0.0
softmax_normalized_fragility_temp0.25,765,30,194.53333333333333,188.0,262.0,2.622294393980603,161,41,9.0,0.0
softmax_normalized_fragility_temp0.25,810,30,206.53333333333333,205.0,278.0,2.6283311043365063,170,41,9.0,0.0
softmax_normalized_fragility_temp0.25,855,30,215.93333333333334,214.0,290.0,2.6072157122930033,180,41,9.0,0.0
softmax_normalized_fragility_temp0.25,900,30,227.46666666666667,226.0,302.0,2.593725241493443,190,45,9.0,0.0
softmax_normalized_fragility_temp0.25,945,30,240.0,237.0,324.0,2.593394095580129,199,48,9.0,0.0
softmax_normalized_fragility_temp0.25,990,30,253.06666666666666,252.0,334.0,2.6101753619834387,200,49,9.0,0.0
softmax_normalized_fragility_temp0.25,1035,30,262.8,266.0,332.0,2.5998955021561754,200,53,9.0,0.0
softmax_normalized_fragility_temp0.25,1080,30,273.4,275.0,338.0,2.5692336716138793,200,56,9.0,0.0
softmax_normalized_fragility_temp0.25,1125,30,281.8666666666667,282.0,332.0,2.537484968917206,200,57,9.0,0.0
softmax_normalized_fragility_temp0.25,1170,30,285.4,289.0,344.0,2.478659357084849,200,59,9.0,0.0
softmax_normalized_fragility_temp0.25,1215,30,283.46666666666664,285.0,340.0,2.373761381238586,200,63,9.0,0.0
softmax_normalized_fragility_temp0.25,1260,30,280.1333333333333,280.0,340.0,2.2798890109631134,200,68,9.0,0.0
softmax_normalized_fragility_temp0.25,1305,30,277.73333333333335,276.0,346.0,2.1752474978440746,200,72,9.0,0.0
softmax_normalized_fragility_temp0.25,1350,30,267.1333333333333,263.0,336.0,2.081344058116164,200,78,9.0,0.0
softmax_normalized_fragility_temp0.25,1395,30,256.06666666666666,256.0,320.0,1.9715443318710895,200,80,9.0,0.0
softmax_normalized_fragility_temp0.25,1440,30,244.93333333333334,244.0,310.0,1.8879730885008115,200,85,9.0,0.0
softmax_normalized_fragility_temp0.25,1485,30,233.13333333333333,235.0,278.0,1.8107262488848228,200,88,9.0,0.0
softmax_normalized_fragility_temp0.25,1530,30,217.8,218.0,262.0,1.7297999081214972,200,93,9.0,0.0
softmax_normalized_fragility_temp0.25,1575,30,198.8,201.0,232.0,1.6500463001358698,200,103,9.0,0.0
