policy_name,budget,n_runs,distance_mean,distance_median,distance_std,distance_min,distance_max,distance_p25,distance_p75,p_success_mean_mean,step_count_l1_mean,step_count_l1_median,step_count_l1_max
softmax_normalized_fragility_temp0.25,45,30,4.994846867156529e-05,4.6291629793680336e-05,3.570152585498149e-05,2.6973343876948786e-06,0.00014082810804004353,2.4054123116245277e-05,7.234026798339375e-05,0.2251829989501882,0.0,0.0,0.0
softmax_normalized_fragility_temp0.25,90,30,4.757498406207502e-05,3.445570769353762e-05,4.657117651507725e-05,4.9574928948111605e-06,0.0002496769604213397,2.078996746471211e-05,5.33713559355175e-05,0.2243491881466269,23.066666666666666,24.0,40.0
softmax_normalized_fragility_temp0.25,135,30,2.6273874738391998e-05,1.947561489171798e-05,1.7579698800418717e-05,3.7717048106393355e-06,6.360115492664954e-05,1.336103460255591e-05,3.98123756246714e-05,0.22387705269613795,37.733333333333334,38.0,62.0
softmax_normalized_fragility_temp0.25,180,30,2.8459953618862034e-05,2.070489941494565e-05,2.878399013110633e-05,3.6201430986028373e-06,0.00014147270634336814,9.222820115162224e-06,3.6778984357532815e-05,0.22379276273446133,49.13333333333333,48.0,92.0
softmax_normalized_fragility_temp0.25,225,30,2.465744816048248e-05,1.9954484388612082e-05,2.3080119066267343e-05,2.069531110502945e-06,0.00011708273075765648,1.0526554303807048e-05,3.307451185316263e-05,0.22369901241118498,60.333333333333336,58.0,112.0
softmax_normalized_fragility_temp0.25,270,30,1.5191980365611455e-05,8.966916428272244e-06,1.7235875871050882e-05,1.2915489680563044e-06,7.995167390006191e-05,5.7829739017749585e-06,1.527965718023862e-05,0.22461479417271324,72.33333333333333,69.0,138.0
softmax_normalized_fragility_temp0.25,315,30,1.4771877687576632e-05,8.19189792856987e-06,1.59263960977018e-05,1.0789736248632303e-06,7.762385423898514e-05,5.851541897591183e-06,1.9994025319406733e-05,0.22487377245077153,85.4,80.0,146.0
softmax_normalized_fragility_temp0.25,360,30,1.4536974066333751e-05,8.831158596974652e-06,1.5634332890038773e-05,1.9772683389556436e-06,7.450326342233035e-05,4.456128942268267e-06,1.8867646835589635e-05,0.22474476003568564,97.73333333333333,94.0,164.0
softmax_normalized_fragility_temp0.25,405,30,1.3821808934767987e-05,7.744523077187188e-06,1.3021776139167875e-05,2.5886926894663792e-06,6.0688365392140724e-05,5.4779785364994885e-06,2.015845917776755e-05,0.22467114977962158,108.86666666666666,106.0,174.0
softmax_normalized_fragility_temp0.25,450,30,8.845475623139295e-06,7.656631875910715e-06,6.07092641695782e-06,9.735764118912802e-07,2.503352211110951e-05,5.458990536594834e-06,1.0198015025889708e-05,0.2246065431736451,118.2,111.0,194.0
softmax_normalized_fragility_temp0.25,495,30,9.796302085368255e-06,8.948810578368705e-06,5.396529155234435e-06,1.2458936619712279e-06,1.9482885045139563e-05,5.669415731183994e-06,1.4317009023154638e-05,0.2244798714762824,129.6,124.0,212.0
softmax_normalized_fragility_temp0.25,540,30,1.1056586646736039e-05,6.913635681480451e-06,9.537434408100897e-06,1.1492996716337519e-06,3.814630283169404e-05,4.175482305419125e-06,1.39183909625468e-05,0.22424428276330122,139.86666666666667,130.0,214.0
softmax_normalized_fragility_temp0.25,585,30,9.935063302565564e-06,5.4857292609592035e-06,1.0052447829437416e-05,1.935471734072965e-06,3.554231520218521e-05,3.660243695928685e-06,1.229048400166867e-05,0.22432238846864774,150.73333333333332,141.0,236.0
softmax_normalized_fragility_temp0.25,630,30,8.91327772228553e-06,6.3016890960635304e-06,7.763461146484304e-06,1.0373292762966929e-06,3.851516422742613e-05,4.837619652583942e-06,9.66660770414979e-06,0.22431490165820156,161.13333333333333,154.0,248.0
softmax_normalized_fragility_temp0.25,675,30,8.648054491987776e-06,6.716143371437758e-06,5.713856000216186e-06,2.2378793827085767e-06,2.3295578334135515e-05,4.179008450457282e-06,1.2179242091907335e-05,0.22450640267969746,173.53333333333333,169.0,254.0
softmax_normalized_fragility_temp0.25,720,30,8.101987594949909e-06,7.434164872410775e-06,5.312715266765008e-06,1.3412357977936708e-06,2.1697455893615328e-05,3.894566074269398e-06,9.424445832095346e-06,0.2249358078737141,183.86666666666667,177.0,266.0
softmax_normalized_fragility_temp0.25,765,30,6.396437172957327e-06,4.429446768463434e-06,4.272432582918875e-06,1.449572464030853e-06,1.6548265759232253e-05,3.6311953509501435e-06,1.006251250992972e-05,0.22443334022812528,194.53333333333333,188.0,262.0
softmax_normalized_fragility_temp0.25,810,30,5.745066383728289e-06,4.521591324785315e-06,3.5834339065899134e-06,1.2223036229950087e-06,1.7098077949932565e-05,3.142477819641672e-06,7.13650616317439e-06,0.22473300043150093,206.53333333333333,205.0,278.0
softmax_normalized_fragility_temp0.25,855,30,5.964348084522662e-06,4.333449269181307e-06,4.820623079172251e-06,4.818436418391483e-07,1.7956059028971397e-05,1.9777209090387006e-06,9.513331580431557e-06,0.2246048789869711,215.93333333333334,214.0,290.0
softmax_normalized_fragility_temp0.25,900,30,5.574111376708572e-06,4.5305346992871415e-06,4.022456554189081e-06,9.822054181761393e-07,1.7127614818019267e-05,2.654217835001256e-06,6.962612342105316e-06,0.2246823190340045,227.46666666666667,226.0,302.0
softmax_normalized_fragility_temp0.25,945,30,5.029218095809339e-06,4.445192193792728e-06,3.589462717862798e-06,7.765007988780866e-07,1.5303439516967803e-05,2.2775706071029016e-06,6.6438476564140415e-06,0.22456243904017248,240.0,237.0,324.0
softmax_normalized_fragility_temp0.25,990,30,5.925474994646578e-06,5.011677579524048e-06,3.749256361157959e-06,1.3527344245856224e-06,1.4141513658106576e-05,3.0448929982706152e-06,7.448299100559663e-06,0.22446438742304128,253.06666666666666,252.0,334.0
softmax_normalized_fragility_temp0.25,1035,30,4.920403598181008e-06,4.240641406677017e-06,3.218632920445095e-06,5.786580777892348e-07,1.5929933827773727e-05,2.4884266069221893e-06,6.095202464182947e-06,0.22457357025283683,262.8,266.0,332.0
softmax_normalized_fragility_temp0.25,1080,30,4.539338458574519e-06,2.891006676220255e-06,3.929660842412799e-06,1.0708634803792707e-06,2.0338454090424063e-05,2.1800226637265917e-06,6.515859051798807e-06,0.22439692419018312,273.4,275.0,338.0
softmax_normalized_fragility_temp0.25,1125,30,4.439119638333126e-06,2.803814623893186e-06,4.667904866999639e-06,6.635122770830891e-07,2.110670615438998e-05,1.9805103826156618e-06,5.273863395112554e-06,0.22473631702735097,281.8666666666667,282.0,332.0
softmax_normalized_fragility_temp0.25,1170,30,3.7612131669666266e-06,3.370971594833786e-06,2.2112463187489234e-06,7.415401493862477e-07,8.8255507203034e-06,2.108538432688916e-06,5.179478761899408e-06,0.22447582611446906,285.4,289.0,344.0
softmax_normalized_fragility_temp0.25,1215,30,4.5176025137453465e-06,3.21129065418526e-06,3.7933269541975987e-06,7.556718470565745e-07,1.791747746400659e-05,1.8844405095378236e-06,6.575136649042129e-06,0.224554721569412,283.46666666666664,285.0,340.0
softmax_normalized_fragility_temp0.25,1260,30,3.952997549200792e-06,3.21125617479803e-06,2.8305465147937654e-06,7.756291378821899e-07,1.140239744296024e-05,1.701820600674088e-06,6.1140349088220415e-06,0.2245961875424605,280.1333333333333,280.0,340.0
softmax_normalized_fragility_temp0.25,1305,30,4.912818372806623e-06,3.978042260086139e-06,4.007592684625633e-06,7.568652660297822e-07,2.0992209552728294e-05,2.4704188897616075e-06,6.128029342874584e-06,0.22455270296018068,277.73333333333335,276.0,346.0
softmax_normalized_fragility_temp0.25,1350,30,3.909977854018362e-06,2.538148978110507e-06,4.225384911044281e-06,7.087065664647117e-07,2.2661142578881975e-05,1.8216466024594215e-06,4.662741530670786e-06,0.22474452695758748,267.1333333333333,263.0,336.0
softmax_normalized_fragility_temp0.25,1395,30,3.6735331902509187e-06,2.990313303061535e-06,2.3312884094514396e-06,6.463595918092612e-07,1.0282247064394551e-05,1.8595221660349758e-06,5.488791287476927e-06,0.22476283799741534,256.06666666666666,256.0,320.0
softmax_normalized_fragility_temp0.25,1440,30,3.865043736807527e-06,2.7933791583579983e-06,3.253707132341314e-06,7.974350540895931e-07,1.4691126904055592e-05,1.8206951456594862e-06,4.664585838798482e-06,0.22467085008388563,244.93333333333334,244.0,310.0
softmax_normalized_fragility_temp0.25,1485,30,3.074774311740354e-06,2.2969534427526172e-06,2.570391742520636e-06,6.052736404959277e-07,1.1599884695359237e-05,1.6851570657050998e-06,3.1520920665402788e-06,0.22469706011881238,233.13333333333333,235.0,278.0
softmax_normalized_fragility_temp0.25,1530,30,4.138376000390636e-06,3.3066373577772697e-06,3.9491936408862625e-06,5.988752201987817e-07,2.218017855069305e-05,2.2069436912867734e-06,4.48936024632925e-06,0.224894259253548,217.8,218.0,262.0
softmax_normalized_fragility_temp0.25,1575,30,3.490579717500066e-06,2.5807789734925994e-06,2.3914921908923654e-06,5.930403307676004e-07,1.2014043531136307e-05,2.034475062659646e-06,4.034392464852086e-06,0.2247404022895202,198.8,201.0,232.0
softmax_normalized_fragility_temp0.25,1620,30,3.6153535272436294e-06,3.181744283590004e-06,2.2007371151423435e-06,6.706153687098307e-07,9.206071228408982e-06,2.0700805056513944e-06,5.270019636925302e-06,0.22469033292535143,176.93333333333334,174.0,202.0
softmax_normalized_fragility_temp0.25,1665,30,2.789270523344422e-06,2.2390914302633907e-06,1.9995583879559582e-06,5.674275939432024e-07,8.817546950323813e-06,1.2877526192378106e-06,3.746939976447419e-06,0.22474121521978238,153.13333333333333,149.0,178.0
softmax_normalized_fragility_temp0.25,1710,30,3.2073343187863515e-06,2.381625810515537e-06,2.256153570722145e-06,5.968598117159001e-07,7.940550786721511e-06,1.3904173829547067e-06,5.176678622185994e-06,0.22473798057233088,118.2,118.0,136.0
softmax_normalized_fragility_temp0.25,1755,30,2.9918257398002125e-06,2.5122276672419126e-06,2.0130341510715353e-06,3.4451890602954257e-07,7.679396902681549e-06,1.4135386676058124e-06,3.954825085004749e-06,0.22469622262851066,69.46666666666667,68.0,76.0
softmax_normalized_fragility_temp0.25,1798,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2247048444891971,0.0,0.0,0.0
softmax_normalized_fragility_temp0.5,45,30,4.994846867156529e-05,4.6291629793680336e-05,3.570152585498149e-05,2.6973343876948786e-06,0.00014082810804004353,2.4054123116245277e-05,7.234026798339375e-05,0.2251829989501882,0.0,0.0,0.0
softmax_normalized_fragility_temp0.5,90,30,4.143957322638155e-05,3.676798716820442e-05,3.458188888893611e-05,7.651502124854921e-06,0.00019035320058102324,1.9391625002556035e-05,4.8735711258198544e-05,0.22411719789590778,15.733333333333333,16.0,22.0
softmax_normalized_fragility_temp0.5,135,30,3.0052996460334462e-05,2.0770131435254606e-05,2.7863672802822526e-05,7.458212529329729e-07,0.00011740408867634401,1.2060523847033036e-05,3.952211671385343e-05,0.22399795769234915,24.2,24.0,34.0
softmax_normalized_fragility_temp0.5,180,30,2.3686742910386017e-05,1.7457487284975417e-05,2.0497561358402905e-05,2.3914800400666246e-06,0.00010182411113713684,8.948765565944856e-06,3.434200638002826e-05,0.22407348696350454,31.0,31.0,50.0
softmax_normalized_fragility_temp0.5,225,30,1.4764259989511024e-05,1.1527205187116604e-05,1.4930019455780246e-05,1.7210020465237253e-06,7.820164133192984e-05,7.005924617282967e-06,1.553538375010219e-05,0.22447068640968643,36.8,36.0,62.0
softmax_normalized_fragility_temp0.5,270,30,1.1490038899720401e-05,8.293105703958e-06,8.99187335856194e-06,1.9206446228548614e-06,3.282660545100386e-05,5.014871655210526e-06,1.540182040187172e-05,0.224948027478201,45.0,44.0,70.0
softmax_normalized_fragility_temp0.5,315,30,9.563059335224672e-06,7.890924383603627e-06,7.469785463758133e-06,1.4024273838151333e-06,3.489032025842091e-05,3.9337079948368306e-06,1.3597896964189887e-05,0.22480023851938452,54.333333333333336,55.0,82.0
softmax_normalized_fragility_temp0.5,360,30,1.1507432194432554e-05,8.42438590286968e-06,1.010704165744578e-05,1.7908196536930132e-06,4.2362091287146853e-05,4.7679979959897796e-06,1.1710108256172474e-05,0.2245811405059561,60.2,61.0,86.0
softmax_normalized_fragility_temp0.5,405,30,9.602691216043682e-06,8.415448226303765e-06,7.268314622414371e-06,1.771205866532753e-06,3.5923778060314915e-05,4.602666800337736e-06,1.2085570446773304e-05,0.224212588140522,63.0,63.0,102.0
softmax_normalized_fragility_temp0.5,450,30,7.919893204229338e-06,7.3042091276572595e-06,5.20853148953917e-06,1.5355590202859913e-06,2.0775869328724153e-05,2.572426689447482e-06,1.1520009966593277e-05,0.22432680638964214,67.33333333333333,67.0,116.0
softmax_normalized_fragility_temp0.5,495,30,8.30152605265708e-06,7.5619162997924064e-06,5.6653663703534675e-06,8.893445732318166e-07,1.9395661840525523e-05,3.520687053164079e-06,1.0741724300671397e-05,0.2245061596067895,73.4,70.0,124.0
softmax_normalized_fragility_temp0.5,540,30,6.903520012156999e-06,4.647675360996775e-06,5.331895784324365e-06,8.345552732418468e-07,2.1076654512679287e-05,3.0342961751660664e-06,1.0894141251206528e-05,0.22452027068481326,79.4,77.0,132.0
softmax_normalized_fragility_temp0.5,585,30,6.896780959246159e-06,6.269447514216825e-06,4.3708721955346396e-06,8.321873339764182e-07,1.9260053649839076e-05,3.303733503621174e-06,1.0023618558920792e-05,0.2245618311547112,83.8,80.0,140.0
softmax_normalized_fragility_temp0.5,630,30,5.426665195725381e-06,4.955975971821473e-06,3.207325164661071e-06,1.065004549170604e-06,1.4368883599789616e-05,3.3230263043164828e-06,7.260090086686475e-06,0.22452430327207915,88.53333333333333,87.0,140.0
softmax_normalized_fragility_temp0.5,675,30,5.4385340126638915e-06,4.7951594109241995e-06,3.709509106928e-06,1.098356857830708e-06,1.6623249161358405e-05,2.375672096489313e-06,7.139820287601439e-06,0.22463023337326776,93.8,94.0,152.0
