policy_name,baseline_policy,reveal_seed,n_budgets,policy_wins,policy_win_fraction,policy_auc,baseline_auc,policy_minus_baseline_auc
stochastic_epsilon_greedy_eps0.2,uniform_step_balanced,101,40,18,0.45,0.0091213584922527,0.0072585246865587635,0.0018628338056939364
stochastic_epsilon_greedy_eps0.2,uniform_step_balanced,202,40,16,0.4,0.01116495511445454,0.009725198389519404,0.0014397567249351366
stochastic_epsilon_greedy_eps0.2,uniform_step_balanced,303,40,22,0.55,0.008487060689144,0.009167683679002113,-0.0006806229898581127
stochastic_epsilon_greedy_eps0.2,uniform_step_balanced,404,40,21,0.525,0.009998893348475717,0.008905758217899767,0.0010931351305759496
stochastic_epsilon_greedy_eps0.2,uniform_step_balanced,505,40,19,0.475,0.018892769771777188,0.01986043025305692,-0.0009676604812797335
stochastic_epsilon_greedy_eps0.2,uniform_step_balanced,606,40,23,0.575,0.01133616254435093,0.00975122162312338,0.001584940921227549
stochastic_epsilon_greedy_eps0.2,uniform_step_balanced,707,40,23,0.575,0.011033884497170571,0.011934479562188054,-0.0009005950650174833
stochastic_epsilon_greedy_eps0.2,uniform_step_balanced,808,40,17,0.425,0.011905179371568316,0.008822605734030368,0.0030825736375379477
stochastic_epsilon_greedy_eps0.2,uniform_step_balanced,909,40,24,0.6,0.012665179713363525,0.01317380157585426,-0.0005086218624907358
stochastic_epsilon_greedy_eps0.2,uniform_step_balanced,1010,40,21,0.525,0.008869815552506148,0.008861721009250959,8.094543255189254e-06
stochastic_epsilon_greedy_eps0.2,uniform_step_balanced,1111,40,21,0.525,0.008172972702957249,0.008153327534253412,1.964516870383605e-05
stochastic_epsilon_greedy_eps0.2,uniform_step_balanced,1212,40,18,0.45,0.0121858196302678,0.012170175408716932,1.564422155086835e-05
stochastic_epsilon_greedy_eps0.2,uniform_step_balanced,1313,40,18,0.45,0.02411696664495963,0.02203571344991379,0.0020812531950458422
stochastic_epsilon_greedy_eps0.2,uniform_step_balanced,1414,40,24,0.6,0.016466022869808767,0.01767052757319083,-0.001204504703382063
stochastic_epsilon_greedy_eps0.2,uniform_step_balanced,1515,40,20,0.5,0.01010977698072785,0.010691821308532284,-0.0005820443278044332
stochastic_epsilon_greedy_eps0.2,uniform_step_balanced,1616,40,24,0.6,0.009738822991433782,0.010540329070659347,-0.0008015060792255658
stochastic_epsilon_greedy_eps0.2,uniform_step_balanced,1717,40,20,0.5,0.00880593847065786,0.00691201190455868,0.0018939265660991795
stochastic_epsilon_greedy_eps0.2,uniform_step_balanced,1818,40,20,0.5,0.010564914484057256,0.010894898835503635,-0.0003299843514463791
stochastic_epsilon_greedy_eps0.2,uniform_step_balanced,1919,40,15,0.375,0.01735631242983981,0.013937003274894614,0.0034193091549451944
stochastic_epsilon_greedy_eps0.2,uniform_step_balanced,2020,40,21,0.525,0.007642401926511379,0.00804688140667155,-0.00040447948016017043
stochastic_epsilon_greedy_eps0.2,uniform_step_balanced,2121,40,21,0.525,0.014974958090166822,0.01560085882924854,-0.0006259007390817181
stochastic_epsilon_greedy_eps0.2,uniform_step_balanced,2222,40,20,0.5,0.007234095861448247,0.006607220202321865,0.0006268756591263826
stochastic_epsilon_greedy_eps0.2,uniform_step_balanced,2323,40,18,0.45,0.01163391142734507,0.00989988464243342,0.0017340267849116492
stochastic_epsilon_greedy_eps0.2,uniform_step_balanced,2424,40,13,0.325,0.019354044100391207,0.018722927713536796,0.0006311163868544106
stochastic_epsilon_greedy_eps0.2,uniform_step_balanced,2525,40,19,0.475,0.008647612746232913,0.00701650290330034,0.001631109842932573
stochastic_epsilon_greedy_eps0.2,uniform_step_balanced,2626,40,15,0.375,0.012945594456243532,0.008736596031496619,0.004208998424746913
stochastic_epsilon_greedy_eps0.2,uniform_step_balanced,2727,40,15,0.375,0.015117916562252188,0.014102489738240045,0.001015426824012143
stochastic_epsilon_greedy_eps0.2,uniform_step_balanced,2828,40,16,0.4,0.012604327160047162,0.0115669965384981,0.0010373306215490617
stochastic_epsilon_greedy_eps0.2,uniform_step_balanced,2929,40,20,0.5,0.02002985190037784,0.018056342578459145,0.001973509321918695
stochastic_epsilon_greedy_eps0.2,uniform_step_balanced,3030,40,24,0.6,0.015378583134756192,0.015620413024879149,-0.00024182989012295694
stochastic_exploration_bonus_c0.25,uniform_step_balanced,101,40,23,0.575,0.0067370400919375545,0.0072585246865587635,-0.000521484594621209
stochastic_exploration_bonus_c0.25,uniform_step_balanced,202,40,16,0.4,0.012390083711630476,0.009725198389519404,0.0026648853221110727
stochastic_exploration_bonus_c0.25,uniform_step_balanced,303,40,19,0.475,0.0090673612828417,0.009167683679002113,-0.00010032239616041341
stochastic_exploration_bonus_c0.25,uniform_step_balanced,404,40,21,0.525,0.010426972628400854,0.008905758217899767,0.0015212144105010861
stochastic_exploration_bonus_c0.25,uniform_step_balanced,505,40,20,0.5,0.0205001824774972,0.01986043025305692,0.0006397522244402792
stochastic_exploration_bonus_c0.25,uniform_step_balanced,606,40,21,0.525,0.01021793593926153,0.00975122162312338,0.0004667143161381504
stochastic_exploration_bonus_c0.25,uniform_step_balanced,707,40,14,0.35,0.015647921333339965,0.011934479562188054,0.003713441771151911
stochastic_exploration_bonus_c0.25,uniform_step_balanced,808,40,16,0.4,0.010157681861373507,0.008822605734030368,0.0013350761273431388
stochastic_exploration_bonus_c0.25,uniform_step_balanced,909,40,23,0.575,0.011022278261101215,0.01317380157585426,-0.0021515233147530455
stochastic_exploration_bonus_c0.25,uniform_step_balanced,1010,40,13,0.325,0.011782523872517929,0.008861721009250959,0.00292080286326697
stochastic_exploration_bonus_c0.25,uniform_step_balanced,1111,40,21,0.525,0.008157693650170193,0.008153327534253412,4.366115916780086e-06
stochastic_exploration_bonus_c0.25,uniform_step_balanced,1212,40,15,0.375,0.013113478573634344,0.012170175408716932,0.0009433031649174126
stochastic_exploration_bonus_c0.25,uniform_step_balanced,1313,40,20,0.5,0.024703429979720522,0.02203571344991379,0.0026677165298067337
stochastic_exploration_bonus_c0.25,uniform_step_balanced,1414,40,26,0.65,0.0164320430651292,0.01767052757319083,-0.001238484508061629
stochastic_exploration_bonus_c0.25,uniform_step_balanced,1515,40,19,0.475,0.0131025326028566,0.010691821308532284,0.002410711294324316
stochastic_exploration_bonus_c0.25,uniform_step_balanced,1616,40,20,0.5,0.013728776764193658,0.010540329070659347,0.0031884476935343103
stochastic_exploration_bonus_c0.25,uniform_step_balanced,1717,40,21,0.525,0.006898643493202897,0.00691201190455868,-1.3368411355782484e-05
stochastic_exploration_bonus_c0.25,uniform_step_balanced,1818,40,14,0.35,0.014578245296878664,0.010894898835503635,0.003683346461375029
stochastic_exploration_bonus_c0.25,uniform_step_balanced,1919,40,12,0.3,0.02024512621949143,0.013937003274894614,0.006308122944596817
stochastic_exploration_bonus_c0.25,uniform_step_balanced,2020,40,15,0.375,0.011098504781681949,0.00804688140667155,0.0030516233750103993
stochastic_exploration_bonus_c0.25,uniform_step_balanced,2121,40,18,0.45,0.018124101567846586,0.01560085882924854,0.0025232427385980458
stochastic_exploration_bonus_c0.25,uniform_step_balanced,2222,40,18,0.45,0.0063431137679393,0.006607220202321865,-0.0002641064343825647
stochastic_exploration_bonus_c0.25,uniform_step_balanced,2323,40,19,0.475,0.010598747498173251,0.00989988464243342,0.0006988628557398312
stochastic_exploration_bonus_c0.25,uniform_step_balanced,2424,40,21,0.525,0.018845694625053235,0.018722927713536796,0.00012276691151643856
stochastic_exploration_bonus_c0.25,uniform_step_balanced,2525,40,18,0.45,0.007508972020551019,0.00701650290330034,0.0004924691172506794
stochastic_exploration_bonus_c0.25,uniform_step_balanced,2626,40,14,0.35,0.013909448549851464,0.008736596031496619,0.0051728525183548455
stochastic_exploration_bonus_c0.25,uniform_step_balanced,2727,40,20,0.5,0.012773423498420757,0.014102489738240045,-0.001329066239819288
stochastic_exploration_bonus_c0.25,uniform_step_balanced,2828,40,18,0.45,0.013483140679604344,0.0115669965384981,0.0019161441411062446
stochastic_exploration_bonus_c0.25,uniform_step_balanced,2929,40,18,0.45,0.019420265205455155,0.018056342578459145,0.0013639226269960107
stochastic_exploration_bonus_c0.25,uniform_step_balanced,3030,40,19,0.475,0.014873206011725756,0.015620413024879149,-0.000747207013153393
stochastic_exploration_bonus_c0.5,uniform_step_balanced,101,40,18,0.45,0.00719232210750184,0.0072585246865587635,-6.620257905692352e-05
stochastic_exploration_bonus_c0.5,uniform_step_balanced,202,40,15,0.375,0.01144397362598055,0.009725198389519404,0.0017187752364611463
