policy_name,budget,n_runs,mean_step_count_l1_imbalance,median_step_count_l1_imbalance,max_step_count_l1_imbalance,mean_max_min_revealed_row_ratio,maximum_observed_revealed_row_count_any_step,minimum_observed_revealed_row_count_any_step,average_steps_above_initial_5,average_steps_still_at_initial_5
epsilon_greedy_eps0.2,45,10,0.0,0.0,0.0,1.0,5,5,0.0,9.0
epsilon_greedy_eps0.2,90,10,60.6,59.0,70.0,7.013333333333334,45,5,8.5,0.5
epsilon_greedy_eps0.2,180,10,162.6,161.0,172.0,9.833928571428572,80,7,9.0,0.0
epsilon_greedy_eps0.2,360,10,307.8,316.0,346.0,10.314963369963369,176,12,9.0,0.0
epsilon_greedy_eps0.2,720,10,426.4,414.0,534.0,6.5300218938149985,200,26,9.0,0.0
epsilon_greedy_eps0.2,1200,10,459.8,463.0,530.0,3.1453505996329985,200,52,9.0,0.0
epsilon_greedy_eps0.2,1798,10,0.0,0.0,0.0,1.0050251256281406,200,199,9.0,0.0
exploration_bonus_c0.25,45,10,0.0,0.0,0.0,1.0,5,5,0.0,9.0
exploration_bonus_c0.25,90,10,80.0,80.0,80.0,10.0,50,5,1.0,8.0
exploration_bonus_c0.25,180,10,197.8,202.0,210.0,19.0,95,5,2.7,6.3
exploration_bonus_c0.25,360,10,370.2,380.0,420.0,26.02,185,5,5.0,4.0
exploration_bonus_c0.25,720,10,545.8,570.0,700.0,35.062222222222225,200,5,7.7,1.3
exploration_bonus_c0.25,1200,10,627.2,657.0,742.0,28.999999999999993,200,5,8.7,0.3
exploration_bonus_c0.25,1798,10,0.0,0.0,0.0,1.0050251256281406,200,199,9.0,0.0
exploration_bonus_c0.5,45,10,0.0,0.0,0.0,1.0,5,5,0.0,9.0
exploration_bonus_c0.5,90,10,80.0,80.0,80.0,10.0,50,5,1.0,8.0
exploration_bonus_c0.5,180,10,188.6,187.0,210.0,19.0,95,5,3.6,5.4
exploration_bonus_c0.5,360,10,300.2,290.0,394.0,21.597142857142856,175,5,7.1,1.9
exploration_bonus_c0.5,720,10,475.2,467.0,592.0,28.781481481481478,200,5,8.6,0.4
exploration_bonus_c0.5,1200,10,569.6,564.0,674.0,23.306500315574727,200,5,8.7,0.3
exploration_bonus_c0.5,1798,10,0.0,0.0,0.0,1.0050251256281406,200,199,9.0,0.0
exploration_bonus_c1.0,45,10,0.0,0.0,0.0,1.0,5,5,0.0,9.0
exploration_bonus_c1.0,90,10,80.0,80.0,80.0,10.0,50,5,1.0,8.0
exploration_bonus_c1.0,180,10,173.6,171.0,210.0,19.0,95,5,5.1,3.9
exploration_bonus_c1.0,360,10,251.2,271.0,304.0,16.56589285714286,127,5,8.2,0.8
exploration_bonus_c1.0,720,10,457.0,447.0,554.0,18.402645502645505,200,5,8.9,0.1
exploration_bonus_c1.0,1200,10,516.0,523.0,620.0,9.81959182341807,200,11,9.0,0.0
exploration_bonus_c1.0,1798,10,0.0,0.0,0.0,1.0050251256281406,200,199,9.0,0.0
greedy_loo_fragility,45,10,0.0,0.0,0.0,1.0,5,5,0.0,9.0
greedy_loo_fragility,90,10,80.0,80.0,80.0,10.0,50,5,1.0,8.0
greedy_loo_fragility,180,10,210.0,210.0,210.0,19.0,95,5,2.0,7.0
greedy_loo_fragility,360,10,371.0,350.0,420.0,23.5,185,5,3.7,5.3
greedy_loo_fragility,720,10,492.0,450.0,690.0,39.08,200,5,5.9,3.1
greedy_loo_fragility,1200,10,595.4,595.0,662.0,37.0,200,5,7.4,1.6
greedy_loo_fragility,1798,10,0.0,0.0,0.0,1.0050251256281406,200,199,9.0,0.0
uniform_step_balanced,45,10,0.0,0.0,0.0,1.0,5,5,0.0,9.0
uniform_step_balanced,90,10,0.0,0.0,0.0,1.0,10,10,9.0,0.0
uniform_step_balanced,180,10,0.0,0.0,0.0,1.0,20,20,9.0,0.0
uniform_step_balanced,360,10,0.0,0.0,0.0,1.0,40,40,9.0,0.0
uniform_step_balanced,720,10,0.0,0.0,0.0,1.0,80,80,9.0,0.0
uniform_step_balanced,1200,10,0.0,0.0,0.0,1.0075187969924815,134,133,9.0,0.0
uniform_step_balanced,1798,10,0.0,0.0,0.0,1.0050251256281406,200,199,9.0,0.0
