policy_name,base_policy_name,reveal_seed,recomputation_index,revealed_count_at_recomputation,runtime_seconds,total_loo_terms_available,total_loo_terms_used,max_loo_terms_per_step,loo_subsampled,top_fragile_step,top_fragility,policy_kwargs
greedy_loo_fragility,greedy_loo_fragility,101,1,45,0.7032029579859227,45,45,20,False,T1571 - Defense Evasion: Non-Standard Port,0.00013575569833673576,{}
greedy_loo_fragility,greedy_loo_fragility,101,2,135,0.9435485419817269,135,60,20,True,T1498.001 - Impact: Direct Network Flood,6.028392008585122e-05,{}
greedy_loo_fragility,greedy_loo_fragility,101,3,225,1.3461343749950174,225,75,20,True,T1036 - Defense Evasion: Masquerading,5.502939095145649e-05,{}
greedy_loo_fragility,greedy_loo_fragility,101,4,315,2.2243518750183284,315,90,20,True,T1595 - Reconnaissance: Active Scanning,5.248711253314407e-05,{}
greedy_loo_fragility,greedy_loo_fragility,101,5,405,2.0680240000074264,405,105,20,True,T1571 - Defense Evasion: Non-Standard Port,5.046279817217095e-05,{}
greedy_loo_fragility,greedy_loo_fragility,101,6,495,2.2584643750160467,495,105,20,True,T1571 - Defense Evasion: Non-Standard Port,6.056559275307478e-05,{}
greedy_loo_fragility,greedy_loo_fragility,101,7,585,2.508089375012787,585,120,20,True,T1498.002 - Impact: Reflection/Amplification Attack,8.841022402728719e-05,{}
greedy_loo_fragility,greedy_loo_fragility,101,8,675,2.3099173750088084,675,135,20,True,T1583.005 - Resource Development: Acquire Botnet,0.00010213085395175043,{}
greedy_loo_fragility,greedy_loo_fragility,101,9,765,2.26062987500336,765,150,20,True,T1583.005 - Resource Development: Acquire Botnet,0.0001045015849688128,{}
greedy_loo_fragility,greedy_loo_fragility,101,10,855,2.492847209010506,855,150,20,True,T1583.005 - Resource Development: Acquire Botnet,9.754790570293132e-05,{}
greedy_loo_fragility,greedy_loo_fragility,101,11,945,2.8266938750166446,945,150,20,True,T1583.005 - Resource Development: Acquire Botnet,9.199097090648454e-05,{}
greedy_loo_fragility,greedy_loo_fragility,101,12,1035,2.3576751250075176,1035,150,20,True,T1595 - Reconnaissance: Active Scanning,9.06731218282414e-05,{}
greedy_loo_fragility,greedy_loo_fragility,101,13,1125,2.3200380000052974,1125,150,20,True,TA0011 - Command-and-Control,0.00014844200302544875,{}
greedy_loo_fragility,greedy_loo_fragility,101,14,1215,2.5514797079958953,1215,165,20,True,T1036 - Defense Evasion: Masquerading,7.064583718568076e-05,{}
greedy_loo_fragility,greedy_loo_fragility,101,15,1305,2.555196208995767,1305,165,20,True,T1583.005 - Resource Development: Acquire Botnet,5.559611234526764e-05,{}
greedy_loo_fragility,greedy_loo_fragility,101,16,1395,3.2278064579877537,1395,165,20,True,T1583.005 - Resource Development: Acquire Botnet,6.63988647883639e-05,{}
greedy_loo_fragility,greedy_loo_fragility,101,17,1485,2.6544093749835156,1485,165,20,True,T1498.002 - Impact: Reflection/Amplification Attack,6.549598436989204e-05,{}
greedy_loo_fragility,greedy_loo_fragility,101,18,1575,2.9911445410107262,1575,165,20,True,T1583.005 - Resource Development: Acquire Botnet,6.826411481638972e-05,{}
greedy_loo_fragility,greedy_loo_fragility,101,19,1665,3.002703833015403,1665,180,20,True,T1583.005 - Resource Development: Acquire Botnet,7.311436110993332e-05,{}
greedy_loo_fragility,greedy_loo_fragility,101,20,1755,2.948967875010567,1755,180,20,True,T1583.005 - Resource Development: Acquire Botnet,7.581160705703724e-05,{}
epsilon_greedy_eps0.2,epsilon_greedy_loo_fragility,101,1,45,0.662580790987704,45,45,20,False,T1571 - Defense Evasion: Non-Standard Port,0.00013575569833673576,"{""epsilon"": 0.2}"
epsilon_greedy_eps0.2,epsilon_greedy_loo_fragility,101,2,135,1.1641829580185004,135,76,20,True,T1584.005 - Resource Development: Build/Compromise Botnet,6.800830491919565e-05,"{""epsilon"": 0.2}"
epsilon_greedy_eps0.2,epsilon_greedy_loo_fragility,101,3,225,1.7377463330049068,225,108,20,True,T1583.005 - Resource Development: Acquire Botnet,6.236810680845128e-05,"{""epsilon"": 0.2}"
epsilon_greedy_eps0.2,epsilon_greedy_loo_fragility,101,4,315,2.1414412500162143,315,140,20,True,T1583.005 - Resource Development: Acquire Botnet,8.346115056746538e-05,"{""epsilon"": 0.2}"
epsilon_greedy_eps0.2,epsilon_greedy_loo_fragility,101,5,405,2.4016942089947406,405,159,20,True,T1498.001 - Impact: Direct Network Flood,5.752171745379661e-05,"{""epsilon"": 0.2}"
epsilon_greedy_eps0.2,epsilon_greedy_loo_fragility,101,6,495,2.7367698329908308,495,180,20,True,T1583.005 - Resource Development: Acquire Botnet,5.7472144765140286e-05,"{""epsilon"": 0.2}"
epsilon_greedy_eps0.2,epsilon_greedy_loo_fragility,101,7,585,2.7599052919831593,585,180,20,True,TA0011 - Command-and-Control,5.193615661203635e-05,"{""epsilon"": 0.2}"
epsilon_greedy_eps0.2,epsilon_greedy_loo_fragility,101,8,675,2.8238581249897834,675,180,20,True,T1498.001 - Impact: Direct Network Flood,6.809336064180196e-05,"{""epsilon"": 0.2}"
epsilon_greedy_eps0.2,epsilon_greedy_loo_fragility,101,9,765,2.806093791994499,765,180,20,True,T1498.001 - Impact: Direct Network Flood,4.951428265970266e-05,"{""epsilon"": 0.2}"
epsilon_greedy_eps0.2,epsilon_greedy_loo_fragility,101,10,855,2.8319830409891438,855,180,20,True,T1590 - Reconnaissance: Gather Victim Network Information,5.188989433875078e-05,"{""epsilon"": 0.2}"
epsilon_greedy_eps0.2,epsilon_greedy_loo_fragility,101,11,945,2.817937166983029,945,180,20,True,T1498.001 - Impact: Direct Network Flood,5.176068985300619e-05,"{""epsilon"": 0.2}"
epsilon_greedy_eps0.2,epsilon_greedy_loo_fragility,101,12,1035,2.8411124580015894,1035,180,20,True,T1036 - Defense Evasion: Masquerading,4.7706652008438505e-05,"{""epsilon"": 0.2}"
epsilon_greedy_eps0.2,epsilon_greedy_loo_fragility,101,13,1125,2.9007192089920864,1125,180,20,True,T1498.001 - Impact: Direct Network Flood,4.539618956461574e-05,"{""epsilon"": 0.2}"
epsilon_greedy_eps0.2,epsilon_greedy_loo_fragility,101,14,1215,3.0472474999842234,1215,180,20,True,T1498.001 - Impact: Direct Network Flood,5.3389108611681016e-05,"{""epsilon"": 0.2}"
epsilon_greedy_eps0.2,epsilon_greedy_loo_fragility,101,15,1305,3.038306417001877,1305,180,20,True,T1498.002 - Impact: Reflection/Amplification Attack,6.0195756048384355e-05,"{""epsilon"": 0.2}"
epsilon_greedy_eps0.2,epsilon_greedy_loo_fragility,101,16,1395,2.955614875012543,1395,180,20,True,T1498.001 - Impact: Direct Network Flood,7.40346389433225e-05,"{""epsilon"": 0.2}"
epsilon_greedy_eps0.2,epsilon_greedy_loo_fragility,101,17,1485,3.0196393330115825,1485,180,20,True,T1583.005 - Resource Development: Acquire Botnet,0.00010186651174572826,"{""epsilon"": 0.2}"
epsilon_greedy_eps0.2,epsilon_greedy_loo_fragility,101,18,1575,3.0045283749932423,1575,180,20,True,T1036 - Defense Evasion: Masquerading,8.1515691129939e-05,"{""epsilon"": 0.2}"
epsilon_greedy_eps0.2,epsilon_greedy_loo_fragility,101,19,1665,3.021490334009286,1665,180,20,True,T1036 - Defense Evasion: Masquerading,8.355725384743213e-05,"{""epsilon"": 0.2}"
epsilon_greedy_eps0.2,epsilon_greedy_loo_fragility,101,20,1755,3.048966499976814,1755,180,20,True,T1036 - Defense Evasion: Masquerading,8.354316473635739e-05,"{""epsilon"": 0.2}"
exploration_bonus_c0.25,exploration_bonus_loo_fragility,101,1,45,0.6945319169899449,45,45,20,False,T1571 - Defense Evasion: Non-Standard Port,0.00013575569833673576,"{""c"": 0.25}"
exploration_bonus_c0.25,exploration_bonus_loo_fragility,101,2,135,0.9404825829842594,135,60,20,True,T1498.001 - Impact: Direct Network Flood,6.028392008585122e-05,"{""c"": 0.25}"
