policy_name,baseline_policy,reveal_seed,budget,baseline_distance,policy_distance,difference_policy_minus_baseline,relative_difference_policy_minus_baseline,policy_better
epsilon_greedy_eps0.2,uniform_step_balanced,101,45,3.912812991994051e-06,3.912812991994051e-06,0.0,0.0,False
epsilon_greedy_eps0.2,uniform_step_balanced,101,90,4.1108917086020235e-06,2.0617827018109796e-05,1.6506935309507772e-05,4.015414776061135,False
epsilon_greedy_eps0.2,uniform_step_balanced,101,180,6.333847635248736e-06,7.023394516338493e-06,6.895468810897576e-07,0.10886698272505548,False
epsilon_greedy_eps0.2,uniform_step_balanced,101,360,4.6234701779544244e-06,8.795737998171285e-06,4.17226782021686e-06,0.9024104535400743,False
epsilon_greedy_eps0.2,uniform_step_balanced,101,720,1.4278469613406005e-06,4.1656875659928356e-06,2.737840604652235e-06,1.9174608195276657,False
epsilon_greedy_eps0.2,uniform_step_balanced,101,1200,4.318871120098723e-06,7.861349557706955e-06,3.5424784376082315e-06,0.8202324957377417,False
epsilon_greedy_eps0.2,uniform_step_balanced,101,1798,0.0,0.0,0.0,,False
epsilon_greedy_eps0.2,uniform_step_balanced,202,45,2.361828347314425e-05,2.361828347314425e-05,0.0,0.0,False
epsilon_greedy_eps0.2,uniform_step_balanced,202,90,2.4160102406734272e-05,6.630961026129946e-06,-1.7529141380604328e-05,-0.7255408559741178,True
epsilon_greedy_eps0.2,uniform_step_balanced,202,180,1.0565559472077152e-05,9.271615937653178e-06,-1.2939435344239749e-06,-0.12246805650411904,True
epsilon_greedy_eps0.2,uniform_step_balanced,202,360,2.968381204316551e-06,7.084923489196157e-06,4.116542284879606e-06,1.38679704577479,False
epsilon_greedy_eps0.2,uniform_step_balanced,202,720,7.425411143035425e-06,9.594354404201644e-06,2.168943261166219e-06,0.29209739627691234,False
epsilon_greedy_eps0.2,uniform_step_balanced,202,1200,9.519297172429744e-06,2.7251627456311908e-06,-6.794134426798553e-06,-0.7137222742111738,True
epsilon_greedy_eps0.2,uniform_step_balanced,202,1798,0.0,0.0,0.0,,False
epsilon_greedy_eps0.2,uniform_step_balanced,303,45,3.4534796817123485e-05,3.4534796817123485e-05,0.0,0.0,False
epsilon_greedy_eps0.2,uniform_step_balanced,303,90,5.77471568692702e-06,1.735097178917013e-05,1.1576256102243108e-05,2.0046452033040856,False
epsilon_greedy_eps0.2,uniform_step_balanced,303,180,1.594311687543048e-05,2.539119542672096e-05,9.44807855129048e-06,0.592611759990963,False
epsilon_greedy_eps0.2,uniform_step_balanced,303,360,3.855806607827436e-06,9.74670773239288e-06,5.890901124565443e-06,1.5277999453101943,False
epsilon_greedy_eps0.2,uniform_step_balanced,303,720,3.856034750968391e-06,2.954971589018819e-06,-9.010631619495716e-07,-0.23367609996857053,True
epsilon_greedy_eps0.2,uniform_step_balanced,303,1200,5.751304601422713e-06,7.924348094025503e-07,-4.9588697920201625e-06,-0.8622165118490639,True
epsilon_greedy_eps0.2,uniform_step_balanced,303,1798,0.0,0.0,0.0,,False
epsilon_greedy_eps0.2,uniform_step_balanced,404,45,8.720407783977221e-05,8.720407783977221e-05,0.0,0.0,False
epsilon_greedy_eps0.2,uniform_step_balanced,404,90,5.932589304590522e-06,1.5131144897730492e-05,9.19855559313997e-06,1.5505127897564572,False
epsilon_greedy_eps0.2,uniform_step_balanced,404,180,7.419963333463755e-06,4.518119274457527e-06,-2.901844059006228e-06,-0.39108603757097027,True
epsilon_greedy_eps0.2,uniform_step_balanced,404,360,3.599302973239015e-06,1.03210939785539e-05,6.721791005314885e-06,1.867525755762078,False
epsilon_greedy_eps0.2,uniform_step_balanced,404,720,4.499497212261051e-06,6.749619530047473e-06,2.250122317786422e-06,0.5000830563145763,False
epsilon_greedy_eps0.2,uniform_step_balanced,404,1200,2.053038315694853e-06,1.8380615341972154e-06,-2.149767814976378e-07,-0.10471152917809946,True
epsilon_greedy_eps0.2,uniform_step_balanced,404,1798,0.0,0.0,0.0,,False
