policy_name,budget,n_runs,distance_mean,distance_median,distance_std,distance_min,distance_max,distance_p25,distance_p75,p_success_mean_mean,step_count_l1_mean,step_count_l1_median,step_count_l1_max
epsilon_greedy_eps0.2,45,10,4.398569425678869e-05,3.1194664125782126e-05,3.114611125434277e-05,3.912812991994051e-06,9.350528494369941e-05,2.4054123116245277e-05,6.818654365920552e-05,0.22690475790627812,0.0,0.0,0.0
epsilon_greedy_eps0.2,90,10,1.5924544507686653e-05,1.3198257594782833e-05,1.3131775757324027e-05,3.2883314557666934e-06,4.7979922158302216e-05,7.31433056872472e-06,1.980111321087488e-05,0.22623807664000378,60.6,59.0,70.0
epsilon_greedy_eps0.2,180,10,1.3438276454284377e-05,9.157423335300805e-06,1.0777222391605293e-05,1.4011773631827916e-06,3.0843984857132976e-05,5.144438084927769e-06,2.3210030104685735e-05,0.2252123239022298,162.6,161.0,172.0
epsilon_greedy_eps0.2,360,10,8.362163439370728e-06,8.02222516885538e-06,5.164743932544012e-06,7.944998693714392e-07,1.7244205796997224e-05,4.644996913520414e-06,1.0177497417013645e-05,0.2250676067349015,307.8,316.0,346.0
epsilon_greedy_eps0.2,720,10,5.234170004038948e-06,5.4238473196159385e-06,3.1276628080994107e-06,1.5223441027331129e-06,9.594354404201644e-06,2.26908297393631e-06,7.75915224721605e-06,0.22583884224706482,426.4,414.0,534.0
epsilon_greedy_eps0.2,1200,10,3.6823546661157663e-06,2.281612139914203e-06,2.9550692063839217e-06,7.924348094025503e-07,8.788813833157614e-06,1.6629952913207896e-06,5.860768164035481e-06,0.22483279436615203,459.8,463.0,530.0
epsilon_greedy_eps0.2,1798,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22470484448919717,0.0,0.0,0.0
exploration_bonus_c0.25,45,10,4.398569425678869e-05,3.1194664125782126e-05,3.114611125434277e-05,3.912812991994051e-06,9.350528494369941e-05,2.4054123116245277e-05,6.818654365920552e-05,0.22690475790627812,0.0,0.0,0.0
exploration_bonus_c0.25,90,10,2.0218086607958335e-05,1.6028451380440417e-05,1.471413069020802e-05,3.296311263496833e-06,5.0407346150546534e-05,8.780018875179271e-06,2.8448062495362078e-05,0.22757943482656554,80.0,80.0,80.0
exploration_bonus_c0.25,180,10,1.6700313213398627e-05,1.6706019655252637e-05,1.1830823927302351e-05,1.5780227028749348e-06,3.9685250798733015e-05,7.1828226495692235e-06,2.416553320755121e-05,0.22668866030306986,197.8,202.0,210.0
