policy_name,budget,n_seeds,policy_wins,policy_win_fraction,mean_policy_minus_baseline_distance,median_policy_minus_baseline_distance,mean_relative_difference_policy_minus_baseline
epsilon_greedy_eps0.2,45,10,0,0.0,0.0,0.0,0.0
epsilon_greedy_eps0.2,90,10,5,0.5,1.712901750911087e-07,2.8547212122768072e-06,0.6226907805241155
epsilon_greedy_eps0.2,180,10,6,0.6,-2.0245267369890264e-06,-6.519272132395739e-07,1.8352809046323628
epsilon_greedy_eps0.2,360,10,5,0.5,-9.256977392738729e-07,7.104199004429307e-07,0.5924432811344913
epsilon_greedy_eps0.2,720,10,6,0.6,-6.510563641098313e-07,-9.152977137788561e-07,0.029790952974016904
epsilon_greedy_eps0.2,1200,10,5,0.5,5.611678192069607e-08,1.389395904738729e-07,0.3721579080575684
epsilon_greedy_eps0.2,1798,10,0,0.0,0.0,0.0,
exploration_bonus_c0.25,45,10,0,0.0,0.0,0.0,0.0
exploration_bonus_c0.25,90,10,3,0.3,4.464832275362791e-06,4.0759804199431575e-06,1.1143062783510598
exploration_bonus_c0.25,180,10,4,0.4,1.2375100221252232e-06,2.773284461463922e-06,2.3034090418050135
exploration_bonus_c0.25,360,10,5,0.5,3.0344657193630135e-06,7.903810641833513e-07,1.372679288838516
exploration_bonus_c0.25,720,10,4,0.4,5.045061441427302e-06,3.195645416379485e-06,0.9988328586122222
exploration_bonus_c0.25,1200,10,4,0.4,4.926778449030108e-06,1.8473112879798164e-06,2.2226160795165937
exploration_bonus_c0.25,1798,10,0,0.0,0.0,0.0,
exploration_bonus_c0.5,45,10,0,0.0,0.0,0.0,0.0
exploration_bonus_c0.5,90,10,3,0.3,4.464832275362791e-06,4.0759804199431575e-06,1.1143062783510598
exploration_bonus_c0.5,180,10,4,0.4,-5.483288276552347e-07,2.8335361084357537e-06,2.209889325891823
exploration_bonus_c0.5,360,10,6,0.6,-3.8074734589951286e-06,-3.0316627707150165e-06,0.1883223483739878
exploration_bonus_c0.5,720,10,6,0.6,-6.798714526011558e-07,-1.300971894963184e-06,0.2705575851186134
exploration_bonus_c0.5,1200,10,6,0.6,3.461317410648705e-07,-8.270970954685038e-07,0.5819318382057549
exploration_bonus_c0.5,1798,10,0,0.0,0.0,0.0,
exploration_bonus_c1.0,45,10,0,0.0,0.0,0.0,0.0
exploration_bonus_c1.0,90,10,3,0.3,4.464832275362791e-06,4.0759804199431575e-06,1.1143062783510598
exploration_bonus_c1.0,180,10,5,0.5,-1.2103442500040495e-06,4.764023483284267e-07,1.788320278337375
exploration_bonus_c1.0,360,10,7,0.7,-4.999288294074559e-06,-2.645969113208668e-06,-0.34908933293910727
exploration_bonus_c1.0,720,10,7,0.7,-1.7745113292665945e-06,-2.061559844883172e-06,-0.04352499033461265
exploration_bonus_c1.0,1200,10,5,0.5,5.407843089855387e-07,1.2426228380762739e-07,0.6362286563046589
exploration_bonus_c1.0,1798,10,0,0.0,0.0,0.0,
greedy_loo_fragility,45,10,0,0.0,0.0,0.0,0.0
greedy_loo_fragility,90,10,3,0.3,4.464832275362791e-06,4.0759804199431575e-06,1.1143062783510598
greedy_loo_fragility,180,10,6,0.6,2.9667804881190154e-06,-1.4254703163991796e-06,2.364704687204004
greedy_loo_fragility,360,10,6,0.6,-2.8385318888548905e-07,-2.6377168908669774e-06,0.7766568503072382
greedy_loo_fragility,720,10,7,0.7,-2.856600983773552e-06,-2.5911991422005845e-06,-0.2761351271486732
greedy_loo_fragility,1200,10,4,0.4,9.360859641386703e-07,1.5540683397511724e-06,1.2926279040793964
greedy_loo_fragility,1798,10,0,0.0,0.0,0.0,
