policy_name,budget,n_runs,distance_mean,distance_median,distance_std,distance_min,distance_max,distance_p25,distance_p75,p_success_mean_mean,step_count_l1_mean,step_count_l1_median,step_count_l1_max
greedy_loo_fragility,45,2,2.6181247282657593e-05,2.6181247282657593e-05,4.185656984883694e-06,2.3221540844925493e-05,2.914095372038969e-05,2.4701394063791543e-05,2.766110050152364e-05,0.22528276742568307,0.0,0.0,0.0
greedy_loo_fragility,90,2,4.636448986359119e-05,4.636448986359119e-05,8.108446799731095e-07,4.579113609189317e-05,4.693784363528921e-05,4.607781297774218e-05,4.66511667494402e-05,0.22456985672490123,80.0,80.0,80.0
greedy_loo_fragility,180,2,2.863554724462484e-05,2.863554724462484e-05,2.173874436706303e-06,2.7098385888981726e-05,3.0172708600267952e-05,2.786696656680328e-05,2.9404127922446397e-05,0.22388060491473016,210.0,210.0,210.0
greedy_loo_fragility,360,2,2.7906623405916865e-05,2.7906623405916865e-05,3.819046700165028e-06,2.5206149586562066e-05,3.0607097225271664e-05,2.6556386496239467e-05,2.9256860315594263e-05,0.22422506363754213,420.0,420.0,420.0
greedy_loo_fragility,720,2,2.311375092953632e-05,2.311375092953632e-05,1.8792718648109372e-06,2.178490505023542e-05,2.4442596808837224e-05,2.244932798988587e-05,2.3778173869186774e-05,0.22274854900676366,630.0,630.0,660.0
uniform_step_balanced,45,2,2.6181247282657593e-05,2.6181247282657593e-05,4.185656984883694e-06,2.3221540844925493e-05,2.914095372038969e-05,2.4701394063791543e-05,2.766110050152364e-05,0.22528276742568307,0.0,0.0,0.0
uniform_step_balanced,90,2,3.3800851347323566e-05,3.3800851347323566e-05,2.5763198035543916e-07,3.361867802696372e-05,3.398302466768342e-05,3.370976468714364e-05,3.3891938007503496e-05,0.22512506840028637,0.0,0.0,0.0
uniform_step_balanced,180,2,3.712159098400336e-05,3.712159098400336e-05,4.292925738607421e-06,3.408603408310378e-05,4.0157147884902934e-05,3.5603812533553574e-05,3.863936943445314e-05,0.22447473226680656,0.0,0.0,0.0
uniform_step_balanced,360,2,4.5864238053837805e-05,4.5864238053837805e-05,4.666198021199013e-05,1.2869235422347092e-05,7.885924068532852e-05,2.9366736738092448e-05,6.236173936958316e-05,0.22400457455727052,0.0,0.0,0.0
uniform_step_balanced,720,2,2.139161087782188e-05,2.139161087782188e-05,9.999184589891038e-06,1.43211196479739e-05,2.846210210766986e-05,1.785636526289789e-05,2.492685649274587e-05,0.22300030039571286,0.0,0.0,0.0
