policy_name,base_policy_name,policy_kwargs,reveal_seed,budget,additional_rows_beyond_initial_seed,squared_wasserstein2_to_full_reference,p_success_mean,p_success_p05,p_success_p50,p_success_p95,min_revealed_rows_per_step,max_revealed_rows_per_step,max_min_revealed_rows_per_step_ratio,step_count_std,step_count_l1_from_perfect_balance,revealed_rows_by_step,sample_seed,decision_count
uniform_step_balanced,uniform_step_balanced,{},101,45,0,3.912812991994051e-06,0.22476634871052084,0.10246225212199522,0.22060004065277244,0.3600068710922945,5,5,1.0,0.0,0.0,"{""T1036 - Defense Evasion: Masquerading"": 5, ""T1498.001 - Impact: Direct Network Flood"": 5, ""T1498.002 - Impact: Reflection/Amplification Attack"": 5, ""T1571 - Defense Evasion: Non-Standard Port"": 5, ""T1583.005 - Resource Development: Acquire Botnet"": 5, ""T1584.005 - Resource Development: Build/Compromise Botnet"": 5, ""T1590 - Reconnaissance: Gather Victim Network Information"": 5, ""T1595 - Reconnaissance: Active Scanning"": 5, ""TA0011 - Command-and-Control"": 5}",2018045,0
uniform_step_balanced,uniform_step_balanced,{},101,90,45,4.1108917086020235e-06,0.2252801570820653,0.1030003081371552,0.21984561761922067,0.36385277220136164,10,10,1.0,0.0,0.0,"{""T1036 - Defense Evasion: Masquerading"": 10, ""T1498.001 - Impact: Direct Network Flood"": 10, ""T1498.002 - Impact: Reflection/Amplification Attack"": 10, ""T1571 - Defense Evasion: Non-Standard Port"": 10, ""T1583.005 - Resource Development: Acquire Botnet"": 10, ""T1584.005 - Resource Development: Build/Compromise Botnet"": 10, ""T1590 - Reconnaissance: Gather Victim Network Information"": 10, ""T1595 - Reconnaissance: Active Scanning"": 10, ""TA0011 - Command-and-Control"": 10}",2018090,45
uniform_step_balanced,uniform_step_balanced,{},101,180,135,6.333847635248736e-06,0.22530817783718568,0.10017559867603788,0.22064099910292775,0.3623146317533978,20,20,1.0,0.0,0.0,"{""T1036 - Defense Evasion: Masquerading"": 20, ""T1498.001 - Impact: Direct Network Flood"": 20, ""T1498.002 - Impact: Reflection/Amplification Attack"": 20, ""T1571 - Defense Evasion: Non-Standard Port"": 20, ""T1583.005 - Resource Development: Acquire Botnet"": 20, ""T1584.005 - Resource Development: Build/Compromise Botnet"": 20, ""T1590 - Reconnaissance: Gather Victim Network Information"": 20, ""T1595 - Reconnaissance: Active Scanning"": 20, ""TA0011 - Command-and-Control"": 20}",2018180,135
uniform_step_balanced,uniform_step_balanced,{},101,360,315,4.6234701779544244e-06,0.22618483917116863,0.10259456572880604,0.22144653223376787,0.36331029496992184,40,40,1.0,0.0,0.0,"{""T1036 - Defense Evasion: Masquerading"": 40, ""T1498.001 - Impact: Direct Network Flood"": 40, ""T1498.002 - Impact: Reflection/Amplification Attack"": 40, ""T1571 - Defense Evasion: Non-Standard Port"": 40, ""T1583.005 - Resource Development: Acquire Botnet"": 40, ""T1584.005 - Resource Development: Build/Compromise Botnet"": 40, ""T1590 - Reconnaissance: Gather Victim Network Information"": 40, ""T1595 - Reconnaissance: Active Scanning"": 40, ""TA0011 - Command-and-Control"": 40}",2018360,315
uniform_step_balanced,uniform_step_balanced,{},101,720,675,1.4278469613406005e-06,0.22527897731688953,0.1024725868963397,0.2203236515044345,0.36082493216357625,80,80,1.0,0.0,0.0,"{""T1036 - Defense Evasion: Masquerading"": 80, ""T1498.001 - Impact: Direct Network Flood"": 80, ""T1498.002 - Impact: Reflection/Amplification Attack"": 80, ""T1571 - Defense Evasion: Non-Standard Port"": 80, ""T1583.005 - Resource Development: Acquire Botnet"": 80, ""T1584.005 - Resource Development: Build/Compromise Botnet"": 80, ""T1590 - Reconnaissance: Gather Victim Network Information"": 80, ""T1595 - Reconnaissance: Active Scanning"": 80, ""TA0011 - Command-and-Control"": 80}",2018720,675
uniform_step_balanced,uniform_step_balanced,{},101,1200,1155,4.318871120098723e-06,0.2234995652652523,0.10038315561560923,0.219071874160939,0.35789738182155073,133,134,1.0075187969924813,0.4714045207910317,0.0,"{""T1036 - Defense Evasion: Masquerading"": 133, ""T1498.001 - Impact: Direct Network Flood"": 133, ""T1498.002 - Impact: Reflection/Amplification Attack"": 134, ""T1571 - Defense Evasion: Non-Standard Port"": 133, ""T1583.005 - Resource Development: Acquire Botnet"": 133, ""T1584.005 - Resource Development: Build/Compromise Botnet"": 134, ""T1590 - Reconnaissance: Gather Victim Network Information"": 133, ""T1595 - Reconnaissance: Active Scanning"": 133, ""TA0011 - Command-and-Control"": 134}",2019200,1155
uniform_step_balanced,uniform_step_balanced,{},101,1798,1753,0.0,0.22470484448919714,0.10282013170083151,0.21987138712593557,0.3602157968474639,199,200,1.0050251256281406,0.41573970964154905,0.0,"{""T1036 - Defense Evasion: Masquerading"": 200, ""T1498.001 - Impact: Direct Network Flood"": 200, ""T1498.002 - Impact: Reflection/Amplification Attack"": 200, ""T1571 - Defense Evasion: Non-Standard Port"": 200, ""T1583.005 - Resource Development: Acquire Botnet"": 200, ""T1584.005 - Resource Development: Build/Compromise Botnet"": 199, ""T1590 - Reconnaissance: Gather Victim Network Information"": 199, ""T1595 - Reconnaissance: Active Scanning"": 200, ""TA0011 - Command-and-Control"": 200}",2019798,1753
stochastic_normalized_fragility,stochastic_normalized_loo_fragility,{},101,45,0,3.912812991994051e-06,0.22476634871052084,0.10246225212199522,0.22060004065277244,0.3600068710922945,5,5,1.0,0.0,0.0,"{""T1036 - Defense Evasion: Masquerading"": 5, ""T1498.001 - Impact: Direct Network Flood"": 5, ""T1498.002 - Impact: Reflection/Amplification Attack"": 5, ""T1571 - Defense Evasion: Non-Standard Port"": 5, ""T1583.005 - Resource Development: Acquire Botnet"": 5, ""T1584.005 - Resource Development: Build/Compromise Botnet"": 5, ""T1590 - Reconnaissance: Gather Victim Network Information"": 5, ""T1595 - Reconnaissance: Active Scanning"": 5, ""TA0011 - Command-and-Control"": 5}",2018045,0
stochastic_normalized_fragility,stochastic_normalized_loo_fragility,{},101,90,45,4.161543398494031e-06,0.22375309998487977,0.10338920058551644,0.21884530095580704,0.35975475095102794,5,13,2.6,2.581988897471611,20.0,"{""T1036 - Defense Evasion: Masquerading"": 9, ""T1498.001 - Impact: Direct Network Flood"": 5, ""T1498.002 - Impact: Reflection/Amplification Attack"": 12, ""T1571 - Defense Evasion: Non-Standard Port"": 11, ""T1583.005 - Resource Development: Acquire Botnet"": 13, ""T1584.005 - Resource Development: Build/Compromise Botnet"": 9, ""T1590 - Reconnaissance: Gather Victim Network Information"": 7, ""T1595 - Reconnaissance: Active Scanning"": 11, ""TA0011 - Command-and-Control"": 13}",2018090,45
stochastic_normalized_fragility,stochastic_normalized_loo_fragility,{},101,180,135,1.168918008837763e-05,0.22624687115792808,0.10071585111647595,0.22089510055695688,0.3668386059639848,15,25,1.6666666666666667,3.5901098714230026,30.0,"{""T1036 - Defense Evasion: Masquerading"": 21, ""T1498.001 - Impact: Direct Network Flood"": 15, ""T1498.002 - Impact: Reflection/Amplification Attack"": 18, ""T1571 - Defense Evasion: Non-Standard Port"": 25, ""T1583.005 - Resource Development: Acquire Botnet"": 22, ""T1584.005 - Resource Development: Build/Compromise Botnet"": 23, ""T1590 - Reconnaissance: Gather Victim Network Information"": 16, ""T1595 - Reconnaissance: Active Scanning"": 16, ""TA0011 - Command-and-Control"": 24}",2018180,135
