policy_name,baseline_policy,reveal_seed,budget,baseline_distance,policy_distance,difference_policy_minus_baseline,relative_difference_policy_minus_baseline,policy_better
stochastic_normalized_fragility,uniform_step_balanced,1111,45,5.372876920076738e-05,5.372876920076738e-05,0.0,0.0,False
stochastic_normalized_fragility,uniform_step_balanced,1111,90,3.2175782161492634e-06,3.7807182229976662e-06,5.631400068484028e-07,0.17501983448979155,False
stochastic_normalized_fragility,uniform_step_balanced,1111,180,5.2534039956715436e-06,2.044059446571726e-05,1.5187190470045716e-05,2.890923767248617,False
stochastic_normalized_fragility,uniform_step_balanced,1111,360,2.642344403460412e-06,3.5304057876929526e-06,8.880613842325407e-07,0.3360884308152777,False
stochastic_normalized_fragility,uniform_step_balanced,1111,720,7.872533945176518e-06,4.472636446599513e-06,-3.399897498577006e-06,-0.4318682551581901,True
stochastic_normalized_fragility,uniform_step_balanced,1111,1200,6.876477770137083e-06,3.734188499139248e-06,-3.1422892709978347e-06,-0.45696203434904625,True
stochastic_normalized_fragility,uniform_step_balanced,1111,1798,0.0,0.0,0.0,,False
stochastic_normalized_fragility,uniform_step_balanced,1212,45,7.12891162980287e-05,7.12891162980287e-05,0.0,0.0,False
stochastic_normalized_fragility,uniform_step_balanced,1212,90,1.2010595887152313e-05,2.2245152057232668e-05,1.0234556170080355e-05,0.8521272604824062,False
stochastic_normalized_fragility,uniform_step_balanced,1212,180,2.143833833424582e-05,1.793996016327197e-05,-3.498378170973851e-06,-0.1631832708501249,True
stochastic_normalized_fragility,uniform_step_balanced,1212,360,1.7734066531698357e-05,1.1132513129636878e-05,-6.601553402061479e-06,-0.3722526579147361,True
stochastic_normalized_fragility,uniform_step_balanced,1212,720,2.7157945126774357e-06,2.674962596796368e-06,-4.083191588106751e-08,-0.015034979889112569,True
stochastic_normalized_fragility,uniform_step_balanced,1212,1200,3.7536555671576087e-06,1.3654312965273086e-06,-2.3882242706303e-06,-0.6362395877570467,True
stochastic_normalized_fragility,uniform_step_balanced,1212,1798,0.0,0.0,0.0,,False
