policy_name,budget,n_runs,distance_mean,distance_median,distance_std,distance_min,distance_max,distance_p25,distance_p75,p_success_mean_mean,step_count_l1_mean,step_count_l1_median,step_count_l1_max
stochastic_normalized_fragility,45,30,4.994846867156099e-05,4.6291629793680336e-05,3.570152585497062e-05,2.697334387694878e-06,0.00014082810804,2.4054123116245277e-05,7.234026798339375e-05,0.22518299895018815,0.0,0.0,0.0
stochastic_normalized_fragility,90,30,3.662423467472174e-05,2.601567912478283e-05,2.8183451215792944e-05,3.7807182229976662e-06,0.0001030224632272,1.7690480598378072e-05,5.867389901470136e-05,0.2237069608267494,15.2,14.0,26.0
stochastic_normalized_fragility,180,30,2.1342615874312523e-05,1.816478542188586e-05,1.5958289222810576e-05,3.776170355199984e-06,7.608877116983495e-05,1.1345291059048832e-05,2.7731623469422187e-05,0.2244811523566508,28.333333333333332,28.0,40.0
stochastic_normalized_fragility,360,30,1.05265744301718e-05,8.221479376692863e-06,8.436402807244277e-06,2.1228482615684344e-06,4.209036773428292e-05,5.096424809699137e-06,1.3092722728042912e-05,0.22449313929355177,44.666666666666664,48.0,62.0
stochastic_normalized_fragility,720,30,4.968203807925051e-06,4.416573983664878e-06,2.7836745442892674e-06,1.1670065136220396e-06,1.1823273596471725e-05,3.0285070345955567e-06,5.910765578792662e-06,0.2249035109679903,71.4,73.0,120.0
stochastic_normalized_fragility,1200,30,4.067472629180773e-06,3.214037773015393e-06,3.879745255369982e-06,6.703734380005571e-07,1.5898587387373563e-05,1.6462406436425634e-06,4.731696121294933e-06,0.22485903329729057,98.4,100.0,144.0
stochastic_normalized_fragility,1798,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22470484448919706,0.0,0.0,0.0
uniform_step_balanced,45,30,4.994846867156099e-05,4.6291629793680336e-05,3.570152585497062e-05,2.697334387694878e-06,0.00014082810804,2.4054123116245277e-05,7.234026798339375e-05,0.22518299895018815,0.0,0.0,0.0
uniform_step_balanced,90,30,2.386145470813882e-05,1.6726514903376578e-05,1.8905374210156534e-05,3.2175782161492634e-06,6.786466564438413e-05,9.052823807907598e-06,3.168728346182798e-05,0.22402798688729128,0.0,0.0,0.0
uniform_step_balanced,180,30,1.5543114033869736e-05,1.1156486555060716e-05,1.7083909463724513e-05,4.352548885283851e-07,8.771736832287152e-05,6.265661438973639e-06,1.8068573330288617e-05,0.22466914913335342,0.0,0.0,0.0
uniform_step_balanced,360,30,1.0183406536078946e-05,6.563048617211973e-06,9.473036923087547e-06,1.458519221619214e-06,4.288956366975338e-05,4.1144911077934126e-06,1.4836497819719978e-05,0.22432188467109498,0.0,0.0,0.0
uniform_step_balanced,720,30,5.77401979904011e-06,4.76885360892798e-06,3.6223979165285836e-06,1.0979798613923472e-06,1.3780892301375856e-05,2.9811925444793774e-06,7.605287998855344e-06,0.22491999354158856,0.0,0.0,0.0
uniform_step_balanced,1200,30,3.2041636636580503e-06,2.8134617637978815e-06,2.131497542688901e-06,8.112249057608255e-07,9.519297172429744e-06,1.7349602254319025e-06,3.753281714000479e-06,0.22485404774364912,0.0,0.0,0.0
uniform_step_balanced,1798,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22470484448919706,0.0,0.0,0.0
