policy,source_run,budget,n_reveal_seeds,mean_squared_w2_error,median_squared_w2_error,p25_squared_w2_error,p75_squared_w2_error
epsilon_greedy_eps0.2,v8_all_policies_dev,45,5,2.410371306976694e-05,2.2180449189404847e-05,2.1658429415401415e-05,3.548953111199337e-05
epsilon_greedy_eps0.2,v8_all_policies_dev,90,5,7.301927402924821e-05,5.8744952994601214e-05,4.5756009270467315e-05,8.544973475146456e-05
epsilon_greedy_eps0.2,v8_all_policies_dev,180,5,5.3401893434809424e-05,4.250724147859303e-05,3.26054513261304e-05,4.710184119789861e-05
epsilon_greedy_eps0.2,v8_all_policies_dev,360,5,3.765348385015128e-05,3.309609526761832e-05,2.878825686089766e-05,3.4809340613740505e-05
epsilon_greedy_eps0.2,v8_all_policies_dev,720,5,2.1176632354802048e-05,1.966665487777491e-05,1.7577904122892376e-05,2.275830192163373e-05
epsilon_greedy_eps0.2,v8_all_policies_dev,1200,5,1.0742527562970158e-05,9.32194990070343e-06,3.658785430476483e-06,1.5987169987956153e-05
exploration_bonus_c0.5,v8_all_policies_dev,45,5,2.410371306976694e-05,2.2180449189404847e-05,2.1658429415401415e-05,3.548953111199337e-05
exploration_bonus_c0.5,v8_all_policies_dev,90,5,6.912424805172183e-05,4.803015534717561e-05,3.5214036653871194e-05,9.682917188208584e-05
exploration_bonus_c0.5,v8_all_policies_dev,180,5,3.048020101683957e-05,2.4922158508271304e-05,1.2295795282599991e-05,3.509843948737234e-05
exploration_bonus_c0.5,v8_all_policies_dev,360,5,2.6177127387339884e-05,1.8126945055650597e-05,1.3120738830081225e-05,3.2589555678730917e-05
exploration_bonus_c0.5,v8_all_policies_dev,720,5,1.9054660222568925e-05,1.884567812731263e-05,1.3719022397938132e-05,1.9640412862381156e-05
exploration_bonus_c0.5,v8_all_policies_dev,1200,5,1.267454576795354e-05,8.687997488693879e-06,6.346852314553097e-06,1.296733688825071e-05
exploration_bonus_c1.0,exploration_bonus_sensitivity_dev,45,5,2.410371306976694e-05,2.2180449189404847e-05,2.1658429415401415e-05,3.548953111199337e-05
exploration_bonus_c1.0,exploration_bonus_sensitivity_dev,90,5,7.786503922114528e-05,4.803015534717561e-05,3.435620592737418e-05,0.0001386291361265
exploration_bonus_c1.0,exploration_bonus_sensitivity_dev,180,5,2.0794700848450453e-05,1.5621763732027176e-05,6.8016803046364616e-06,1.8684652173860075e-05
exploration_bonus_c1.0,exploration_bonus_sensitivity_dev,360,5,1.0940885767611233e-05,8.481772788721743e-06,8.037783476520095e-06,1.6057352606082203e-05
exploration_bonus_c1.0,exploration_bonus_sensitivity_dev,720,5,1.1409235493161687e-05,9.961277282278562e-06,9.861431894437598e-06,1.5698403634950924e-05
exploration_bonus_c1.0,exploration_bonus_sensitivity_dev,1200,5,1.978191950438816e-05,2.23820633836354e-05,1.880617374981087e-05,2.381195998659351e-05
greedy_loo_fragility,v8_all_policies_dev,45,5,2.410371306976694e-05,2.2180449189404847e-05,2.1658429415401415e-05,3.548953111199337e-05
greedy_loo_fragility,v8_all_policies_dev,90,5,5.9152688412824784e-05,4.803015534717561e-05,3.354679547034311e-05,4.863861487112862e-05
greedy_loo_fragility,v8_all_policies_dev,180,5,2.7495211939025656e-05,1.7616887378578176e-05,1.2295795282599991e-05,3.09310263398032e-05
greedy_loo_fragility,v8_all_policies_dev,360,5,1.4774599121826275e-05,1.0109673068981428e-05,9.814572255070527e-06,1.5695820524840087e-05
greedy_loo_fragility,v8_all_policies_dev,720,5,1.911216503934776e-05,1.5925712317869387e-05,1.495580135835634e-05,1.7788800526691614e-05
greedy_loo_fragility,v8_all_policies_dev,1200,5,1.0662950830934872e-05,9.099521835839751e-06,7.78618842845556e-06,1.242959675272964e-05
uniform_step_balanced,v8_all_policies_dev,45,5,2.410371306976694e-05,2.2180449189404847e-05,2.1658429415401415e-05,3.548953111199337e-05
uniform_step_balanced,v8_all_policies_dev,90,5,4.297083165122569e-05,2.7754478390902175e-05,2.6870234822617943e-05,3.883174316966225e-05
uniform_step_balanced,v8_all_policies_dev,180,5,5.093311763180406e-05,4.681174166832227e-05,2.231957605257126e-05,5.075681253299972e-05
uniform_step_balanced,v8_all_policies_dev,360,5,3.420301536853822e-05,3.242574143066442e-05,2.880435690313891e-05,4.882728671057982e-05
uniform_step_balanced,v8_all_policies_dev,720,5,1.6237742249299757e-05,1.4202786723137811e-05,1.25314501384695e-05,2.222049579901467e-05
uniform_step_balanced,v8_all_policies_dev,1200,5,1.2725183227185746e-05,1.369983527823189e-05,7.927186971149865e-06,1.4504708647337985e-05
