policy_name,budget,n_seeds,mean_error,median_error,error_p25,error_p75,policy_wins_vs_uniform,win_rate_vs_uniform,mean_relative_error_vs_uniform,median_relative_error_vs_uniform,relative_error_p25_vs_uniform,relative_error_p75_vs_uniform,policy_label,policy_order
uniform_step_balanced,45,30,4.994846867156099e-05,4.6291629793680336e-05,2.4054123116245277e-05,7.234026798339375e-05,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,90,30,2.3861454708138818e-05,1.6726514903376578e-05,9.052823807907598e-06,3.168728346182798e-05,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,135,30,1.7799326744631098e-05,1.0140564260841664e-05,7.070404571313647e-06,2.5942560396458598e-05,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,180,30,1.5543114033869736e-05,1.1156486555060716e-05,6.265661438973639e-06,1.8068573330288617e-05,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,225,30,1.3043524404345208e-05,1.0521752434015796e-05,6.38751419907671e-06,1.76725285227474e-05,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,270,30,9.694180689564418e-06,6.051881256957719e-06,3.207974841147523e-06,1.2789943023170229e-05,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,315,30,9.705358089814488e-06,6.9918287406079835e-06,5.048572688945635e-06,1.0745618538702516e-05,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,360,30,1.0183406536078946e-05,6.563048617211973e-06,4.1144911077934126e-06,1.4836497819719978e-05,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,405,30,7.905022695624749e-06,6.514843565198316e-06,4.697552561642377e-06,8.741540649864931e-06,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,450,30,7.705674445615184e-06,5.546405666623107e-06,3.5658959560066727e-06,1.1167325710295222e-05,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,495,30,6.749540707675159e-06,5.416237143878023e-06,3.414324875286533e-06,8.229066666742651e-06,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,540,30,5.953839006008667e-06,4.761647605278745e-06,2.4679382578453337e-06,7.371926763497313e-06,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,585,30,5.410933378562668e-06,4.702902359152505e-06,3.1021503875388276e-06,6.274830109292829e-06,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,630,30,5.415757394907618e-06,5.245161344012767e-06,3.6470583318668077e-06,6.907038386927848e-06,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,675,30,5.474180839078151e-06,4.572486104287131e-06,2.797061355242447e-06,6.614195105339668e-06,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,720,30,5.774019799040111e-06,4.76885360892798e-06,2.9811925444793774e-06,7.605287998855344e-06,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,765,30,5.229641224920785e-06,4.89961905909699e-06,2.320537351062047e-06,6.416998243831032e-06,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,810,30,4.220508888791569e-06,4.538614871459051e-06,1.9268591962600043e-06,5.825409708615945e-06,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,855,30,4.6885062747510605e-06,3.945517380963748e-06,3.0975364494886634e-06,5.101228202400874e-06,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,900,30,5.681052470691523e-06,4.334976636496048e-06,3.462692086902014e-06,6.760393551675717e-06,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,945,30,3.400356820105529e-06,2.5786794366785453e-06,1.9116411877755536e-06,4.755950001326528e-06,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,990,30,3.849308968507762e-06,3.3153064862658526e-06,2.2138260826953694e-06,4.929366554603129e-06,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,1035,30,4.932243356682165e-06,3.972668188383986e-06,2.4792443770965485e-06,5.554276563277153e-06,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,1080,30,3.5108657618342935e-06,2.50126357972822e-06,1.6364569436204539e-06,3.755814372857774e-06,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,1125,30,3.65727510189404e-06,3.2127975539717805e-06,1.6792499688756554e-06,4.346260669416083e-06,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,1170,30,3.716826988856605e-06,2.8907974234062683e-06,2.031704795935788e-06,4.243424398220715e-06,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,1215,30,4.2827561023439344e-06,3.171795440613596e-06,1.9395076965865104e-06,5.34956591823937e-06,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,1260,30,3.305024987055553e-06,3.051652539916149e-06,2.0894706396038515e-06,4.2659597006930375e-06,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,1305,30,3.023967855266255e-06,2.590224322510976e-06,1.957058075966897e-06,3.278371290473509e-06,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,1350,30,3.2473435484886413e-06,3.0365069906773106e-06,1.4675481269745049e-06,4.092993572514747e-06,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,1395,30,4.935885584934501e-06,3.4990674453055934e-06,2.090889926934825e-06,5.664727828372226e-06,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,1440,30,4.181346217342017e-06,2.5206187998216586e-06,1.5288277754665122e-06,4.558931245243461e-06,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,1485,30,2.8813599434564035e-06,2.4663882729570918e-06,1.8107891179041538e-06,3.02835079899419e-06,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,1530,30,3.812032816893933e-06,3.046583550305881e-06,1.7832385462874806e-06,5.723225391174838e-06,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,1575,30,2.853250267129273e-06,2.309784276222932e-06,1.3461803494118593e-06,3.492908130424226e-06,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,1620,30,3.2310770472746523e-06,2.5774440190758795e-06,1.8961056338436185e-06,3.769803597696535e-06,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,1665,30,3.1569152888951755e-06,2.679297312276259e-06,1.7667429053286944e-06,4.521778341712931e-06,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,1710,30,2.9151725778074697e-06,2.32415876601451e-06,1.7566666476625812e-06,3.3658519077917674e-06,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,1755,30,2.705197523637127e-06,2.358524354435864e-06,1.6879233874388878e-06,2.978923515015744e-06,,,1.0,1.0,1.0,1.0,Uniform,0
uniform_step_balanced,1798,30,0.0,0.0,0.0,0.0,,,,,,,Uniform,0
stochastic_epsilon_greedy_eps0.2,45,30,4.994846867156099e-05,4.6291629793680336e-05,2.4054123116245277e-05,7.234026798339375e-05,0.0,0.0,1.0,1.0,1.0,1.0,Stoch eps-greedy 0.2,1
stochastic_epsilon_greedy_eps0.2,90,30,3.227974599984014e-05,2.891222082630132e-05,1.5408507372831464e-05,4.5551250968287234e-05,4.0,0.13333333333333333,1.850571110078236,1.2690796054635074,1.081447842812497,2.051667821311788,Stoch eps-greedy 0.2,1
stochastic_epsilon_greedy_eps0.2,135,30,1.8660391484282408e-05,1.3713150192257639e-05,7.788606519530631e-06,2.2950890631043222e-05,16.0,0.5333333333333333,1.5032938340684079,0.9176773656471745,0.7207484021595729,1.5835486570465607,Stoch eps-greedy 0.2,1
stochastic_epsilon_greedy_eps0.2,180,30,1.7285612098033146e-05,9.598881268906691e-06,5.9298679884308205e-06,2.071596058394084e-05,15.0,0.5,1.5300061012722364,0.9362873348048982,0.6395747113833574,1.5556239592196837,Stoch eps-greedy 0.2,1
