policy,source_run,budget,n_reveal_seeds,mean_l1_imbalance,median_l1_imbalance,mean_max_min_ratio,mean_minimum_step_count,mean_maximum_step_count,mean_steps_still_at_initial_seed_count
epsilon_greedy_eps0.2,locked_v8_hidden_reveal,45,10,0.0,0.0,1.0,5.0,5.0,9.0
epsilon_greedy_eps0.2,locked_v8_hidden_reveal,90,10,60.6,59.0,7.013333333333334,5.8,40.3,0.5
epsilon_greedy_eps0.2,locked_v8_hidden_reveal,180,10,162.6,161.0,9.833928571428572,7.8,76.4,0.0
epsilon_greedy_eps0.2,locked_v8_hidden_reveal,360,10,307.8,316.0,10.314963369963369,13.5,137.6,0.0
epsilon_greedy_eps0.2,locked_v8_hidden_reveal,720,10,426.4,414.0,6.5300218938149985,29.2,188.7,0.0
epsilon_greedy_eps0.2,locked_v8_hidden_reveal,1200,10,459.8,463.0,3.1453505996329985,65.0,200.0,0.0
epsilon_greedy_eps0.2,locked_v8_hidden_reveal,1798,10,0.0,0.0,1.0050251256281406,199.0,200.0,0.0
exploration_bonus_c0.25,locked_v8_hidden_reveal,45,10,0.0,0.0,1.0,5.0,5.0,9.0
exploration_bonus_c0.25,locked_v8_hidden_reveal,90,10,80.0,80.0,10.0,5.0,50.0,8.0
exploration_bonus_c0.25,locked_v8_hidden_reveal,180,10,197.8,202.0,19.0,5.0,95.0,6.3
exploration_bonus_c0.25,locked_v8_hidden_reveal,360,10,370.2,380.0,26.02,5.0,130.1,4.0
exploration_bonus_c0.25,locked_v8_hidden_reveal,720,10,545.8,570.0,35.062222222222225,5.9,193.3,1.3
exploration_bonus_c0.25,locked_v8_hidden_reveal,1200,10,627.2,657.0,28.999999999999993,7.6,200.0,0.3
exploration_bonus_c0.25,locked_v8_hidden_reveal,1798,10,0.0,0.0,1.0050251256281406,199.0,200.0,0.0
exploration_bonus_c0.5,locked_v8_hidden_reveal,45,10,0.0,0.0,1.0,5.0,5.0,9.0
exploration_bonus_c0.5,locked_v8_hidden_reveal,90,10,80.0,80.0,10.0,5.0,50.0,8.0
exploration_bonus_c0.5,locked_v8_hidden_reveal,180,10,188.6,187.0,19.0,5.0,95.0,5.4
exploration_bonus_c0.5,locked_v8_hidden_reveal,360,10,300.2,290.0,21.597142857142856,5.2,110.7,1.9
exploration_bonus_c0.5,locked_v8_hidden_reveal,720,10,475.2,467.0,28.781481481481478,9.0,189.7,0.4
exploration_bonus_c0.5,locked_v8_hidden_reveal,1200,10,569.6,564.0,23.306500315574727,14.4,200.0,0.3
exploration_bonus_c0.5,locked_v8_hidden_reveal,1798,10,0.0,0.0,1.0050251256281406,199.0,200.0,0.0
exploration_bonus_c1.0,locked_v8_hidden_reveal,45,10,0.0,0.0,1.0,5.0,5.0,9.0
exploration_bonus_c1.0,locked_v8_hidden_reveal,90,10,80.0,80.0,10.0,5.0,50.0,8.0
exploration_bonus_c1.0,locked_v8_hidden_reveal,180,10,173.6,171.0,19.0,5.0,95.0,3.9
exploration_bonus_c1.0,locked_v8_hidden_reveal,360,10,251.2,271.0,16.56589285714286,6.9,101.0,0.8
exploration_bonus_c1.0,locked_v8_hidden_reveal,720,10,457.0,447.0,18.402645502645505,14.1,195.9,0.1
exploration_bonus_c1.0,locked_v8_hidden_reveal,1200,10,516.0,523.0,9.81959182341807,30.2,200.0,0.0
exploration_bonus_c1.0,locked_v8_hidden_reveal,1798,10,0.0,0.0,1.0050251256281406,199.0,200.0,0.0
greedy_loo_fragility,locked_v8_hidden_reveal,45,10,0.0,0.0,1.0,5.0,5.0,9.0
greedy_loo_fragility,locked_v8_hidden_reveal,90,10,80.0,80.0,10.0,5.0,50.0,8.0
greedy_loo_fragility,locked_v8_hidden_reveal,180,10,210.0,210.0,19.0,5.0,95.0,7.0
greedy_loo_fragility,locked_v8_hidden_reveal,360,10,371.0,350.0,23.5,5.0,117.5,5.3
greedy_loo_fragility,locked_v8_hidden_reveal,720,10,492.0,450.0,39.08,5.0,195.4,3.1
greedy_loo_fragility,locked_v8_hidden_reveal,1200,10,595.4,595.0,37.0,6.5,200.0,1.6
greedy_loo_fragility,locked_v8_hidden_reveal,1798,10,0.0,0.0,1.0050251256281406,199.0,200.0,0.0
uniform_step_balanced,locked_v8_hidden_reveal,45,10,0.0,0.0,1.0,5.0,5.0,9.0
uniform_step_balanced,locked_v8_hidden_reveal,90,10,0.0,0.0,1.0,10.0,10.0,0.0
uniform_step_balanced,locked_v8_hidden_reveal,180,10,0.0,0.0,1.0,20.0,20.0,0.0
uniform_step_balanced,locked_v8_hidden_reveal,360,10,0.0,0.0,1.0,40.0,40.0,0.0
uniform_step_balanced,locked_v8_hidden_reveal,720,10,0.0,0.0,1.0,80.0,80.0,0.0
uniform_step_balanced,locked_v8_hidden_reveal,1200,10,0.0,0.0,1.0075187969924815,133.0,134.0,0.0
uniform_step_balanced,locked_v8_hidden_reveal,1798,10,0.0,0.0,1.0050251256281406,199.0,200.0,0.0
