reveal_seed,step_name,initial_count,initial_models,post_seed_hidden_count,first_cycle_models,first_cycle_unique_model_count,first_cycle_has_all_expected_models,hidden_model_count_min,hidden_model_count_max
101,T1595 - Reconnaissance: Active Scanning,5,claude-haiku-4-5-20251001;claude-opus-4-7;claude-sonnet-4-6;gemini-3-flash-preview;gpt-5-mini,195,claude-sonnet-4-6;claude-opus-4-7;claude-haiku-4-5-20251001;gemini-3-flash-preview;gpt-5-mini,5,True,39,39
101,T1590 - Reconnaissance: Gather Victim Network Information,5,claude-haiku-4-5-20251001;claude-opus-4-7;claude-sonnet-4-6;gemini-3-flash-preview;gpt-5-mini,194,claude-opus-4-7;claude-haiku-4-5-20251001;gpt-5-mini;claude-sonnet-4-6;gemini-3-flash-preview,5,True,38,39
101,T1583.005 - Resource Development: Acquire Botnet,5,claude-haiku-4-5-20251001;claude-opus-4-7;claude-sonnet-4-6;gemini-3-flash-preview;gpt-5-mini,195,gpt-5-mini;claude-sonnet-4-6;gemini-3-flash-preview;claude-haiku-4-5-20251001;claude-opus-4-7,5,True,39,39
101,T1584.005 - Resource Development: Build/Compromise Botnet,5,claude-haiku-4-5-20251001;claude-opus-4-7;claude-sonnet-4-6;gemini-3-flash-preview;gpt-5-mini,194,claude-opus-4-7;gpt-5-mini;claude-haiku-4-5-20251001;claude-sonnet-4-6;gemini-3-flash-preview,5,True,38,39
101,T1036 - Defense Evasion: Masquerading,5,claude-haiku-4-5-20251001;claude-opus-4-7;claude-sonnet-4-6;gemini-3-flash-preview;gpt-5-mini,195,gpt-5-mini;claude-opus-4-7;claude-sonnet-4-6;claude-haiku-4-5-20251001;gemini-3-flash-preview,5,True,39,39
101,T1571 - Defense Evasion: Non-Standard Port,5,claude-haiku-4-5-20251001;claude-opus-4-7;claude-sonnet-4-6;gemini-3-flash-preview;gpt-5-mini,195,claude-sonnet-4-6;claude-haiku-4-5-20251001;gemini-3-flash-preview;gpt-5-mini;claude-opus-4-7,5,True,39,39
101,TA0011 - Command-and-Control,5,claude-haiku-4-5-20251001;claude-opus-4-7;claude-sonnet-4-6;gemini-3-flash-preview;gpt-5-mini,195,gemini-3-flash-preview;claude-sonnet-4-6;gpt-5-mini;claude-opus-4-7;claude-haiku-4-5-20251001,5,True,39,39
101,T1498.001 - Impact: Direct Network Flood,5,claude-haiku-4-5-20251001;claude-opus-4-7;claude-sonnet-4-6;gemini-3-flash-preview;gpt-5-mini,195,gemini-3-flash-preview;claude-haiku-4-5-20251001;claude-sonnet-4-6;gpt-5-mini;claude-opus-4-7,5,True,39,39
101,T1498.002 - Impact: Reflection/Amplification Attack,5,claude-haiku-4-5-20251001;claude-opus-4-7;claude-sonnet-4-6;gemini-3-flash-preview;gpt-5-mini,195,gpt-5-mini;claude-haiku-4-5-20251001;claude-opus-4-7;gemini-3-flash-preview;claude-sonnet-4-6,5,True,39,39
202,T1595 - Reconnaissance: Active Scanning,5,claude-haiku-4-5-20251001;claude-opus-4-7;claude-sonnet-4-6;gemini-3-flash-preview;gpt-5-mini,195,claude-haiku-4-5-20251001;claude-opus-4-7;claude-sonnet-4-6;gemini-3-flash-preview;gpt-5-mini,5,True,39,39
202,T1590 - Reconnaissance: Gather Victim Network Information,5,claude-haiku-4-5-20251001;claude-opus-4-7;claude-sonnet-4-6;gemini-3-flash-preview;gpt-5-mini,194,gpt-5-mini;gemini-3-flash-preview;claude-haiku-4-5-20251001;claude-opus-4-7;claude-sonnet-4-6,5,True,38,39
202,T1583.005 - Resource Development: Acquire Botnet,5,claude-haiku-4-5-20251001;claude-opus-4-7;claude-sonnet-4-6;gemini-3-flash-preview;gpt-5-mini,195,claude-sonnet-4-6;gpt-5-mini;gemini-3-flash-preview;claude-haiku-4-5-20251001;claude-opus-4-7,5,True,39,39
202,T1584.005 - Resource Development: Build/Compromise Botnet,5,claude-haiku-4-5-20251001;claude-opus-4-7;claude-sonnet-4-6;gemini-3-flash-preview;gpt-5-mini,194,claude-opus-4-7;claude-haiku-4-5-20251001;gemini-3-flash-preview;gpt-5-mini;claude-sonnet-4-6,5,True,38,39
202,T1036 - Defense Evasion: Masquerading,5,claude-haiku-4-5-20251001;claude-opus-4-7;claude-sonnet-4-6;gemini-3-flash-preview;gpt-5-mini,195,gpt-5-mini;gemini-3-flash-preview;claude-sonnet-4-6;claude-haiku-4-5-20251001;claude-opus-4-7,5,True,39,39
202,T1571 - Defense Evasion: Non-Standard Port,5,claude-haiku-4-5-20251001;claude-opus-4-7;claude-sonnet-4-6;gemini-3-flash-preview;gpt-5-mini,195,claude-haiku-4-5-20251001;claude-opus-4-7;gemini-3-flash-preview;gpt-5-mini;claude-sonnet-4-6,5,True,39,39
