reveal_seed,budget,max_loo_terms_per_step,step_name,exact_loo_fragility,approx_loo_fragility,absolute_error,relative_absolute_error,exact_rank,approx_rank,n_revealed,exact_n_loo_terms_used,approx_n_loo_terms_used,exact_n_loo_terms_available,approx_n_loo_terms_available,approx_loo_subsampled
101,45,10,T1036 - Defense Evasion: Masquerading,7.100825118626385e-05,7.100825118626385e-05,0.0,0.0,3.0,3.0,5,5,5,5,5,False
101,45,10,T1498.001 - Impact: Direct Network Flood,6.417196344683167e-05,6.417196344683167e-05,0.0,0.0,6.0,6.0,5,5,5,5,5,False
101,45,10,T1498.002 - Impact: Reflection/Amplification Attack,4.637213434982494e-05,4.637213434982494e-05,0.0,0.0,9.0,9.0,5,5,5,5,5,False
101,45,10,T1571 - Defense Evasion: Non-Standard Port,0.0001489057652205421,0.0001489057652205421,0.0,0.0,1.0,1.0,5,5,5,5,5,False
101,45,10,T1583.005 - Resource Development: Acquire Botnet,6.997228069606592e-05,6.997228069606592e-05,0.0,0.0,4.0,4.0,5,5,5,5,5,False
101,45,10,T1584.005 - Resource Development: Build/Compromise Botnet,0.00010253034620182338,0.00010253034620182338,0.0,0.0,2.0,2.0,5,5,5,5,5,False
101,45,10,T1590 - Reconnaissance: Gather Victim Network Information,6.178177945506548e-05,6.178177945506548e-05,0.0,0.0,7.0,7.0,5,5,5,5,5,False
101,45,10,T1595 - Reconnaissance: Active Scanning,6.009540510590277e-05,6.009540510590277e-05,0.0,0.0,8.0,8.0,5,5,5,5,5,False
101,45,10,TA0011 - Command-and-Control,6.465909658864761e-05,6.465909658864761e-05,0.0,0.0,5.0,5.0,5,5,5,5,5,False
101,45,20,T1036 - Defense Evasion: Masquerading,7.100825118626385e-05,7.100825118626385e-05,0.0,0.0,3.0,3.0,5,5,5,5,5,False
101,45,20,T1498.001 - Impact: Direct Network Flood,6.417196344683167e-05,6.417196344683167e-05,0.0,0.0,6.0,6.0,5,5,5,5,5,False
101,45,20,T1498.002 - Impact: Reflection/Amplification Attack,4.637213434982494e-05,4.637213434982494e-05,0.0,0.0,9.0,9.0,5,5,5,5,5,False
101,45,20,T1571 - Defense Evasion: Non-Standard Port,0.0001489057652205421,0.0001489057652205421,0.0,0.0,1.0,1.0,5,5,5,5,5,False
101,45,20,T1583.005 - Resource Development: Acquire Botnet,6.997228069606592e-05,6.997228069606592e-05,0.0,0.0,4.0,4.0,5,5,5,5,5,False
101,45,20,T1584.005 - Resource Development: Build/Compromise Botnet,0.00010253034620182338,0.00010253034620182338,0.0,0.0,2.0,2.0,5,5,5,5,5,False
101,45,20,T1590 - Reconnaissance: Gather Victim Network Information,6.178177945506548e-05,6.178177945506548e-05,0.0,0.0,7.0,7.0,5,5,5,5,5,False
101,45,20,T1595 - Reconnaissance: Active Scanning,6.009540510590277e-05,6.009540510590277e-05,0.0,0.0,8.0,8.0,5,5,5,5,5,False
101,45,20,TA0011 - Command-and-Control,6.465909658864761e-05,6.465909658864761e-05,0.0,0.0,5.0,5.0,5,5,5,5,5,False
101,180,10,T1036 - Defense Evasion: Masquerading,6.917263921328934e-05,7.393684712484914e-05,4.764207911559805e-06,0.06887416609904842,2.0,3.0,20,20,10,20,20,True
101,180,10,T1498.001 - Impact: Direct Network Flood,7.926252800912861e-05,8.730393483404393e-05,8.041406824915322e-06,0.10145281667695967,1.0,1.0,20,20,10,20,20,True
101,180,10,T1498.002 - Impact: Reflection/Amplification Attack,6.85865200892854e-05,8.020838253835957e-05,1.1621862449074169e-05,0.1694481986328614,4.0,2.0,20,20,10,20,20,True
101,180,10,T1571 - Defense Evasion: Non-Standard Port,6.451901163979271e-05,6.535703075742072e-05,8.380191176280072e-07,0.01298871578067441,6.0,7.0,20,20,10,20,20,True
101,180,10,T1583.005 - Resource Development: Acquire Botnet,6.404700386547559e-05,5.815431757234601e-05,5.892686293129575e-06,0.09200564968661036,7.0,8.0,20,20,10,20,20,True
101,180,10,T1584.005 - Resource Development: Build/Compromise Botnet,6.913443425881691e-05,6.788422233082246e-05,1.2502119279944574e-06,0.018083780149704982,3.0,5.0,20,20,10,20,20,True
101,180,10,T1590 - Reconnaissance: Gather Victim Network Information,6.0781088443613096e-05,5.16986422491393e-05,9.082446194473796e-06,0.14942881540317937,8.0,9.0,20,20,10,20,20,True
101,180,10,T1595 - Reconnaissance: Active Scanning,6.06335333323098e-05,7.250477736193717e-05,1.1871244029627372e-05,0.19578677311742226,9.0,4.0,20,20,10,20,20,True
101,180,10,TA0011 - Command-and-Control,6.531093335998818e-05,6.655121954099817e-05,1.2402861810099827e-06,0.01899048288260023,5.0,6.0,20,20,10,20,20,True
101,180,20,T1036 - Defense Evasion: Masquerading,6.917263921328934e-05,6.917263921328934e-05,0.0,0.0,2.0,2.0,20,20,20,20,20,False
101,180,20,T1498.001 - Impact: Direct Network Flood,7.926252800912861e-05,7.926252800912861e-05,0.0,0.0,1.0,1.0,20,20,20,20,20,False
101,180,20,T1498.002 - Impact: Reflection/Amplification Attack,6.85865200892854e-05,6.85865200892854e-05,0.0,0.0,4.0,4.0,20,20,20,20,20,False
101,180,20,T1571 - Defense Evasion: Non-Standard Port,6.451901163979271e-05,6.451901163979271e-05,0.0,0.0,6.0,6.0,20,20,20,20,20,False
101,180,20,T1583.005 - Resource Development: Acquire Botnet,6.404700386547559e-05,6.404700386547559e-05,0.0,0.0,7.0,7.0,20,20,20,20,20,False
