policy_name,baseline_policy,reveal_seed,n_budgets,policy_wins,policy_win_fraction,policy_auc,baseline_auc,policy_minus_baseline_auc
epsilon_greedy_eps0.2,uniform_step_balanced,101,40,11,0.275,0.01277810319680358,0.0072585246865587635,0.005519578510244816
epsilon_greedy_eps0.2,uniform_step_balanced,202,40,11,0.275,0.01809131826953607,0.009725198389519404,0.008366119880016665
epsilon_greedy_eps0.2,uniform_step_balanced,303,40,17,0.425,0.01528994677156457,0.009167683679002113,0.006122263092562457
epsilon_greedy_eps0.2,uniform_step_balanced,404,40,13,0.325,0.012805258128665833,0.008905758217899767,0.0038994999107660657
epsilon_greedy_eps0.2,uniform_step_balanced,505,40,9,0.225,0.036874043758064974,0.01986043025305692,0.017013613505008053
epsilon_greedy_eps0.2,uniform_step_balanced,606,40,14,0.35,0.021804191110735074,0.00975122162312338,0.012052969487611694
epsilon_greedy_eps0.2,uniform_step_balanced,707,40,16,0.4,0.017361989382880805,0.011934479562188054,0.00542750982069275
epsilon_greedy_eps0.2,uniform_step_balanced,808,40,8,0.2,0.027763703080134927,0.008822605734030368,0.01894109734610456
epsilon_greedy_eps0.2,uniform_step_balanced,909,40,20,0.5,0.014407959053341425,0.01317380157585426,0.001234157477487164
epsilon_greedy_eps0.2,uniform_step_balanced,1010,40,15,0.375,0.015314738489105018,0.008861721009250959,0.006453017479854059
epsilon_greedy_eps0.2,uniform_step_balanced,1111,40,22,0.55,0.012769477889160994,0.008153327534253412,0.004616150354907582
epsilon_greedy_eps0.2,uniform_step_balanced,1212,40,15,0.375,0.016264314773133417,0.012170175408716932,0.004094139364416485
epsilon_greedy_eps0.2,uniform_step_balanced,1313,40,14,0.35,0.028799674742303376,0.02203571344991379,0.006763961292389587
epsilon_greedy_eps0.2,uniform_step_balanced,1414,40,20,0.5,0.024431146294913393,0.01767052757319083,0.006760618721722563
epsilon_greedy_eps0.2,uniform_step_balanced,1515,40,15,0.375,0.01370765596825146,0.010691821308532284,0.003015834659719177
epsilon_greedy_eps0.2,uniform_step_balanced,1616,40,22,0.55,0.009578130048645472,0.010540329070659347,-0.0009621990220138755
epsilon_greedy_eps0.2,uniform_step_balanced,1717,40,14,0.35,0.010731608452569007,0.00691201190455868,0.003819596548010327
epsilon_greedy_eps0.2,uniform_step_balanced,1818,40,13,0.325,0.013991775822076372,0.010894898835503635,0.003096876986572737
epsilon_greedy_eps0.2,uniform_step_balanced,1919,40,11,0.275,0.02710588703366125,0.013937003274894614,0.013168883758766636
epsilon_greedy_eps0.2,uniform_step_balanced,2020,40,16,0.4,0.012611475721773876,0.00804688140667155,0.004564594315102326
epsilon_greedy_eps0.2,uniform_step_balanced,2121,40,12,0.3,0.022591954761207598,0.01560085882924854,0.006991095931959058
epsilon_greedy_eps0.2,uniform_step_balanced,2222,40,9,0.225,0.015502541027597742,0.006607220202321865,0.008895320825275877
epsilon_greedy_eps0.2,uniform_step_balanced,2323,40,15,0.375,0.013279371142067993,0.00989988464243342,0.0033794864996345726
epsilon_greedy_eps0.2,uniform_step_balanced,2424,40,7,0.175,0.03314841326789598,0.018722927713536796,0.014425485554359182
epsilon_greedy_eps0.2,uniform_step_balanced,2525,40,17,0.425,0.008545945271460145,0.00701650290330034,0.0015294423681598054
epsilon_greedy_eps0.2,uniform_step_balanced,2626,40,5,0.125,0.024632167433018697,0.008736596031496619,0.015895571401522077
epsilon_greedy_eps0.2,uniform_step_balanced,2727,40,15,0.375,0.018790045048634917,0.014102489738240045,0.0046875553103948725
epsilon_greedy_eps0.2,uniform_step_balanced,2828,40,12,0.3,0.018649833303596517,0.0115669965384981,0.007082836765098417
epsilon_greedy_eps0.2,uniform_step_balanced,2929,40,12,0.3,0.023239577314715352,0.018056342578459145,0.005183234736256207
epsilon_greedy_eps0.2,uniform_step_balanced,3030,40,15,0.375,0.030919206525248256,0.015620413024879149,0.015298793500369107
exploration_bonus_c0.25,uniform_step_balanced,101,40,8,0.2,0.015090683458522422,0.0072585246865587635,0.007832158771963658
exploration_bonus_c0.25,uniform_step_balanced,202,40,3,0.075,0.028134313788091857,0.009725198389519404,0.018409115398572453
exploration_bonus_c0.25,uniform_step_balanced,303,40,3,0.075,0.05425299751537838,0.009167683679002113,0.04508531383637627
exploration_bonus_c0.25,uniform_step_balanced,404,40,1,0.025,0.059865598176606236,0.008905758217899767,0.05095983995870647
exploration_bonus_c0.25,uniform_step_balanced,505,40,4,0.1,0.05409208609078204,0.01986043025305692,0.03423165583772512
exploration_bonus_c0.25,uniform_step_balanced,606,40,1,0.025,0.12115530899146688,0.00975122162312338,0.11140408736834351
exploration_bonus_c0.25,uniform_step_balanced,707,40,7,0.175,0.030292856774610438,0.011934479562188054,0.018358377212422384
exploration_bonus_c0.25,uniform_step_balanced,808,40,3,0.075,0.1357571182849113,0.008822605734030368,0.12693451255088092
exploration_bonus_c0.25,uniform_step_balanced,909,40,8,0.2,0.022850441784786273,0.01317380157585426,0.009676640208932013
exploration_bonus_c0.25,uniform_step_balanced,1010,40,8,0.2,0.02829285524475215,0.008861721009250959,0.01943113423550119
exploration_bonus_c0.25,uniform_step_balanced,1111,40,11,0.275,0.02461709890630008,0.008153327534253412,0.016463771372046666
exploration_bonus_c0.25,uniform_step_balanced,1212,40,2,0.05,0.06447225526232066,0.012170175408716932,0.052302079853603724
exploration_bonus_c0.25,uniform_step_balanced,1313,40,2,0.05,0.12677266459319791,0.02203571344991379,0.10473695114328413
exploration_bonus_c0.25,uniform_step_balanced,1414,40,4,0.1,0.0566114346906988,0.01767052757319083,0.03894090711750797
exploration_bonus_c0.25,uniform_step_balanced,1515,40,1,0.025,0.10250023813806695,0.010691821308532284,0.09180841682953467
exploration_bonus_c0.25,uniform_step_balanced,1616,40,3,0.075,0.036383487011656654,0.010540329070659347,0.025843157940997306
exploration_bonus_c0.25,uniform_step_balanced,1717,40,1,0.025,0.040184534962247484,0.00691201190455868,0.0332725230576888
exploration_bonus_c0.25,uniform_step_balanced,1818,40,2,0.05,0.043361113695599626,0.010894898835503635,0.03246621486009599
