policy_name,baseline_policy,reveal_seed,budget,baseline_distance,policy_distance,difference_policy_minus_baseline,relative_difference_policy_minus_baseline,policy_better
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,45,3.912812991994051e-06,3.912812991994051e-06,0.0,0.0,False
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,90,4.1108917086020235e-06,2.0304980911828194e-05,1.619408920322617e-05,3.939313013120756,False
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,135,3.3737847479340068e-06,1.5607651031001134e-05,1.2233866283067127e-05,3.626154955664773,False
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,180,6.333847635248736e-06,6.553392552058032e-06,2.19544916809296e-07,0.034662172103335456,False
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,225,2.1961787500461246e-05,3.857034628577734e-06,-1.810475287188351e-05,-0.8243751958488474,True
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,270,1.3226306204099286e-05,9.653080484550347e-06,-3.573225719548939e-06,-0.27016051680713954,True
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,315,1.0844251870592667e-05,8.247381596896747e-06,-2.5968702736959203e-06,-0.23946974901404558,True
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,360,4.6234701779544244e-06,1.0122057613828283e-05,5.498587435873859e-06,1.189277149897529,False
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,405,4.654623112250508e-06,7.284412353181663e-06,2.629789240931155e-06,0.5649843558783115,False
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,450,2.835141245199885e-06,6.049194600001957e-06,3.214053354802072e-06,1.1336484064925212,False
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,495,5.5552278045586236e-06,6.0762776710361604e-06,5.210498664775369e-07,0.0937945093898693,False
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,540,3.607865714325962e-06,3.842429661583295e-06,2.3456394725733245e-07,0.06501460027349015,False
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,585,3.890985822350268e-06,3.7996641719674357e-06,-9.132165038283205e-08,-0.02347005477590539,True
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,630,6.252692113174225e-07,4.697660970097026e-06,4.072391758779604e-06,6.513021407529731,False
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,675,2.2431057394028094e-06,4.664548108566183e-06,2.4214423691633733e-06,1.0795043348282114,False
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,720,1.4278469613406005e-06,6.268164033575617e-06,4.840317072235017e-06,3.3899410814240625,False
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,765,6.385076220444533e-06,4.676193785029727e-06,-1.7088824354148062e-06,-0.2676369672680012,True
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,810,5.977269157978772e-06,6.611513310915278e-06,6.342441529365057e-07,0.10610935130633752,False
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,855,4.072159218796996e-06,1.347419785604715e-06,-2.7247394331922813e-06,-0.6691141693612924,True
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,900,6.92161027830137e-06,9.822054181761393e-07,-5.939404860125231e-06,-0.858095821827001,True
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,945,1.4561431278554581e-06,5.5872459864451855e-06,4.131102858589727e-06,2.8370170346330097,False
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,990,3.2551311625175415e-06,4.190519539037816e-06,9.353883765202749e-07,0.2873581216299865,False
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,1035,1.2968235659817953e-06,4.206487431321612e-06,2.9096638653398165e-06,2.243685217994151,False
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,1080,1.6278855260884698e-06,1.6850757159856603e-06,5.719018989719058e-08,0.03513157957403112,False
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,1125,1.581191344995879e-06,1.915946451568239e-05,1.757827317068651e-05,11.117106874078118,False
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,1170,2.9284451148094185e-06,1.607923084086112e-06,-1.3205220307233064e-06,-0.4509294109851347,True
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,1215,7.39000206271517e-06,9.9536223028956e-07,-6.39463983242561e-06,-0.8653096140106011,True
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,1260,4.050158968332346e-06,9.935109630909431e-07,-3.0566480052414028e-06,-0.7546982795344397,True
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,1305,2.649501842126327e-06,5.145932676918327e-06,2.4964308347920006e-06,0.9422264952224072,False
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,1350,3.3984839417497366e-06,2.327184411826831e-06,-1.0712995299229056e-06,-0.31522865733222755,True
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,1395,1.2870957205549189e-06,4.371115222697735e-06,3.084019502142816e-06,2.3961073390976475,False
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,1440,2.9073745958980978e-06,1.0691944395184444e-06,-1.8381801563796533e-06,-0.6322474437841861,True
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,1485,4.314892905663371e-06,8.80269876503132e-07,-3.434623029160239e-06,-0.7959926478481627,True
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,1530,8.192195840082567e-07,5.988752201987817e-07,-2.20344363809475e-07,-0.2689686234444979,True
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,1575,2.033369543441008e-06,1.7718421013121347e-06,-2.615274421288735e-07,-0.1286177630487662,True
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,1620,1.1314307053954197e-06,1.1985879621352115e-06,6.715725673979172e-08,0.05935604930955199,False
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,1665,2.3384788485055576e-06,1.285308190103825e-06,-1.0531706584017327e-06,-0.4503656978017048,True
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,1710,1.6015974929071209e-06,5.1940113966485596e-06,3.5924139037414387e-06,2.2430191853139774,False
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,1755,6.201774301619421e-07,1.418577130039316e-06,7.983996998773739e-07,1.2873730339862481,False
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,1798,0.0,0.0,0.0,,False
softmax_normalized_fragility_temp0.25,uniform_step_balanced,202,45,2.361828347314425e-05,2.361828347314425e-05,0.0,0.0,False
softmax_normalized_fragility_temp0.25,uniform_step_balanced,202,90,2.4160102406734272e-05,4.612277007344989e-05,2.1962667666715617e-05,0.9090469608520304,False
softmax_normalized_fragility_temp0.25,uniform_step_balanced,202,135,3.8089420319534963e-06,4.05944584362734e-05,3.67855164043199e-05,9.657672943227668,False
softmax_normalized_fragility_temp0.25,uniform_step_balanced,202,180,1.0565559472077152e-05,3.507398688698497e-05,2.4508427414907818e-05,2.3196525919596707,False
softmax_normalized_fragility_temp0.25,uniform_step_balanced,202,225,1.761703956677355e-05,1.339653790904857e-05,-4.220501657724981e-06,-0.23956928981898964,True
softmax_normalized_fragility_temp0.25,uniform_step_balanced,202,270,1.1425134706278253e-05,2.0708952251549212e-05,9.283817545270959e-06,0.8125783882591237,False
softmax_normalized_fragility_temp0.25,uniform_step_balanced,202,315,7.866068576535035e-06,1.5897806775456033e-05,8.031738198920997e-06,1.0210612990179317,False
