policy_name,baseline_policy,reveal_seed,n_budgets,policy_wins,policy_win_fraction,policy_auc,baseline_auc,policy_minus_baseline_auc
softmax_normalized_fragility_temp0.25,uniform_step_balanced,101,40,16,0.4,0.008831548500394103,0.0072585246865587635,0.0015730238138353392
softmax_normalized_fragility_temp0.25,uniform_step_balanced,202,40,10,0.25,0.0162546644354115,0.009725198389519404,0.006529466045892097
softmax_normalized_fragility_temp0.25,uniform_step_balanced,303,40,18,0.45,0.01240914287708363,0.009167683679002113,0.003241459198081517
softmax_normalized_fragility_temp0.25,uniform_step_balanced,404,40,15,0.375,0.011705518531513566,0.008905758217899767,0.0027997603136137982
softmax_normalized_fragility_temp0.25,uniform_step_balanced,505,40,10,0.25,0.02738744486084732,0.01986043025305692,0.0075270146077904
softmax_normalized_fragility_temp0.25,uniform_step_balanced,606,40,15,0.375,0.023233322701817744,0.00975122162312338,0.013482101078694363
softmax_normalized_fragility_temp0.25,uniform_step_balanced,707,40,14,0.35,0.013875022094217256,0.011934479562188054,0.001940542532029202
softmax_normalized_fragility_temp0.25,uniform_step_balanced,808,40,11,0.275,0.020836026629122886,0.008822605734030368,0.012013420895092518
softmax_normalized_fragility_temp0.25,uniform_step_balanced,909,40,22,0.55,0.012152862089511838,0.01317380157585426,-0.0010209394863424232
softmax_normalized_fragility_temp0.25,uniform_step_balanced,1010,40,17,0.425,0.013832119060111567,0.008861721009250959,0.004970398050860608
softmax_normalized_fragility_temp0.25,uniform_step_balanced,1111,40,14,0.35,0.010199360231834447,0.008153327534253412,0.0020460326975810343
softmax_normalized_fragility_temp0.25,uniform_step_balanced,1212,40,19,0.475,0.013454805384476262,0.012170175408716932,0.00128462997575933
softmax_normalized_fragility_temp0.25,uniform_step_balanced,1313,40,12,0.3,0.0392901361314701,0.02203571344991379,0.017254422681556313
softmax_normalized_fragility_temp0.25,uniform_step_balanced,1414,40,16,0.4,0.0193307256316098,0.01767052757319083,0.0016601980584189692
softmax_normalized_fragility_temp0.25,uniform_step_balanced,1515,40,20,0.5,0.011557499222753086,0.010691821308532284,0.000865677914220802
softmax_normalized_fragility_temp0.25,uniform_step_balanced,1616,40,17,0.425,0.013042568485451505,0.010540329070659347,0.002502239414792157
softmax_normalized_fragility_temp0.25,uniform_step_balanced,1717,40,15,0.375,0.011274765550902906,0.00691201190455868,0.004362753646344226
softmax_normalized_fragility_temp0.25,uniform_step_balanced,1818,40,16,0.4,0.014784641615377023,0.010894898835503635,0.003889742779873388
softmax_normalized_fragility_temp0.25,uniform_step_balanced,1919,40,7,0.175,0.032264459517454186,0.013937003274894614,0.018327456242559572
softmax_normalized_fragility_temp0.25,uniform_step_balanced,2020,40,19,0.475,0.007935131731915651,0.00804688140667155,-0.00011174967475589825
softmax_normalized_fragility_temp0.25,uniform_step_balanced,2121,40,12,0.3,0.02242293633747664,0.01560085882924854,0.006822077508228101
softmax_normalized_fragility_temp0.25,uniform_step_balanced,2222,40,15,0.375,0.011797261468706,0.006607220202321865,0.005190041266384135
softmax_normalized_fragility_temp0.25,uniform_step_balanced,2323,40,14,0.35,0.0133597437223431,0.00989988464243342,0.0034598590799096805
softmax_normalized_fragility_temp0.25,uniform_step_balanced,2424,40,6,0.15,0.028522271635745146,0.018722927713536796,0.00979934392220835
softmax_normalized_fragility_temp0.25,uniform_step_balanced,2525,40,13,0.325,0.011464883090631383,0.00701650290330034,0.004448380187331043
softmax_normalized_fragility_temp0.25,uniform_step_balanced,2626,40,8,0.2,0.01960434814779595,0.008736596031496619,0.010867752116299331
softmax_normalized_fragility_temp0.25,uniform_step_balanced,2727,40,16,0.4,0.014832828140867551,0.014102489738240045,0.0007303384026275065
softmax_normalized_fragility_temp0.25,uniform_step_balanced,2828,40,19,0.475,0.011309700072945078,0.0115669965384981,-0.0002572964655530221
softmax_normalized_fragility_temp0.25,uniform_step_balanced,2929,40,17,0.425,0.01845896012016331,0.018056342578459145,0.0004026175417041651
softmax_normalized_fragility_temp0.25,uniform_step_balanced,3030,40,13,0.325,0.022077584587877976,0.015620413024879149,0.0064571715629988275
softmax_normalized_fragility_temp0.5,uniform_step_balanced,101,40,15,0.375,0.009200775120749771,0.0072585246865587635,0.0019422504341910073
softmax_normalized_fragility_temp0.5,uniform_step_balanced,202,40,19,0.475,0.011857463310421014,0.009725198389519404,0.00213226492090161
softmax_normalized_fragility_temp0.5,uniform_step_balanced,303,40,18,0.45,0.009629401375814075,0.009167683679002113,0.0004617176968119627
softmax_normalized_fragility_temp0.5,uniform_step_balanced,404,40,16,0.4,0.010637977046378548,0.008905758217899767,0.001732218828478781
softmax_normalized_fragility_temp0.5,uniform_step_balanced,505,40,15,0.375,0.02822472390863572,0.01986043025305692,0.008364293655578798
softmax_normalized_fragility_temp0.5,uniform_step_balanced,606,40,26,0.65,0.010405444239186705,0.00975122162312338,0.0006542226160633248
softmax_normalized_fragility_temp0.5,uniform_step_balanced,707,40,18,0.45,0.014222170327940608,0.011934479562188054,0.0022876907657525536
