policy_name,budget,n_runs,mean_step_count_l1_imbalance,median_step_count_l1_imbalance,max_step_count_l1_imbalance,mean_max_min_revealed_row_ratio,maximum_observed_revealed_row_count_any_step,minimum_observed_revealed_row_count_any_step,average_steps_above_initial_5,average_steps_still_at_initial_5
stochastic_epsilon_greedy_eps0.2,45,30,0.0,0.0,0.0,1.0,5,5,0.0,9.0
stochastic_epsilon_greedy_eps0.2,90,30,9.8,8.0,22.0,1.5393518518518519,16,7,9.0,0.0
stochastic_epsilon_greedy_eps0.2,135,30,13.066666666666666,12.0,26.0,1.448704073704074,24,11,9.0,0.0
stochastic_epsilon_greedy_eps0.2,180,30,12.133333333333333,10.0,30.0,1.2874871001031993,28,16,9.0,0.0
stochastic_epsilon_greedy_eps0.2,225,30,14.6,13.0,32.0,1.2656173536608322,34,21,9.0,0.0
stochastic_epsilon_greedy_eps0.2,270,30,16.4,15.0,44.0,1.2553407903292961,41,25,9.0,0.0
stochastic_epsilon_greedy_eps0.2,315,30,15.4,13.0,48.0,1.2089154298167173,48,29,9.0,0.0
stochastic_epsilon_greedy_eps0.2,360,30,14.8,14.0,42.0,1.1675006932901673,52,35,9.0,0.0
stochastic_epsilon_greedy_eps0.2,405,30,15.666666666666666,14.0,36.0,1.1595395900500836,54,40,9.0,0.0
stochastic_epsilon_greedy_eps0.2,450,30,16.4,15.0,42.0,1.1457951141519593,61,44,9.0,0.0
stochastic_epsilon_greedy_eps0.2,495,30,17.933333333333334,17.0,44.0,1.1433266160950213,66,50,9.0,0.0
stochastic_epsilon_greedy_eps0.2,540,30,17.066666666666666,14.0,50.0,1.1318877697306235,73,54,9.0,0.0
stochastic_epsilon_greedy_eps0.2,585,30,18.133333333333333,16.0,50.0,1.1249373074630877,75,60,9.0,0.0
stochastic_epsilon_greedy_eps0.2,630,30,17.933333333333334,16.0,48.0,1.11672024151831,79,65,9.0,0.0
stochastic_epsilon_greedy_eps0.2,675,30,18.866666666666667,18.0,54.0,1.1090264050485592,87,69,9.0,0.0
stochastic_epsilon_greedy_eps0.2,720,30,18.533333333333335,17.0,54.0,1.0994508185574141,91,75,9.0,0.0
stochastic_epsilon_greedy_eps0.2,765,30,17.6,16.0,46.0,1.0934113943081154,98,79,9.0,0.0
stochastic_epsilon_greedy_eps0.2,810,30,17.8,17.0,40.0,1.092326934251984,103,85,9.0,0.0
stochastic_epsilon_greedy_eps0.2,855,30,16.466666666666665,14.0,40.0,1.0816849799860073,108,89,9.0,0.0
stochastic_epsilon_greedy_eps0.2,900,30,17.2,14.0,48.0,1.0789655151345137,114,95,9.0,0.0
stochastic_epsilon_greedy_eps0.2,945,30,17.8,18.0,42.0,1.079108553668265,118,100,9.0,0.0
stochastic_epsilon_greedy_eps0.2,990,30,19.333333333333332,18.0,40.0,1.0796076831437487,126,105,9.0,0.0
stochastic_epsilon_greedy_eps0.2,1035,30,19.733333333333334,18.0,42.0,1.0825811566858923,132,109,9.0,0.0
stochastic_epsilon_greedy_eps0.2,1080,30,20.6,19.0,50.0,1.0825614649955193,138,115,9.0,0.0
stochastic_epsilon_greedy_eps0.2,1125,30,20.6,18.0,42.0,1.0818405943407763,146,120,9.0,0.0
stochastic_epsilon_greedy_eps0.2,1170,30,21.2,18.0,56.0,1.0781647887566739,149,124,9.0,0.0
stochastic_epsilon_greedy_eps0.2,1215,30,18.333333333333332,16.0,44.0,1.0645931938119653,152,130,9.0,0.0
stochastic_epsilon_greedy_eps0.2,1260,30,18.266666666666666,16.0,44.0,1.0648516099411,158,135,9.0,0.0
stochastic_epsilon_greedy_eps0.2,1305,30,19.2,16.0,42.0,1.0646556003819263,161,141,9.0,0.0
stochastic_epsilon_greedy_eps0.2,1350,30,19.066666666666666,18.0,44.0,1.064605206158837,167,145,9.0,0.0
stochastic_epsilon_greedy_eps0.2,1395,30,19.466666666666665,20.0,42.0,1.062526527364399,171,151,9.0,0.0
stochastic_epsilon_greedy_eps0.2,1440,30,17.666666666666668,16.0,34.0,1.0551675849157893,176,154,9.0,0.0
stochastic_epsilon_greedy_eps0.2,1485,30,17.666666666666668,16.0,38.0,1.0531944530356574,182,161,9.0,0.0
stochastic_epsilon_greedy_eps0.2,1530,30,17.466666666666665,15.0,38.0,1.0514322357434047,188,165,9.0,0.0
stochastic_epsilon_greedy_eps0.2,1575,30,17.6,14.0,48.0,1.0488029372597123,193,170,9.0,0.0
stochastic_epsilon_greedy_eps0.2,1620,30,16.866666666666667,14.0,38.0,1.0440719221431787,199,174,9.0,0.0
