policy_name,budget,n_seeds,policy_wins,policy_win_fraction,mean_policy_minus_baseline_distance,median_policy_minus_baseline_distance,mean_relative_difference_policy_minus_baseline
stochastic_epsilon_greedy_eps0.2,45,30,0,0.0,0.0,0.0,0.0
stochastic_epsilon_greedy_eps0.2,90,30,4,0.13333333333333333,8.418291291701324e-06,5.450411561583171e-06,0.8505711100782362
stochastic_epsilon_greedy_eps0.2,135,30,16,0.5333333333333333,8.610647396513107e-07,-1.205245018808269e-06,0.5032938340684079
stochastic_epsilon_greedy_eps0.2,180,30,15,0.5,1.7424980641634069e-06,-6.567469889003704e-07,0.5300061012722364
stochastic_epsilon_greedy_eps0.2,225,30,20,0.6666666666666666,4.7303777777367215e-07,-9.372320656040758e-07,0.045246089207997914
stochastic_epsilon_greedy_eps0.2,270,30,10,0.3333333333333333,2.3994716755244548e-06,1.6969043474407644e-06,0.44242113400385935
stochastic_epsilon_greedy_eps0.2,315,30,10,0.3333333333333333,2.4699141889156376e-06,7.022534289748916e-07,0.47455909896100856
stochastic_epsilon_greedy_eps0.2,360,30,15,0.5,-6.017891922420452e-08,9.215951129175703e-09,0.051398850875545264
stochastic_epsilon_greedy_eps0.2,405,30,17,0.5666666666666667,6.198031473241224e-07,-2.804030786985064e-07,0.4040058204103207
stochastic_epsilon_greedy_eps0.2,450,30,13,0.43333333333333335,4.553971702667726e-07,2.6647814280489393e-07,0.3053198770819025
stochastic_epsilon_greedy_eps0.2,495,30,18,0.6,2.0038777696391933e-08,-5.211957337822377e-07,0.536958044265542
stochastic_epsilon_greedy_eps0.2,540,30,14,0.4666666666666667,1.401311188362085e-07,3.647480906730507e-07,0.3711625448934871
stochastic_epsilon_greedy_eps0.2,585,30,13,0.43333333333333335,8.937913957032854e-07,2.537474805254688e-07,0.2837524341440648
stochastic_epsilon_greedy_eps0.2,630,30,10,0.3333333333333333,1.0075171224658041e-06,1.2435954991813545e-06,0.48243706354465776
stochastic_epsilon_greedy_eps0.2,675,30,14,0.4666666666666667,1.0483901256623367e-07,3.8101498910744506e-07,0.15131707381165777
stochastic_epsilon_greedy_eps0.2,720,30,15,0.5,-6.05020474056536e-07,1.3030971982030445e-07,0.08777374438637216
stochastic_epsilon_greedy_eps0.2,765,30,12,0.4,6.148803455932663e-07,9.89888222406962e-07,0.5872448624500003
stochastic_epsilon_greedy_eps0.2,810,30,15,0.5,4.6672506355707365e-07,4.768670613493472e-08,0.41151531830406185
stochastic_epsilon_greedy_eps0.2,855,30,17,0.5666666666666667,7.783452594049884e-08,-1.2796636091314242e-07,0.07226310116289757
stochastic_epsilon_greedy_eps0.2,900,30,17,0.5666666666666667,3.558288866465716e-07,-2.833460859772383e-07,0.28083084136067143
stochastic_epsilon_greedy_eps0.2,945,30,18,0.6,6.907000389330994e-07,-2.0504107888417797e-07,0.3309609011352064
stochastic_epsilon_greedy_eps0.2,990,30,16,0.5333333333333333,1.7377442606984588e-07,-2.039593185827649e-07,0.29796144643195677
stochastic_epsilon_greedy_eps0.2,1035,30,16,0.5333333333333333,-3.7730184770283967e-07,-3.947975714808968e-08,0.22512015337593697
stochastic_epsilon_greedy_eps0.2,1080,30,17,0.5666666666666667,-5.867721123896081e-08,-1.350597237300686e-07,0.49655784282159304
stochastic_epsilon_greedy_eps0.2,1125,30,19,0.6333333333333333,-2.1320366316852004e-07,-6.072529938774263e-07,0.4433366807153372
