policy_name,budget,n_runs,mean_step_count_l1_imbalance,median_step_count_l1_imbalance,max_step_count_l1_imbalance,mean_max_min_revealed_row_ratio,maximum_observed_revealed_row_count_any_step,minimum_observed_revealed_row_count_any_step,average_steps_above_initial_5,average_steps_still_at_initial_5
epsilon_greedy_eps0.2,45,30,0.0,0.0,0.0,1.0,5,5,0.0,9.0
epsilon_greedy_eps0.2,90,30,62.53333333333333,62.0,70.0,7.321111111111111,45,5,8.3,0.7
epsilon_greedy_eps0.2,180,30,142.13333333333333,138.0,172.0,6.758730158730158,82,7,9.0,0.0
epsilon_greedy_eps0.2,360,30,214.93333333333334,225.0,346.0,7.447248935561629,190,13,9.0,0.0
epsilon_greedy_eps0.2,720,30,378.2,380.0,516.0,5.172604913844671,200,28,9.0,0.0
epsilon_greedy_eps0.2,1200,30,413.4,411.0,546.0,2.615926133968123,200,62,9.0,0.0
epsilon_greedy_eps0.2,1798,30,0.0,0.0,0.0,1.0050251256281406,200,199,9.0,0.0
exploration_bonus_c0.25,45,30,0.0,0.0,0.0,1.0,5,5,0.0,9.0
exploration_bonus_c0.25,90,30,80.0,80.0,80.0,10.0,50,5,1.0,8.0
exploration_bonus_c0.25,180,30,180.8,180.0,210.0,12.726666666666667,95,5,3.3333333333333335,5.666666666666667
exploration_bonus_c0.25,360,30,323.53333333333336,316.0,420.0,29.85333333333333,200,5,5.333333333333333,3.6666666666666665
exploration_bonus_c0.25,720,30,552.5333333333333,542.0,720.0,33.89962930700736,200,5,7.333333333333333,1.6666666666666667
exploration_bonus_c0.25,1200,30,590.3333333333334,616.0,668.0,20.78116894754526,200,5,8.766666666666667,0.23333333333333334
exploration_bonus_c0.25,1798,30,0.0,0.0,0.0,1.0050251256281406,200,199,9.0,0.0
exploration_bonus_c0.5,45,30,0.0,0.0,0.0,1.0,5,5,0.0,9.0
exploration_bonus_c0.5,90,30,80.0,80.0,80.0,10.0,50,5,1.0,8.0
exploration_bonus_c0.5,180,30,167.6,167.0,206.0,11.813333333333334,93,5,4.466666666666667,4.533333333333333
exploration_bonus_c0.5,360,30,277.8666666666667,283.0,372.0,25.36638888888889,200,5,6.666666666666667,2.3333333333333335
exploration_bonus_c0.5,720,30,534.0,510.0,734.0,32.104425204425205,200,5,8.1,0.9
exploration_bonus_c0.5,1200,30,578.9333333333333,594.0,716.0,18.1714108686762,200,5,8.866666666666667,0.13333333333333333
exploration_bonus_c0.5,1798,30,0.0,0.0,0.0,1.0050251256281406,200,199,9.0,0.0
exploration_bonus_c1.0,45,30,0.0,0.0,0.0,1.0,5,5,0.0,9.0
exploration_bonus_c1.0,90,30,80.0,80.0,80.0,10.0,50,5,1.0,8.0
exploration_bonus_c1.0,180,30,144.13333333333333,141.0,180.0,11.18,92,5,6.0,3.0
exploration_bonus_c1.0,360,30,234.2,225.0,406.0,17.59980921855922,199,5,8.433333333333334,0.5666666666666667
exploration_bonus_c1.0,720,30,435.26666666666665,434.0,592.0,16.488926332786722,200,5,8.966666666666667,0.03333333333333333
exploration_bonus_c1.0,1200,30,497.8666666666667,500.0,608.0,7.330677579205103,200,8,9.0,0.0
exploration_bonus_c1.0,1798,30,0.0,0.0,0.0,1.0050251256281406,200,199,9.0,0.0
greedy_loo_fragility,45,30,0.0,0.0,0.0,1.0,5,5,0.0,9.0
greedy_loo_fragility,90,30,80.0,80.0,80.0,10.0,50,5,1.0,8.0
greedy_loo_fragility,180,30,190.0,180.0,210.0,13.0,95,5,2.6666666666666665,6.333333333333333
greedy_loo_fragility,360,30,348.3333333333333,350.0,420.0,32.17333333333333,200,5,4.033333333333333,4.966666666666667
greedy_loo_fragility,720,30,595.5333333333333,584.0,750.0,39.96,200,5,6.033333333333333,2.966666666666667
greedy_loo_fragility,1200,30,619.5333333333333,632.0,708.0,31.714285714285715,200,5,7.966666666666667,1.0333333333333334
greedy_loo_fragility,1798,30,0.0,0.0,0.0,1.0050251256281406,200,199,9.0,0.0
uniform_step_balanced,45,30,0.0,0.0,0.0,1.0,5,5,0.0,9.0
uniform_step_balanced,90,30,0.0,0.0,0.0,1.0,10,10,9.0,0.0
uniform_step_balanced,180,30,0.0,0.0,0.0,1.0,20,20,9.0,0.0
uniform_step_balanced,360,30,0.0,0.0,0.0,1.0,40,40,9.0,0.0
uniform_step_balanced,720,30,0.0,0.0,0.0,1.0,80,80,9.0,0.0
uniform_step_balanced,1200,30,0.0,0.0,0.0,1.0075187969924815,134,133,9.0,0.0
uniform_step_balanced,1798,30,0.0,0.0,0.0,1.0050251256281406,200,199,9.0,0.0
