policy_name,base_policy_name,reveal_seed,recomputation_index,revealed_count_at_recomputation,runtime_seconds,total_loo_terms_available,total_loo_terms_used,max_loo_terms_per_step,loo_subsampled,top_fragile_step,top_fragility,policy_kwargs
greedy_loo_fragility,greedy_loo_fragility,101,1,45,1.4879977089585736,45,45,20,False,T1571 - Defense Evasion: Non-Standard Port,0.00013575569833673576,{}
greedy_loo_fragility,greedy_loo_fragility,101,2,90,1.5462774579646066,90,60,20,True,T1595 - Reconnaissance: Active Scanning,0.00011584567077475405,{}
greedy_loo_fragility,greedy_loo_fragility,101,3,135,2.012036708998494,135,75,20,True,T1583.005 - Resource Development: Acquire Botnet,0.00012663896010219132,{}
greedy_loo_fragility,greedy_loo_fragility,101,4,180,2.8168712919577956,180,90,20,True,T1595 - Reconnaissance: Active Scanning,0.0001280935880346185,{}
greedy_loo_fragility,greedy_loo_fragility,101,5,225,3.460736708017066,225,90,20,True,T1595 - Reconnaissance: Active Scanning,0.00012470194957158077,{}
greedy_loo_fragility,greedy_loo_fragility,101,6,270,3.0446889579761773,270,90,20,True,T1595 - Reconnaissance: Active Scanning,0.000115143861119292,{}
greedy_loo_fragility,greedy_loo_fragility,101,7,315,3.1435730840312317,315,90,20,True,T1595 - Reconnaissance: Active Scanning,0.00012082030812223515,{}
greedy_loo_fragility,greedy_loo_fragility,101,8,360,2.9673004579963163,360,90,20,True,T1595 - Reconnaissance: Active Scanning,0.00011736251772992395,{}
greedy_loo_fragility,greedy_loo_fragility,101,9,405,2.9619473329512402,405,90,20,True,T1595 - Reconnaissance: Active Scanning,0.0001188490076276156,{}
greedy_loo_fragility,greedy_loo_fragility,101,10,450,2.9919752079294994,450,90,20,True,T1595 - Reconnaissance: Active Scanning,0.00012043803602518558,{}
greedy_loo_fragility,greedy_loo_fragility,101,11,495,2.7355639580637217,495,90,20,True,T1590 - Reconnaissance: Gather Victim Network Information,5.577011019919254e-05,{}
greedy_loo_fragility,greedy_loo_fragility,101,12,540,3.8524482919601724,540,105,20,True,T1590 - Reconnaissance: Gather Victim Network Information,5.2480872026112614e-05,{}
greedy_loo_fragility,greedy_loo_fragility,101,13,585,3.9278091250453144,585,105,20,True,T1590 - Reconnaissance: Gather Victim Network Information,5.484159871332363e-05,{}
