policy_name,budget,n_runs,distance_mean,distance_median,distance_std,distance_min,distance_max,distance_p25,distance_p75,p_success_mean_mean,step_count_l1_mean,step_count_l1_median,step_count_l1_max
epsilon_greedy_eps0.2,45,30,4.994846867156529e-05,4.6291629793680336e-05,3.570152585498149e-05,2.6973343876948786e-06,0.00014082810804004353,2.4054123116245277e-05,7.234026798339375e-05,0.2251829989501882,0.0,0.0,0.0
epsilon_greedy_eps0.2,90,30,1.73607961795252e-05,1.2511926200381055e-05,1.631568775091776e-05,3.096716607114724e-06,8.281061770607535e-05,6.9317437071251266e-06,2.2378666743227318e-05,0.2247793800495088,62.53333333333333,62.0,70.0
epsilon_greedy_eps0.2,180,30,1.7222363095130418e-05,1.6138572746853163e-05,1.2516439371435294e-05,1.4241887276346038e-06,5.224345544641285e-05,6.30073870445605e-06,2.3291110997409744e-05,0.2250052059808066,142.13333333333333,138.0,172.0
epsilon_greedy_eps0.2,360,30,1.2108232453901588e-05,8.44407353973523e-06,9.862375098499077e-06,7.944998693714392e-07,3.6843605043031436e-05,4.070909325746327e-06,1.6289976557607918e-05,0.2244610942904136,214.93333333333334,225.0,346.0
epsilon_greedy_eps0.2,720,30,6.859547395061893e-06,4.723673224774296e-06,6.798309147630977e-06,9.911776493135293e-07,2.887605801284636e-05,2.1632840383317604e-06,8.776282450000077e-06,0.224849160438212,378.2,380.0,516.0
epsilon_greedy_eps0.2,1200,30,3.0949191697487816e-06,2.8194928392743754e-06,1.5593566908680138e-06,5.425247344510094e-07,6.869100110186939e-06,2.134095628603757e-06,3.826290344127852e-06,0.22488236310957943,413.4,411.0,546.0
epsilon_greedy_eps0.2,1798,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2247048444891971,0.0,0.0,0.0
exploration_bonus_c0.25,45,30,4.994846867156529e-05,4.6291629793680336e-05,3.570152585498149e-05,2.6973343876948786e-06,0.00014082810804004353,2.4054123116245277e-05,7.234026798339375e-05,0.2251829989501882,0.0,0.0,0.0
exploration_bonus_c0.25,90,30,1.8362128424666756e-05,1.2711505441927755e-05,1.6868665101155298e-05,2.277444402766279e-06,7.35360823571476e-05,6.897714326368123e-06,2.664740374809942e-05,0.22551672455601335,80.0,80.0,80.0
exploration_bonus_c0.25,180,30,1.5309370027474382e-05,8.234843929550462e-06,1.5231393577543596e-05,1.7872789614969356e-06,6.152090761033997e-05,5.404211673315809e-06,1.6677338511120315e-05,0.22543538510070088,180.8,180.0,210.0
exploration_bonus_c0.25,360,30,1.3839729616983684e-05,8.202745632209197e-06,1.6252025809595986e-05,1.6654341263594203e-06,8.030215735178193e-05,4.22040415207582e-06,1.3159456501513302e-05,0.22533966431128494,323.53333333333336,316.0,420.0
exploration_bonus_c0.25,720,30,1.0637499890119809e-05,5.340254808754752e-06,1.2932467979085186e-05,1.7621300670343022e-06,6.247524400909808e-05,4.205211840872971e-06,9.565511707923134e-06,0.22538596832132937,552.5333333333333,542.0,720.0
exploration_bonus_c0.25,1200,30,4.4744955611321765e-06,3.5209521579694705e-06,3.3792854580263567e-06,1.1590430456650202e-06,1.7538923156404233e-05,2.1202415151680945e-06,6.100859436150577e-06,0.22485876741848262,590.3333333333334,616.0,668.0
exploration_bonus_c0.25,1798,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2247048444891971,0.0,0.0,0.0
exploration_bonus_c0.5,45,30,4.994846867156529e-05,4.6291629793680336e-05,3.570152585498149e-05,2.6973343876948786e-06,0.00014082810804004353,2.4054123116245277e-05,7.234026798339375e-05,0.2251829989501882,0.0,0.0,0.0
exploration_bonus_c0.5,90,30,1.8362128424666756e-05,1.2711505441927755e-05,1.6868665101155298e-05,2.277444402766279e-06,7.35360823571476e-05,6.897714326368123e-06,2.664740374809942e-05,0.22551672455601335,80.0,80.0,80.0
exploration_bonus_c0.5,180,30,1.3498428141667108e-05,1.014424168313646e-05,1.3093617853576195e-05,1.6970529617891731e-06,6.458945255206315e-05,6.603931752168834e-06,1.44512398104134e-05,0.22527008092210726,167.6,167.0,206.0
exploration_bonus_c0.5,360,30,1.2834728760207138e-05,7.281308537696274e-06,1.667033121116299e-05,1.2554088824050165e-06,8.07889300735299e-05,4.159381955167363e-06,1.2182975484481931e-05,0.22531400402695836,277.8666666666667,283.0,372.0
exploration_bonus_c0.5,720,30,1.03915237973421e-05,7.996368088117623e-06,1.119881526544886e-05,1.464414697919726e-06,6.247524400909808e-05,5.409462479656417e-06,1.0729352229616081e-05,0.22534256609703912,534.0,510.0,734.0
exploration_bonus_c0.5,1200,30,5.1979471831927605e-06,4.630282890077469e-06,3.3040384855794216e-06,9.671218006141754e-07,1.4444940779052679e-05,2.4781229117419808e-06,6.733467197897128e-06,0.22478382732849794,578.9333333333333,594.0,716.0
exploration_bonus_c0.5,1798,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2247048444891971,0.0,0.0,0.0
exploration_bonus_c1.0,45,30,4.994846867156529e-05,4.6291629793680336e-05,3.570152585498149e-05,2.6973343876948786e-06,0.00014082810804004353,2.4054123116245277e-05,7.234026798339375e-05,0.2251829989501882,0.0,0.0,0.0
exploration_bonus_c1.0,90,30,1.8362128424666756e-05,1.2711505441927755e-05,1.6868665101155298e-05,2.277444402766279e-06,7.35360823571476e-05,6.897714326368123e-06,2.664740374809942e-05,0.22551672455601335,80.0,80.0,80.0
exploration_bonus_c1.0,180,30,1.4845349951426144e-05,9.251661394934993e-06,1.6086219178717e-05,2.899681316798942e-06,8.629356606421396e-05,6.8639212008923105e-06,1.7191906227641084e-05,0.22477598164958296,144.13333333333333,141.0,180.0
exploration_bonus_c1.0,360,30,1.1901483214136903e-05,6.274628650013106e-06,1.6724001072395293e-05,2.922665064761109e-06,8.727320880883663e-05,4.563919571720423e-06,9.556565479859144e-06,0.22448865027163,234.2,225.0,406.0
exploration_bonus_c1.0,720,30,8.43602882969456e-06,5.095477798378478e-06,1.4326284367428413e-05,1.2343725560154033e-06,8.040029232199535e-05,3.217003610282176e-06,7.583022425297989e-06,0.22464371625535556,435.26666666666665,434.0,592.0
exploration_bonus_c1.0,1200,30,6.0693381965876474e-06,3.282169218782326e-06,6.286801567336817e-06,7.814113910661152e-07,2.511368257848847e-05,1.8459253107477415e-06,6.678046054225835e-06,0.22480104354562505,497.8666666666667,500.0,608.0
exploration_bonus_c1.0,1798,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2247048444891971,0.0,0.0,0.0
greedy_loo_fragility,45,30,4.994846867156529e-05,4.6291629793680336e-05,3.570152585498149e-05,2.6973343876948786e-06,0.00014082810804004353,2.4054123116245277e-05,7.234026798339375e-05,0.2251829989501882,0.0,0.0,0.0
greedy_loo_fragility,90,30,1.8362128424666756e-05,1.2711505441927755e-05,1.6868665101155298e-05,2.277444402766279e-06,7.35360823571476e-05,6.897714326368123e-06,2.664740374809942e-05,0.22551672455601335,80.0,80.0,80.0
greedy_loo_fragility,180,30,1.3633944862937468e-05,7.788576038041339e-06,1.469082888971149e-05,7.62546785035822e-07,6.1030289998958024e-05,5.23807230868689e-06,1.5413355552820807e-05,0.22542639226634398,190.0,180.0,210.0
greedy_loo_fragility,360,30,1.3774749607989266e-05,7.058260030835152e-06,1.734019806302286e-05,1.1401861505887333e-06,8.146007101743047e-05,3.68590255580066e-06,1.5805681097233265e-05,0.22539572806615882,348.3333333333333,350.0,420.0
greedy_loo_fragility,720,30,9.329076602624719e-06,6.355798724273957e-06,8.094891532697274e-06,1.1121541984482217e-06,3.2123815869087774e-05,3.912480994077106e-06,1.2262895667942297e-05,0.22558726281691344,595.5333333333333,584.0,750.0
greedy_loo_fragility,1200,30,5.367808074468056e-06,3.1810816292778375e-06,5.475942732858151e-06,9.618067168408077e-07,2.590167816000248e-05,2.2407641113041875e-06,5.6500131958658835e-06,0.22511616581298724,619.5333333333333,632.0,708.0
greedy_loo_fragility,1798,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2247048444891971,0.0,0.0,0.0
uniform_step_balanced,45,30,4.994846867156529e-05,4.6291629793680336e-05,3.570152585498149e-05,2.6973343876948786e-06,0.00014082810804004353,2.4054123116245277e-05,7.234026798339375e-05,0.2251829989501882,0.0,0.0,0.0
uniform_step_balanced,90,30,2.386145470813882e-05,1.6726514903376578e-05,1.8905374210156534e-05,3.2175782161492634e-06,6.786466564438413e-05,9.052823807907598e-06,3.168728346182798e-05,0.2240279868872913,0.0,0.0,0.0
uniform_step_balanced,180,30,1.5543114033869736e-05,1.1156486555060716e-05,1.7083909463724513e-05,4.352548885283851e-07,8.771736832287152e-05,6.265661438973639e-06,1.8068573330288617e-05,0.22466914913335348,0.0,0.0,0.0
uniform_step_balanced,360,30,1.0183406536078946e-05,6.563048617211973e-06,9.473036923087547e-06,1.458519221619214e-06,4.288956366975338e-05,4.1144911077934126e-06,1.4836497819719978e-05,0.22432188467109507,0.0,0.0,0.0
uniform_step_balanced,720,30,5.77401979904011e-06,4.76885360892798e-06,3.6223979165285836e-06,1.0979798613923472e-06,1.3780892301375856e-05,2.981192544479378e-06,7.605287998855344e-06,0.22491999354158862,0.0,0.0,0.0
uniform_step_balanced,1200,30,3.2041636636580503e-06,2.813461763797882e-06,2.131497542688901e-06,8.112249057608255e-07,9.519297172429744e-06,1.7349602254319025e-06,3.753281714000479e-06,0.22485404774364914,0.0,0.0,0.0
uniform_step_balanced,1798,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2247048444891971,0.0,0.0,0.0
