reveal_seed,budget,uniform_distance,greedy_distance,difference_greedy_minus_uniform,relative_difference_greedy_minus_uniform,greedy_better
101,45,2.914095372038969e-05,2.914095372038969e-05,0.0,0.0,False
101,90,3.398302466768342e-05,4.693784363528921e-05,1.2954818967605793e-05,0.3812144179127569,False
101,180,4.0157147884902934e-05,3.0172708600267952e-05,-9.984439284634982e-06,-0.24863417375287822,True
101,360,7.885924068532852e-05,3.0607097225271664e-05,-4.8252143460056854e-05,-0.6118768458930139,True
101,720,1.43211196479739e-05,2.4442596808837224e-05,1.0121477160863324e-05,0.70675180500257,False
202,45,2.3221540844925493e-05,2.3221540844925493e-05,0.0,0.0,False
202,90,3.361867802696372e-05,4.579113609189317e-05,1.217245806492945e-05,0.3620742628596693,False
202,180,3.408603408310378e-05,2.7098385888981726e-05,-6.987648194122057e-06,-0.2050003287881997,True
202,360,1.2869235422347092e-05,2.5206149586562066e-05,1.2336914164214974e-05,0.9586361395481385,False
202,720,2.846210210766986e-05,2.178490505023542e-05,-6.677197057434441e-06,-0.23459957497781217,True
