policy_name,budget,n_runs,mean_step_count_l1_imbalance,median_step_count_l1_imbalance,max_step_count_l1_imbalance,mean_max_min_revealed_row_ratio,maximum_observed_revealed_row_count_any_step,minimum_observed_revealed_row_count_any_step,average_steps_above_initial_5,average_steps_still_at_initial_5
stochastic_normalized_fragility,45,10,0.0,0.0,0.0,1.0,5,5,0.0,9.0
stochastic_normalized_fragility,90,10,15.2,15.0,20.0,1.9897619047619048,15,5,8.9,0.1
stochastic_normalized_fragility,180,10,26.0,27.0,32.0,1.8953646353646356,30,11,9.0,0.0
stochastic_normalized_fragility,360,10,42.8,49.0,58.0,1.6712787516273824,61,26,9.0,0.0
stochastic_normalized_fragility,720,10,72.0,67.0,120.0,1.495298420846348,104,55,9.0,0.0
stochastic_normalized_fragility,1200,10,99.8,104.0,142.0,1.400538319671135,171,100,9.0,0.0
stochastic_normalized_fragility,1798,10,0.0,0.0,0.0,1.0050251256281406,200,199,9.0,0.0
uniform_step_balanced,45,10,0.0,0.0,0.0,1.0,5,5,0.0,9.0
uniform_step_balanced,90,10,0.0,0.0,0.0,1.0,10,10,9.0,0.0
uniform_step_balanced,180,10,0.0,0.0,0.0,1.0,20,20,9.0,0.0
uniform_step_balanced,360,10,0.0,0.0,0.0,1.0,40,40,9.0,0.0
uniform_step_balanced,720,10,0.0,0.0,0.0,1.0,80,80,9.0,0.0
uniform_step_balanced,1200,10,0.0,0.0,0.0,1.0075187969924815,134,133,9.0,0.0
uniform_step_balanced,1798,10,0.0,0.0,0.0,1.0050251256281406,200,199,9.0,0.0
