policy,source_run,budget,n_reveal_seeds,mean_l1_imbalance,median_l1_imbalance,mean_max_min_ratio,mean_minimum_step_count,mean_maximum_step_count,mean_steps_still_at_initial_seed_count
epsilon_greedy_eps0.2,v8_all_policies_dev,45,5,0.0,0.0,1.0,5.0,5.0,9.0
epsilon_greedy_eps0.2,v8_all_policies_dev,90,5,62.4,62.0,7.446666666666667,5.6,41.2,0.6
epsilon_greedy_eps0.2,v8_all_policies_dev,180,5,163.2,166.0,9.591666666666667,8.2,78.4,0.0
epsilon_greedy_eps0.2,v8_all_policies_dev,360,5,295.6,314.0,8.717902930402932,14.2,121.0,0.0
epsilon_greedy_eps0.2,v8_all_policies_dev,720,5,476.4,538.0,6.621906693711968,28.4,184.0,0.0
epsilon_greedy_eps0.2,v8_all_policies_dev,1200,5,478.8,492.0,3.30566268320122,61.2,200.0,0.0
exploration_bonus_c0.5,v8_all_policies_dev,45,5,0.0,0.0,1.0,5.0,5.0,9.0
exploration_bonus_c0.5,v8_all_policies_dev,90,5,74.8,80.0,9.28,5.0,46.4,7.4
exploration_bonus_c0.5,v8_all_policies_dev,180,5,187.2,186.0,17.8,5.0,89.0,5.6
exploration_bonus_c0.5,v8_all_policies_dev,360,5,323.2,300.0,21.49142857142857,6.8,119.8,2.6
exploration_bonus_c0.5,v8_all_policies_dev,720,5,552.0,538.0,33.33333333333333,7.2,200.0,0.6
exploration_bonus_c0.5,v8_all_policies_dev,1200,5,594.8,620.0,23.29100529100529,14.6,200.0,0.2
exploration_bonus_c1.0,exploration_bonus_sensitivity_dev,45,5,0.0,0.0,1.0,5.0,5.0,9.0
exploration_bonus_c1.0,exploration_bonus_sensitivity_dev,90,5,71.6,80.0,8.52,5.0,42.6,6.8
exploration_bonus_c1.0,exploration_bonus_sensitivity_dev,180,5,168.8,164.0,16.880000000000003,5.0,84.4,2.8
exploration_bonus_c1.0,exploration_bonus_sensitivity_dev,360,5,263.2,250.0,16.943333333333335,8.4,115.2,0.6
exploration_bonus_c1.0,exploration_bonus_sensitivity_dev,720,5,414.8,392.0,14.42943722943723,18.4,187.2,0.0
exploration_bonus_c1.0,exploration_bonus_sensitivity_dev,1200,5,537.2,546.0,5.881562881562882,35.6,200.0,0.0
greedy_loo_fragility,v8_all_policies_dev,45,5,0.0,0.0,1.0,5.0,5.0,9.0
greedy_loo_fragility,v8_all_policies_dev,90,5,80.0,80.0,10.0,5.0,50.0,8.0
greedy_loo_fragility,v8_all_policies_dev,180,5,210.0,210.0,19.0,5.0,95.0,7.0
greedy_loo_fragility,v8_all_policies_dev,360,5,364.0,350.0,20.8,5.0,104.0,5.2
greedy_loo_fragility,v8_all_policies_dev,720,5,498.0,510.0,39.96,5.0,199.8,2.8
greedy_loo_fragility,v8_all_policies_dev,1200,5,598.4,600.0,40.0,5.0,200.0,1.2
uniform_step_balanced,v8_all_policies_dev,45,5,0.0,0.0,1.0,5.0,5.0,9.0
uniform_step_balanced,v8_all_policies_dev,90,5,0.0,0.0,1.0,10.0,10.0,0.0
uniform_step_balanced,v8_all_policies_dev,180,5,0.0,0.0,1.0,20.0,20.0,0.0
uniform_step_balanced,v8_all_policies_dev,360,5,0.0,0.0,1.0,40.0,40.0,0.0
uniform_step_balanced,v8_all_policies_dev,720,5,0.0,0.0,1.0,80.0,80.0,0.0
uniform_step_balanced,v8_all_policies_dev,1200,5,0.0,0.0,1.0075187969924813,133.0,134.0,0.0
