policy,source_run,budget,n_reveal_seeds,mean_squared_w2_error,median_squared_w2_error,p25_squared_w2_error,p75_squared_w2_error
epsilon_greedy_eps0.2,locked_v8_hidden_reveal,45,10,4.398569425678868e-05,3.1194664125782126e-05,2.4054123116245277e-05,6.818654365920552e-05
epsilon_greedy_eps0.2,locked_v8_hidden_reveal,90,10,1.5924544507686653e-05,1.3198257594782833e-05,7.314330568724721e-06,1.980111321087488e-05
epsilon_greedy_eps0.2,locked_v8_hidden_reveal,180,10,1.3438276454284377e-05,9.157423335300807e-06,5.144438084927769e-06,2.3210030104685735e-05
epsilon_greedy_eps0.2,locked_v8_hidden_reveal,360,10,8.362163439370728e-06,8.02222516885538e-06,4.644996913520414e-06,1.0177497417013645e-05
epsilon_greedy_eps0.2,locked_v8_hidden_reveal,720,10,5.234170004038948e-06,5.4238473196159385e-06,2.26908297393631e-06,7.75915224721605e-06
epsilon_greedy_eps0.2,locked_v8_hidden_reveal,1200,10,3.6823546661157663e-06,2.281612139914203e-06,1.6629952913207896e-06,5.860768164035481e-06
epsilon_greedy_eps0.2,locked_v8_hidden_reveal,1798,10,0.0,0.0,0.0,0.0
exploration_bonus_c0.25,locked_v8_hidden_reveal,45,10,4.398569425678868e-05,3.1194664125782126e-05,2.4054123116245277e-05,6.818654365920552e-05
exploration_bonus_c0.25,locked_v8_hidden_reveal,90,10,2.0218086607958335e-05,1.6028451380440417e-05,8.780018875179271e-06,2.8448062495362078e-05
exploration_bonus_c0.25,locked_v8_hidden_reveal,180,10,1.6700313213398627e-05,1.6706019655252637e-05,7.1828226495692235e-06,2.416553320755121e-05
exploration_bonus_c0.25,locked_v8_hidden_reveal,360,10,1.2322326898007614e-05,7.806546279328135e-06,3.5691974543792674e-06,1.3107804556812667e-05
exploration_bonus_c0.25,locked_v8_hidden_reveal,720,10,1.0930287809576082e-05,5.8584161650382425e-06,4.026168105935035e-06,1.8845496872822946e-05
exploration_bonus_c0.25,locked_v8_hidden_reveal,1200,10,8.553016333225179e-06,3.7884654263587345e-06,2.414191832902474e-06,7.298146964456521e-06
exploration_bonus_c0.25,locked_v8_hidden_reveal,1798,10,0.0,0.0,0.0,0.0
exploration_bonus_c0.5,locked_v8_hidden_reveal,45,10,4.398569425678868e-05,3.1194664125782126e-05,2.4054123116245277e-05,6.818654365920552e-05
exploration_bonus_c0.5,locked_v8_hidden_reveal,90,10,2.0218086607958335e-05,1.6028451380440417e-05,8.780018875179271e-06,2.8448062495362078e-05
exploration_bonus_c0.5,locked_v8_hidden_reveal,180,10,1.491447436361817e-05,1.353026900828219e-05,4.430376699370477e-06,2.0869346213863736e-05
exploration_bonus_c0.5,locked_v8_hidden_reveal,360,10,5.480387719649474e-06,4.7572761913635185e-06,1.804866570663755e-06,6.372163724804818e-06
exploration_bonus_c0.5,locked_v8_hidden_reveal,720,10,5.205354915547624e-06,3.084193344046965e-06,1.6893016349203283e-06,6.738255591866514e-06
exploration_bonus_c0.5,locked_v8_hidden_reveal,1200,10,3.972369625259941e-06,3.7186524836990412e-06,1.6623615733948603e-06,5.658140424190631e-06
exploration_bonus_c0.5,locked_v8_hidden_reveal,1798,10,0.0,0.0,0.0,0.0
exploration_bonus_c1.0,locked_v8_hidden_reveal,45,10,4.398569425678868e-05,3.1194664125782126e-05,2.4054123116245277e-05,6.818654365920552e-05
exploration_bonus_c1.0,locked_v8_hidden_reveal,90,10,2.0218086607958335e-05,1.6028451380440417e-05,8.780018875179271e-06,2.8448062495362078e-05
exploration_bonus_c1.0,locked_v8_hidden_reveal,180,10,1.4252458941269353e-05,1.1425768959507499e-05,7.500090029193883e-06,2.071972077351479e-05
exploration_bonus_c1.0,locked_v8_hidden_reveal,360,10,4.288572884570043e-06,4.149766715972809e-06,1.7833875598107806e-06,5.85694084256447e-06
exploration_bonus_c1.0,locked_v8_hidden_reveal,720,10,4.110715038882185e-06,4.420980163731471e-06,2.888686630134536e-06,4.721574948768116e-06
exploration_bonus_c1.0,locked_v8_hidden_reveal,1200,10,4.16702219318061e-06,2.8218465432778317e-06,2.13098188349443e-06,3.7454546067812776e-06
exploration_bonus_c1.0,locked_v8_hidden_reveal,1798,10,0.0,0.0,0.0,0.0
greedy_loo_fragility,locked_v8_hidden_reveal,45,10,4.398569425678868e-05,3.1194664125782126e-05,2.4054123116245277e-05,6.818654365920552e-05
greedy_loo_fragility,locked_v8_hidden_reveal,90,10,2.0218086607958335e-05,1.6028451380440417e-05,8.780018875179271e-06,2.8448062495362078e-05
greedy_loo_fragility,locked_v8_hidden_reveal,180,10,1.842958367939242e-05,1.41621562758125e-05,7.718502215853087e-06,2.280077548753004e-05
greedy_loo_fragility,locked_v8_hidden_reveal,360,10,9.004007989759112e-06,5.0277497874391565e-06,3.2739214666374925e-06,1.0294829513300742e-05
greedy_loo_fragility,locked_v8_hidden_reveal,720,10,3.028625384375228e-06,2.293445791231827e-06,1.5397905308839498e-06,2.9922397840161756e-06
greedy_loo_fragility,locked_v8_hidden_reveal,1200,10,4.562323848333742e-06,4.260678791591191e-06,3.8517754713330125e-06,6.691884359713281e-06
