step_name,capability_level,row_count
T1036 - Defense Evasion: Masquerading,SOTA,200
T1036 - Defense Evasion: Masquerading,saturated,200
T1498.001 - Impact: Direct Network Flood,SOTA,200
T1498.001 - Impact: Direct Network Flood,saturated,199
T1498.002 - Impact: Reflection/Amplification Attack,SOTA,200
T1498.002 - Impact: Reflection/Amplification Attack,saturated,198
T1571 - Defense Evasion: Non-Standard Port,SOTA,200
T1571 - Defense Evasion: Non-Standard Port,saturated,200
T1583.005 - Resource Development: Acquire Botnet,SOTA,200
T1583.005 - Resource Development: Acquire Botnet,saturated,199
T1584.005 - Resource Development: Build/Compromise Botnet,SOTA,199
T1584.005 - Resource Development: Build/Compromise Botnet,saturated,198
T1590 - Reconnaissance: Gather Victim Network Information,SOTA,199
T1590 - Reconnaissance: Gather Victim Network Information,saturated,198
T1595 - Reconnaissance: Active Scanning,SOTA,200
T1595 - Reconnaissance: Active Scanning,saturated,198
TA0011 - Command-and-Control,SOTA,200
TA0011 - Command-and-Control,saturated,199
